Reference molID, Reference formula, Test molID, Test formula, Perpendicular Distance, Planar Angle (Deg), Relative X-angle (Deg), Relative Y-angle (Deg), Relative Z-angle (Deg), Reference X-center, Reference Y-center, Reference Z-center, Test X-center, Test Y-center, Test Z-center
0.1, x-dummy-plane,3467, C6,0,21.11,0,0,0,0,0,0,0,8.58,15.76
0.1, x-dummy-plane,2195, C5,0,69.81,0,0,0,0,0,0,0,-11.32,2.62
0.1, x-dummy-plane,3223, C6,-0.01,22.68,0,0,0,0,0,0,-0.01,-24.22,12.78
0.1, x-dummy-plane,2160, C5,-0.01,67.91,0,0,0,0,0,0,-0.01,-11.59,0.68
0.1, x-dummy-plane,3672, C7,-0.02,4.01,0,0,0,0,0,0,-0.02,-12.65,21.33
0.1, x-dummy-plane,991, C6,0.02,42.37,0,0,0,0,0,0,0.02,-10.65,-13.56
0.1, x-dummy-plane,1586, C6,0.04,73.13,0,0,0,0,0,0,0.04,13.84,-9.4
0.1, x-dummy-plane,3875, C6,-0.05,80.99,0,0,0,0,0,0,-0.05,15.14,17.97
0.1, x-dummy-plane,2226, C5,-0.05,75.23,0,0,0,0,0,0,-0.05,-4.52,1.67
0.1, x-dummy-plane,134, C6,-0.06,32.96,0,0,0,0,0,0,-0.06,-13.22,23.89
0.1, x-dummy-plane,451, C6,0.07,18.56,0,0,0,0,0,0,0.07,20.55,-22.58
0.1, x-dummy-plane,1959, C6,0.07,69.7,0,0,0,0,0,0,0.07,15.84,-3.49
0.1, x-dummy-plane,33, C6,0.07,69.19,0,0,0,0,0,0,0.07,-20.74,-19.81
0.1, x-dummy-plane,2125, C5,-0.07,70.49,0,0,0,0,0,0,-0.07,-18.33,2.28
0.1, x-dummy-plane,1585, C7,-0.08,80.74,0,0,0,0,0,0,-0.08,15.88,-7.85
0.1, x-dummy-plane,1214, C6,0.08,65.93,0,0,0,0,0,0,0.08,17.43,-10.78
0.1, x-dummy-plane,79, C5,0.1,71.38,0,0,0,0,0,0,0.1,-16.22,-20.69
0.1, x-dummy-plane,644, C7,-0.1,57.56,0,0,0,0,0,0,-0.1,-8.8,-16.46
0.1, x-dummy-plane,2957, C5,-0.1,76.9,0,0,0,0,0,0,-0.1,-6.77,11.13
0.1, x-dummy-plane,4011, C6,-0.11,69.42,0,0,0,0,0,0,-0.11,-8.79,23.65
0.1, x-dummy-plane,1677, C7,0.12,28.75,0,0,0,0,0,0,0.12,23.86,-5.01
0.1, x-dummy-plane,1282, C5,0.12,80.1,0,0,0,0,0,0,0.12,-23.93,-9.77
0.1, x-dummy-plane,2615, C7,0.13,35.27,0,0,0,0,0,0,0.13,-3.46,5.94
0.1, x-dummy-plane,2640, C5,-0.14,68.36,0,0,0,0,0,0,-0.14,0.59,3.36
0.1, x-dummy-plane,3394, C7,0.14,67.29,0,0,0,0,0,0,0.14,-0.69,15.4
0.1, x-dummy-plane,1082, C6,-0.16,88.31,0,0,0,0,0,0,-0.16,-0.95,-11.02
0.1, x-dummy-plane,3021, C6,0.16,35.07,0,0,0,0,0,0,0.16,2.07,12.15
0.1, x-dummy-plane,449, C6,-0.17,32.93,0,0,0,0,0,0,-0.17,19.62,-20.45
0.1, x-dummy-plane,1213, C5,0.18,63.72,0,0,0,0,0,0,0.18,16.65,-12.85
0.1, x-dummy-plane,1240, C6,-0.19,63.14,0,0,0,0,0,0,-0.19,21.39,-11.1
0.1, x-dummy-plane,3673, C6,0.2,18.41,0,0,0,0,0,0,0.2,-11.1,19.22
0.1, x-dummy-plane,2225, C7,0.2,74.98,0,0,0,0,0,0,0.2,-2.35,0.66
0.1, x-dummy-plane,137, C6,-0.2,59.78,0,0,0,0,0,0,-0.2,-12.67,-19.39
0.1, x-dummy-plane,1617, C7,0.2,87.59,0,0,0,0,0,0,0.2,17.72,-7.02
