RMS Perpendicular Distance, count C6, count C5, count C7, count C5-O1, count C4-O1
0.125, 19.16, 9.48, 10.92, 0.4, 0.52
0.375, 18.8, 9.32, 11.2, 0.44, 0.52
0.625, 19.12, 9.12, 11.08, 0.52, 0.56
0.875, 19.12, 9.16, 11.08, 0.48, 0.56
1.1998855202898373, 18.96, 8.92, 10.8, 0.44, 0.56
1.375, 18.56, 8.88, 10.92, 0.44, 0.48
1.625, 18.16, 8.88, 10.96, 0.36, 0.48
1.8658534209751685, 18.52, 8.92, 10.84, 0.32, 0.48
2.2059560668568077, 18.52, 8.96, 11.04, 0.36, 0.44
2.375, 18.2, 9.0, 10.96, 0.32, 0.4
2.6620131778424367, 18.16, 9.16, 11.12, 0.32, 0.4
2.875, 17.96, 9.04, 10.88, 0.32, 0.4
3.125, 17.76, 9.28, 10.96, 0.36, 0.4
3.375, 17.92, 9.32, 10.68, 0.32, 0.4
3.670071694256542, 18.04, 9.44, 10.92, 0.36, 0.4
3.875, 18.24, 9.56, 11.2, 0.32, 0.32
4.125, 17.84, 9.6, 11.44, 0.36, 0.32
4.406977216524488, 17.68, 9.88, 11.64, 0.36, 0.32
4.625, 17.96, 9.72, 11.76, 0.44, 0.28
4.752750232544168, 17.88, 9.48, 11.56, 0.44, 0.36
5.125, 18.32, 9.84, 11.6, 0.48, 0.36
5.281824868825347, 18.24, 9.96, 11.48, 0.52, 0.36
5.67264337879078, 17.96, 10.04, 11.44, 0.56, 0.4
5.8438778372797, 18.0, 9.96, 11.48, 0.52, 0.32
6.125, 18.16, 10.04, 11.52, 0.56, 0.28
6.375, 18.0, 10.12, 11.28, 0.64, 0.28
6.651617450408594, 18.28, 10.28, 10.92, 0.6, 0.28
6.875, 18.28, 10.32, 10.96, 0.56, 0.24
7.125, 18.32, 10.36, 10.96, 0.56, 0.24
7.375, 18.36, 10.56, 11.36, 0.56, 0.28
7.625, 18.68, 10.48, 11.28, 0.56, 0.32
7.875, 18.88, 10.44, 11.44, 0.56, 0.32
8.125, 19.0, 10.32, 11.56, 0.56, 0.36
8.375, 18.72, 10.44, 11.4, 0.52, 0.36
8.625, 18.96, 10.36, 11.56, 0.52, 0.36
8.999991256488363, 18.64, 10.4, 11.44, 0.52, 0.36
9.125, 18.96, 10.44, 11.36, 0.52, 0.36
9.375, 18.72, 10.16, 11.28, 0.48, 0.4
9.625, 18.52, 10.16, 11.28, 0.48, 0.48
9.875, 18.6, 10.12, 11.12, 0.48, 0.48
10.125, 18.4, 10.12, 10.96, 0.48, 0.48
10.375, 18.48, 10.2, 10.76, 0.44, 0.52
10.625, 18.48, 10.12, 10.8, 0.48, 0.52
10.846529571414756, 18.24, 10.28, 10.72, 0.4, 0.6
11.056604536548608, 17.88, 10.52, 10.96, 0.4, 0.52
11.375, 17.24, 9.92, 11.12, 0.36, 0.56
11.5712684179678, 17.24, 10.16, 11.16, 0.32, 0.56
11.875, 17.52, 10.28, 11.36, 0.28, 0.48
12.125, 17.32, 10.28, 11.52, 0.28, 0.48
12.375, 17.32, 10.28, 11.32, 0.28, 0.48
12.625, 17.36, 10.36, 11.32, 0.2, 0.48
12.875, 17.12, 10.4, 11.36, 0.2, 0.48
13.125, 16.6, 10.52, 11.16, 0.2, 0.48
13.318848518940808, 16.36, 10.64, 11.16, 0.2, 0.48
13.596511882457389, 16.16, 10.84, 10.88, 0.2, 0.44
13.875, 15.92, 11.0, 11.04, 0.24, 0.4
14.023673477032167, 15.76, 11.16, 11.2, 0.32, 0.44
14.375, 15.68, 11.32, 11.08, 0.32, 0.4
14.625, 16.0, 11.04, 11.12, 0.28, 0.4
14.875, 16.44, 11.12, 10.96, 0.28, 0.4
15.215637294947996, 16.88, 11.0, 10.88, 0.28, 0.4
15.440986872552012, 16.68, 10.84, 11.08, 0.28, 0.4
15.620400169894976, 17.2, 10.84, 11.24, 0.28, 0.4
15.875, 17.16, 10.96, 11.04, 0.28, 0.32
16.125, 16.96, 11.24, 10.88, 0.32, 0.36
16.33803120200829, 17.4, 11.12, 10.92, 0.32, 0.4
16.625, 17.52, 11.28, 11.04, 0.32, 0.36
16.950752112204807, 17.84, 11.24, 11.0, 0.28, 0.4
17.125, 17.56, 11.08, 11.08, 0.28, 0.32
17.351607701664104, 17.88, 10.96, 10.68, 0.28, 0.32
17.625, 17.8, 11.08, 10.56, 0.28, 0.24
17.875, 18.36, 10.96, 10.8, 0.32, 0.24
18.125, 18.52, 10.92, 10.68, 0.32, 0.24
18.375, 18.6, 10.76, 10.84, 0.32, 0.24
18.625, 18.92, 10.84, 11.08, 0.28, 0.28
18.875, 19.68, 10.68, 11.36, 0.28, 0.28
19.125, 19.68, 10.48, 11.4, 0.32, 0.32
19.375, 19.36, 10.04, 11.12, 0.28, 0.32
19.625, 18.88, 9.48, 10.72, 0.28, 0.32
19.875, 18.32, 8.88, 10.24, 0.28, 0.32
