Reference molID, Reference formula, Test molID, Test formula, Perpendicular Distance, Planar Angle (Deg), Relative X-angle (Deg), Relative Y-angle (Deg), Relative Z-angle (Deg), Reference X-center, Reference Y-center, Reference Z-center, Test X-center, Test Y-center, Test Z-center
0.1, x-dummy-plane, 112, C4-O1, -0.09, 139.22, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.09, -17.57, -2.94
0.1, x-dummy-plane, 288, C4-O1, 0.13, 109.93, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.13, 4.35, -1.85
0.1, x-dummy-plane, 201, C4-O1, 0.14, 67.24, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.14, -7.81, -0.60
0.1, x-dummy-plane, 40, C4-O1, -0.19, 105.44, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.19, -18.12, -7.84
0.1, x-dummy-plane, 355, C6, -0.21, 63.89, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.21, -3.42, 7.66
0.1, x-dummy-plane, 421, C4-O1, 0.26, 68.54, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.26, 6.25, 14.01
0.1, x-dummy-plane, 340, C4-O1, -0.27, 87.18, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.27, -18.01, 11.72
0.1, x-dummy-plane, 193, C4-O1, -0.45, 54.94, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.45, -0.26, -5.66
0.1, x-dummy-plane, 48, C4-O1, 0.48, 156.88, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.48, 14.74, 17.10
0.1, x-dummy-plane, 287, C4-O1, 0.51, 59.44, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.51, 6.00, 4.96
0.1, x-dummy-plane, 409, C4-O1, -0.53, 87.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.53, 5.54, 18.99
0.1, x-dummy-plane, 74, C4-O1, 0.53, 19.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.53, 4.56, -9.26
0.1, x-dummy-plane, 69, C4-O1, -0.56, 101.44, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.56, -19.15, -16.95
0.1, x-dummy-plane, 133, C4-O1, 0.67, 23.21, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.67, 5.59, -15.06
0.1, x-dummy-plane, 364, C4-O1, 0.75, 135.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.75, -15.05, 17.15
0.1, x-dummy-plane, 279, C6, 0.83, 131.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.83, 13.79, 4.85
0.1, x-dummy-plane, 356, C4-O1, 0.86, 70.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.86, -5.05, 6.77
0.1, x-dummy-plane, 266, C4-O1, -0.87, 102.46, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.87, 13.37, 0.51
0.1, x-dummy-plane, 404, C4-O1, 0.88, 56.28, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.88, -10.85, 8.12
0.1, x-dummy-plane, 184, C4-O1, 0.93, 65.54, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.93, -9.59, 3.21
0.1, x-dummy-plane, 361, C4-O1, -0.94, 58.19, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.94, -12.37, 13.17
0.1, x-dummy-plane, 434, C6, 0.94, 108.49, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.94, 1.10, 15.54
0.1, x-dummy-plane, 139, C4-O1, -0.94, 36.63, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.94, 14.09, -7.17
0.1, x-dummy-plane, 189, C6, 0.97, 35.39, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.97, -5.01, -5.04
0.1, x-dummy-plane, 138, C6, -1.14, 149.92, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -1.14, 13.67, -9.21
0.1, x-dummy-plane, 195, C4-O1, 1.16, 144.13, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.16, -3.20, -1.11
0.1, x-dummy-plane, 190, C4-O1, 1.21, 72.79, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.21, -5.11, -4.46
0.1, x-dummy-plane, 362, C4-O1, 1.21, 74.41, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.21, -8.27, 12.34
0.1, x-dummy-plane, 118, C4-O1, 1.37, 122.49, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.37, 2.58, 8.62
0.1, x-dummy-plane, 280, C4-O1, 1.52, 70.41, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.52, 15.33, 3.56
0.1, x-dummy-plane, 435, C4-O1, 1.53, 110.69, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.53, -0.61, 14.29
0.1, x-dummy-plane, 191, C4-O1, 1.54, 137.72, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.54, -4.71, -5.29
0.1, x-dummy-plane, 130, C4-O1, -1.57, 98.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -1.57, 9.78, -17.55
0.1, x-dummy-plane, 68, C6, -1.58, 107.99, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -1.58, -17.41, -16.25
0.1, x-dummy-plane, 44, C4-O1, -1.60, 58.11, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -1.60, -12.60, -9.32
0.1, x-dummy-plane, 270, C4-O1, -1.65, 142.26, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -1.65, 7.13, 0.51
0.1, x-dummy-plane, 360, C6, -1.67, 158.39, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -1.67, -11.91, 15.16
0.1, x-dummy-plane, 126, C4-O1, 1.67, 111.47, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.67, 11.39, -11.38
0.1, x-dummy-plane, 53, C4-O1, -1.72, 86.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -1.72, -10.33, -18.67
0.1, x-dummy-plane, 259, C4-O1, -1.72, 157.26, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -1.72, 9.76, 9.27
0.1, x-dummy-plane, 215, C4-O1, 1.75, 40.68, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.75, -15.26, 0.64
0.1, x-dummy-plane, 42, C4-O1, 1.78, 62.42, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.78, -11.35, -12.14
0.1, x-dummy-plane, 203, C4-O1, -1.81, 109.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -1.81, -9.26, -5.09
0.1, x-dummy-plane, 141, C4-O1, -1.82, 27.24, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -1.82, 9.84, -5.85
0.1, x-dummy-plane, 438, C4-O1, -1.84, 18.25, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -1.84, -1.32, 17.34
0.1, x-dummy-plane, 214, C4-O1, 1.84, 134.66, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.84, -13.59, -5.67
0.1, x-dummy-plane, 192, C4-O1, 1.86, 53.29, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.86, -4.05, -6.77
0.1, x-dummy-plane, 131, C4-O1, 1.90, 76.54, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.90, 11.35, -15.15
0.1, x-dummy-plane, 197, C6, -1.90, 159.24, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -1.90, -11.98, -1.70
0.1, x-dummy-plane, 129, C4-O1, -1.96, 121.88, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -1.96, 8.67, -16.41
0.1, x-dummy-plane, 71, C4-O1, -1.96, 42.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -1.96, 18.21, 17.90
0.1, x-dummy-plane, 115, C4-O1, -2.00, 81.62, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -2.00, 14.37, -15.44
0.1, x-dummy-plane, 416, C4-O1, 2.09, 95.32, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.09, 9.97, 13.79
0.1, x-dummy-plane, 415, C6, 2.09, 137.26, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.09, 10.26, 13.21
0.1, x-dummy-plane, 113, C4-O1, 2.16, 84.54, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.16, 16.04, -14.83
0.1, x-dummy-plane, 128, C4-O1, -2.22, 83.53, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -2.22, 8.08, -15.65
0.1, x-dummy-plane, 419, C4-O1, 2.22, 81.93, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.22, 7.10, 9.24
0.1, x-dummy-plane, 111, C4-O1, -2.23, 137.46, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -2.23, 16.65, -3.37
0.1, x-dummy-plane, 437, C4-O1, -2.24, 124.19, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -2.24, -0.04, 11.64
0.1, x-dummy-plane, 268, C4-O1, 2.24, 111.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.24, 10.38, -1.29
0.1, x-dummy-plane, 127, C6, -2.25, 118.77, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -2.25, 8.70, -15.79
0.1, x-dummy-plane, 198, C4-O1, -2.26, 59.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -2.26, -11.86, -2.23
0.1, x-dummy-plane, 200, C4-O1, -2.27, 39.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -2.27, -11.47, 0.36
0.1, x-dummy-plane, 199, C4-O1, -2.32, 129.71, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -2.32, -11.61, -1.31
0.1, x-dummy-plane, 265, C6, -2.42, 74.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -2.42, 11.88, 0.53
0.1, x-dummy-plane, 152, C4-O1, -2.44, 61.84, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -2.44, 1.43, 3.38
0.1, x-dummy-plane, 140, C4-O1, 2.44, 60.94, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.44, 16.93, -7.95
0.1, x-dummy-plane, 281, C4-O1, -2.48, 80.98, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -2.48, 17.55, 3.85
0.1, x-dummy-plane, 336, C4-O1, 2.51, 114.27, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.51, -14.94, 8.70
0.1, x-dummy-plane, 426, C4-O1, -2.56, 79.72, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -2.56, 7.88, 15.72
0.1, x-dummy-plane, 54, C4-O1, -2.58, 100.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -2.58, -14.75, 19.03
0.1, x-dummy-plane, 207, C4-O1, 2.60, 49.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.60, 0.97, -3.67
0.1, x-dummy-plane, 299, C4-O1, -2.68, 107.87, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -2.68, -6.73, 3.87
0.1, x-dummy-plane, 38, C4-O1, 2.72, 113.33, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.72, -18.36, 4.58
0.1, x-dummy-plane, 417, C4-O1, 2.74, 170.25, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.74, 10.11, 13.10
0.1, x-dummy-plane, 64, C6, 2.78, 45.90, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.78, -8.67, -16.73
0.1, x-dummy-plane, 196, C4-O1, 2.81, 18.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.81, -8.44, -2.92
0.1, x-dummy-plane, 332, C4-O1, 2.81, 100.11, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.81, -5.35, 15.82
0.1, x-dummy-plane, 357, C4-O1, 2.83, 50.47, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.83, -2.28, 3.69
0.1, x-dummy-plane, 297, C4-O1, -2.83, 91.49, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -2.83, 1.03, -9.49
0.1, x-dummy-plane, 202, C4-O1, -2.90, 52.73, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -2.90, -15.91, 1.08
0.1, x-dummy-plane, 194, C4-O1, 2.97, 51.57, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.97, -8.11, -8.60
0.1, x-dummy-plane, 52, C4-O1, -3.01, 170.55, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -3.01, -10.32, -17.57
0.1, x-dummy-plane, 283, C6, 3.09, 80.98, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3.09, 6.38, 1.01
0.1, x-dummy-plane, 260, C4-O1, -3.14, 162.44, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -3.14, 5.69, 7.91
0.1, x-dummy-plane, 373, C4-O1, -3.23, 113.63, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -3.23, 9.56, -11.60
