HEADER
ITEM:    xlo    xhi    bin-span    bin-count    measure    delimiter
-18.664773 18.664773   3.393595      11     pmass-local     |     

DATA
ITEM: binID    lo    hi    center    C    H    O    C|0    C|3    C|5    C|6    H|0    O|0    O|3    O|5    O|6    C|0|Sp1    C|0|Sp2    C|0|Sp3    C|3|Sp3    C|5|Sp2    C|5|Sp3    C|6|Sp2    C|6|Sp3    H|0|Terminal    O|0|Sp2    O|0|Sp3    O|3|Sp3    O|5|Sp2    O|6|Sp2    C108-H79-O23|[3, 5, 6]|    C108-H79-O23|[3, 6]|    C108-H79-O23|[5, 6]|    C108-H79-O23|[5]|C4-O1    C108-H79-O23|[6]|C6    C108-H79-O23|[]|    C120-H89-O26|[5, 6]|    C120-H89-O26|[5]|    C120-H89-O26|[5]|C4-O1    C120-H89-O26|[]|    C15-H10-O3|[5]|C4-O1    C15-H10-O3|[]|    C15-H12-O4|[5]|C4-O1    C15-H12-O4|[]|    C159-H115-O32|[3]|C3    C159-H115-O32|[5, 6]|    C159-H115-O32|[5]|C4-O1    C159-H115-O32|[6]|C5-O1    C159-H115-O32|[6]|C6    C159-H115-O32|[]|    C186-H136-O37|[5, 6]|    C186-H136-O37|[5]|    C186-H136-O37|[5]|C4-O1    C186-H136-O37|[]|    C21-H14-O4|[5]|C4-O1    C21-H14-O4|[]|    C21-H16-O5|[5]|C4-O1    C21-H16-O5|[]|    C30-H23-O7|[5]|C4-O1    C30-H23-O7|[]|    C408-H296-O82|[3]|C2-O1    C408-H296-O82|[3]|C3    C408-H296-O82|[5, 6]|    C408-H296-O82|[5]|    C408-H296-O82|[5]|C4-O1    C408-H296-O82|[6]|C6    C408-H296-O82|[]|    C411-H304-O87|[3]|C3    C411-H304-O87|[5, 6]|    C411-H304-O87|[5]|    C411-H304-O87|[5]|C4-O1    C411-H304-O87|[6]|C6    C411-H304-O87|[]|    C42-H32-O10|[5]|C4-O1    C42-H32-O10|[]|    C45-H32-O10|[5]|C4-O1    C45-H32-O10|[]|    C6-H4-O1|[5]|C4-O1    C6-H4-O1|[]|    C60-H44-O12|[5, 6]|    C60-H44-O12|[5]|    C60-H44-O12|[5]|C4-O1    C60-H44-O12|[]|    C60-H45-O13|[5, 6]|    C60-H45-O13|[5]|    C60-H45-O13|[5]|C4-O1    C60-H45-O13|[]|    C66-H48-O13|[3]|C3    C66-H48-O13|[5, 6]|    C66-H48-O13|[5]|    C66-H48-O13|[5]|C4-O1    C66-H48-O13|[6]|C6    C66-H48-O13|[]|    C75-H56-O16|[5, 6]|    C75-H56-O16|[5]|    C75-H56-O16|[5]|C4-O1    C75-H56-O16|[6]|C6    C75-H56-O16|[]|    C87-H62-O17|[3]|C3    C87-H62-O17|[5, 6]|    C87-H62-O17|[5]|C4-O1    C87-H62-O17|[6]|C6    C87-H62-O17|[]|    C87-H63-O18|[3, 5, 6]|    C87-H63-O18|[3, 6]|    C87-H63-O18|[5, 6]|    C87-H63-O18|[5]|C4-O1    C87-H63-O18|[6]|C6    C87-H63-O18|[]|
1    -18.6648    -15.2712    -16.9680    71.1334    4.7258    24.1407    26.8367    1.2933    31.3634    11.6400    4.7258    6.0352    0.0000    17.6745    0.4311    3.2333    19.7234    3.8800    1.2933    30.7167    0.6467    5.4967    6.1433    4.7258    1.7243    4.3108    0.0000    17.6745    0.4311    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.9700    0.0000    2.8022    4.5572    8.4065    3.1570    0.0000    0.0000    0.9700    0.6467    7.4365    1.0778    0.9700    5.0707    0.0000    0.0000    0.4311    0.0815    0.0000    0.0000    1.7244    0.8096    1.8322    0.3777    0.0000    0.0000    0.0000    0.0000    3.1255    0.0000    0.7553    0.3233    2.5867    0.4311    8.1909    2.5867    11.4881    0.0000    0.0000    0.0000    0.0000    1.4011    0.7281    0.0000    0.0000    0.0000    0.0000    0.0000    0.4311    3.2333    1.1601    0.0000    0.6467    0.0000    6.0354    0.9700    4.3163    0.0000    0.0000    0.0000    0.0000    1.8865    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.9700    3.5566    0.6467    3.2096
2    -15.2712    -11.8776    -13.5744    75.6000    4.5651    19.8349    30.9687    1.5181    34.0048    9.1084    4.5651    8.5007    0.0000    10.9294    0.4048    3.6434    23.6819    3.6434    1.5181    33.7012    0.3036    4.5542    4.5542    4.5651    2.8336    5.6671    0.0000    10.9294    0.4048    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.2145    0.0000    5.4650    6.6835    11.6384    1.7755    0.0000    0.0000    0.0000    0.6072    4.7566    0.0000    0.6072    7.3417    0.0000    0.0000    0.3036    5.0626    0.0000    0.0000    0.0000    0.0000    0.9108    0.7347    0.0000    0.0000    0.0000    0.0000    1.9229    0.0000    1.4440    0.6072    1.2145    0.0000    11.4359    1.2145    8.4845    0.0000    0.0000    0.4048    0.0510    0.0000    0.0765    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0510    0.9108    0.3036    0.0000    2.2265    1.2145    3.0130    0.0000    0.0000    1.6193    0.0000    2.4050    0.0000    0.0000    0.0000    0.0000    0.0000    0.6072    0.3036    1.0120    4.2505    1.2145    6.9114
3    -11.8776    -8.4840    -10.1808    76.1998    4.7237    19.0765    26.9528    0.9983    41.5938    6.6550    4.7237    4.8800    0.0000    14.1965    0.0000    3.6603    18.9668    4.3258    0.9983    41.5938    0.0000    2.3293    4.3258    4.7237    1.7746    3.1055    0.0000    14.1965    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.6655    0.4436    2.9947    5.2716    11.9788    2.4996    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.1380    1.9965    0.4436    6.2112    5.5232    0.9983    0.4446    1.7746    1.5537    1.7746    2.2751    0.0000    0.0000    1.9965    0.4436    6.4331    0.0000    3.2760    0.9983    0.6655    0.0000    6.6549    1.3310    3.7485    0.9983    0.4446    4.1039    2.7756    4.3257    2.3319    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0559    0.0000    0.0000    3.1056    0.0000    1.6385    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    3.1056    0.0000    3.5799
4    -8.4840    -5.0904    -6.7872    76.6880    4.9996    18.3124    29.7595    0.0000    40.0609    6.8676    4.9996    5.0868    0.0000    13.2256    0.0000    6.1045    19.4581    4.1969    0.0000    39.2978    0.7631    2.2892    4.5784    4.9996    3.0521    2.0347    0.0000    13.2256    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.9077    0.6059    3.6881    0.9874    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    4.5784    1.0174    8.6480    3.4399    1.6533    0.4456    0.0000    3.7853    0.0000    2.5766    0.0000    0.0000    0.0000    0.0000    9.1567    0.0000    3.4078    0.0000    0.0000    0.0000    2.5435    0.0000    6.4890    0.8902    3.1494    2.9250    5.9483    12.0817    5.0301    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.6533    0.0000    1.0184    2.2892    0.5087    6.1044    0.0000    2.4845    0.0000    0.0000    0.0000    0.0000    0.0320    0.0000    0.0000    0.0000    0.5087    0.0000    0.4456
5    -5.0904    -1.6968    -3.3936    75.3630    4.5414    20.0955    26.2132    0.3277    40.6305    8.1916    4.5414    3.9317    0.0000    16.1638    0.0000    3.6043    18.0216    4.5873    0.3277    40.3028    0.3277    4.5873    3.6043    4.5414    1.3106    2.6212    0.0000    16.1638    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    3.3858    1.2032    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    4.4780    1.5584    1.0922    0.4102    1.7475    1.2298    1.7475    0.4919    0.0000    0.3277    2.2937    0.4369    12.8880    1.9660    9.3236    0.0000    0.0000    0.0000    2.0752    0.0000    3.1149    1.7475    2.9507    1.0922    1.1748    9.5021    2.2412    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.3107    0.0000    0.6553    0.0000    4.6166    1.6383    0.4369    11.2496    0.9830    4.4025    0.0000    0.0000    4.2596    0.0000    1.9686    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
6    -1.6968    1.6968    -0.0000    72.9612    4.3412    22.6976    24.9284    0.6080    35.5686    11.8562    4.3412    7.7010    0.0000    14.9966    0.0000    3.9521    16.4163    4.5601    0.6080    34.6566    0.9120    5.1681    6.6881    4.3412    2.8372    4.8638    0.0000    14.9966    0.0000    0.0000    0.0000    0.0000    2.9387    0.0000    1.1674    0.0000    0.0000    0.0000    0.0000    3.3440    0.7612    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.6080    0.0000    2.9387    0.5083    1.6213    0.0255    0.0000    0.0000    0.0000    0.0000    0.0000    0.6080    2.4320    0.0000    12.3626    3.9521    16.5534    0.0000    0.0000    0.0000    2.5333    0.0000    1.1674    2.3307    3.4214    2.2293    0.4062    0.3040    1.6732    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.6080    0.4053    4.1547    0.0000    1.6246    2.4320    0.0000    9.3226    0.3040    4.6925    0.0000    0.6080    6.0800    0.9120    4.9694    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
7    1.6968    5.0904    3.3936    75.5264    4.4217    20.0519    26.4833    2.6156    36.6188    9.8086    4.4217    5.2309    0.0000    14.8210    0.0000    4.9043    16.6746    4.9043    2.6156    36.2919    0.3270    4.2504    5.5582    4.4217    1.7436    3.4873    0.0000    14.8210    0.0000    0.0000    0.0000    0.6539    4.7953    1.3078    5.8903    0.0000    0.0000    0.0000    0.0000    2.7246    0.8187    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.3078    0.4359    3.8144    3.3545    1.4168    0.7088    0.0000    0.0000    0.0000    0.0000    0.0000    1.6348    0.9809    0.0000    16.5654    1.6348    16.9596    0.0000    0.0000    0.0000    5.7760    0.0000    1.5001    2.7246    0.4643    0.0000    0.0000    1.0898    0.4093    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.3078    0.0000    4.2503    0.0000    0.9285    0.3270    0.4359    6.2120    0.0000    1.7472    0.9809    0.6539    1.1988    1.6348    3.3545    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
8    5.0904    8.4840    6.7872    76.0127    4.3998    19.5875    38.3257    1.5969    28.7443    7.3458    4.3998    9.3679    0.0000    10.2196    0.0000    5.7489    28.7443    3.8326    1.5969    28.7443    0.0000    3.5132    3.8326    4.3998    3.8323    5.5356    0.0000    10.2196    0.0000    0.6388    0.3194    0.6388    5.3229    1.2775    16.0033    0.0000    0.0000    0.0000    0.0268    7.9844    1.5458    0.0000    0.3999    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.2096    0.3194    0.0537    0.0000    0.0000    0.0000    0.0000    0.3194    1.2775    1.2775    0.0000    5.7488    2.5550    16.0051    0.0000    0.0000    0.0000    3.6196    0.0000    7.3508    0.0000    0.0268    0.0000    0.0000    3.6196    2.5308    0.0000    0.0000    3.4067    0.8534    0.0000    0.0000    0.0000    0.0000    0.0000    0.6388    0.4258    3.0873    0.0000    1.1459    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    5.4294    0.0000    3.9416    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
9    8.4840    11.8776    10.1808    73.0429    4.4837    22.4733    32.3075    0.3512    33.7121    6.6722    4.4837    9.3639    0.4682    12.1731    0.4682    3.1605    24.2306    4.9164    0.3512    33.3610    0.3512    2.8093    3.8628    4.4837    4.2138    5.1501    0.4682    12.1731    0.4682    0.0000    0.0000    1.1705    1.0535    0.0000    3.4840    0.0000    0.0000    0.8194    2.7522    4.7992    0.6167    3.7457    3.3089    0.0000    0.0000    1.0535    0.0000    0.0000    0.5282    1.7558    0.4682    4.0969    1.7586    0.0000    0.0000    0.0000    2.6637    0.0000    0.0000    0.8194    0.0000    0.0000    0.0000    4.2139    0.0000    5.0951    0.0000    0.0000    0.0000    7.4915    0.0000    18.7381    0.0000    0.0000    0.0000    0.0000    8.6620    1.8176    4.2140    0.4682    7.1403    2.4048    0.0000    0.0000    1.0535    2.8987    0.0000    0.0000    0.0000    0.4682    0.0000    0.0295    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3512    0.0000    0.0590    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
10    11.8776    15.2712    13.5744    73.8678    4.9942    21.1381    34.5917    0.0000    33.8711    5.4050    4.9942    6.2453    0.0000    14.8927    0.0000    5.0446    25.9438    3.6033    0.0000    33.8711    0.0000    1.8017    3.6033    4.9942    3.3629    2.8825    0.0000    14.8927    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3906    0.0000    0.0000    6.4859    4.0563    4.0837    1.5350    0.0000    0.0000    0.0000    0.3603    6.7260    0.0000    0.7207    6.4008    0.3603    0.0000    2.4021    1.4745    0.0000    0.0000    0.0000    3.2741    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.9217    0.0000    4.8678    0.0000    1.8017    0.9608    7.8070    0.0000    15.5935    0.0000    0.0000    0.0000    0.0000    5.0445    3.2156    0.0000    0.4804    6.6059    2.2254    2.1620    0.4804    3.9635    2.2557    0.0000    0.0000    0.0000    1.0810    0.0000    0.5117    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.7207    0.0000    0.0303
