HEADER
ITEM:    ylo    yhi    bin-span    bin-count    measure    delimiter
-19.056636 19.056636   3.464843      11     pmass-local     |     

DATA
ITEM: binID    lo    hi    center    C    H    O    C|0    C|3    C|5    C|6    H|0    O|0    O|3    O|5    O|6    C|0|Sp1    C|0|Sp2    C|0|Sp3    C|3|Sp3    C|5|Sp2    C|5|Sp3    C|6|Sp2    C|6|Sp3    H|0|Terminal    O|0|Sp2    O|0|Sp3    O|3|Sp3    O|5|Sp2    O|6|Sp2    C108-H79-O23|[3, 5, 6]|    C108-H79-O23|[3, 6]|    C108-H79-O23|[5, 6]|    C108-H79-O23|[5]|C4-O1    C108-H79-O23|[6]|C6    C108-H79-O23|[]|    C120-H89-O26|[5, 6]|    C120-H89-O26|[5]|    C120-H89-O26|[5]|C4-O1    C120-H89-O26|[]|    C15-H10-O3|[5]|C4-O1    C15-H10-O3|[]|    C15-H12-O4|[5]|C4-O1    C15-H12-O4|[]|    C159-H115-O32|[3]|C3    C159-H115-O32|[5, 6]|    C159-H115-O32|[5]|C4-O1    C159-H115-O32|[6]|C5-O1    C159-H115-O32|[6]|C6    C159-H115-O32|[]|    C186-H136-O37|[5, 6]|    C186-H136-O37|[5]|    C186-H136-O37|[5]|C4-O1    C186-H136-O37|[]|    C21-H14-O4|[5]|C4-O1    C21-H14-O4|[]|    C21-H16-O5|[5]|C4-O1    C21-H16-O5|[]|    C30-H23-O7|[5]|C4-O1    C30-H23-O7|[]|    C408-H296-O82|[3]|C2-O1    C408-H296-O82|[3]|C3    C408-H296-O82|[5, 6]|    C408-H296-O82|[5]|    C408-H296-O82|[5]|C4-O1    C408-H296-O82|[6]|C6    C408-H296-O82|[]|    C411-H304-O87|[3]|C3    C411-H304-O87|[5, 6]|    C411-H304-O87|[5]|    C411-H304-O87|[5]|C4-O1    C411-H304-O87|[6]|C6    C411-H304-O87|[]|    C42-H32-O10|[5]|C4-O1    C42-H32-O10|[]|    C45-H32-O10|[5]|C4-O1    C45-H32-O10|[]|    C6-H4-O1|[5]|C4-O1    C6-H4-O1|[]|    C60-H44-O12|[5, 6]|    C60-H44-O12|[5]|    C60-H44-O12|[5]|C4-O1    C60-H44-O12|[]|    C60-H45-O13|[5, 6]|    C60-H45-O13|[5]|    C60-H45-O13|[5]|C4-O1    C60-H45-O13|[]|    C66-H48-O13|[3]|C3    C66-H48-O13|[5, 6]|    C66-H48-O13|[5]|    C66-H48-O13|[5]|C4-O1    C66-H48-O13|[6]|C6    C66-H48-O13|[]|    C75-H56-O16|[5, 6]|    C75-H56-O16|[5]|    C75-H56-O16|[5]|C4-O1    C75-H56-O16|[6]|C6    C75-H56-O16|[]|    C87-H62-O17|[3]|C3    C87-H62-O17|[5, 6]|    C87-H62-O17|[5]|C4-O1    C87-H62-O17|[6]|C6    C87-H62-O17|[]|    C87-H63-O18|[3, 5, 6]|    C87-H63-O18|[3, 6]|    C87-H63-O18|[5, 6]|    C87-H63-O18|[5]|C4-O1    C87-H63-O18|[6]|C6    C87-H63-O18|[]|
1    -19.0566    -15.5918    -17.3242    74.4315    4.7982    20.7703    28.0416    0.0000    40.5046    5.8853    4.7982    7.3850    0.0000    13.3853    0.0000    3.4619    20.4254    4.1543    0.0000    40.5046    0.0000    2.4234    3.4619    4.7982    3.6925    3.6925    0.0000    13.3853    0.0000    0.0000    0.0000    0.0000    0.6924    0.0000    3.2620    0.0000    0.0000    0.0000    0.0000    12.6936    2.8332    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0872    0.0000    0.0000    3.0003    1.2712    3.6927    0.8669    1.3848    2.6850    0.8078    0.4044    0.0000    0.0000    1.3848    0.0000    6.5776    1.3848    6.7876    0.0000    0.0000    0.0000    1.3848    0.0000    6.6666    4.5004    5.4264    1.8463    0.0582    4.8466    2.3970    0.3462    0.4616    3.3465    1.2131    1.3848    0.4616    3.0003    0.8669    0.0000    0.0000    0.0000    3.0003    0.0000    0.4916    0.0000    0.0000    1.0386    0.0000    0.4625    0.0000    0.0000    0.0000    0.0000    0.0582    0.0000    0.0000    0.6924    1.1539    0.6924    4.3869
2    -15.5918    -12.1270    -13.8594    74.1749    4.3835    21.4416    29.2105    0.9846    35.4464    8.5334    4.3835    5.6886    0.0000    15.7530    0.0000    3.2821    20.3489    5.5795    0.9846    35.1182    0.3282    2.9539    5.5795    4.3835    3.9382    1.7503    0.0000    15.7530    0.0000    0.0000    0.0000    0.6564    4.5948    0.3282    4.2701    0.0000    0.0000    0.0000    0.0000    5.0324    1.2879    0.0000    0.0000    0.0000    0.6564    7.9863    0.0000    0.6564    4.5993    0.0000    0.0000    2.0786    1.8065    0.0000    0.3558    0.4376    3.6387    0.0000    0.0000    0.0000    0.9846    1.6410    0.4376    11.3776    0.6564    7.0638    0.0000    1.3128    0.4376    3.1726    0.0000    5.4202    4.1572    3.8317    0.0000    0.0000    3.6102    1.4507    1.6410    0.0000    1.5316    0.9045    0.0000    0.0000    1.7504    0.4109    0.0000    0.0000    0.0000    0.0000    0.0000    0.0276    0.9846    0.0000    2.8444    0.0000    0.8494    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.7504    0.0000    3.3656
3    -12.1270    -8.6621    -10.3945    75.1896    4.8539    19.9565    26.4556    0.0000    38.9872    9.7468    4.8539    4.6410    0.0000    15.3154    0.0000    3.4810    18.7974    4.1772    0.0000    38.6391    0.3481    4.5253    5.2215    4.8539    0.9282    3.7128    0.0000    15.3154    0.0000    0.0000    0.0000    0.0000    4.8733    1.0443    5.6893    0.0000    0.0000    0.0000    0.8424    9.5146    3.0215    0.0000    0.0000    0.0000    0.6962    6.8458    0.0000    1.0443    6.5901    1.0443    0.0000    0.8122    3.9177    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.7848    0.4641    6.0336    1.3924    6.5326    0.0000    0.6962    0.0000    12.6474    0.0000    5.1714    0.3481    0.1170    0.0000    0.0000    0.8122    0.4651    0.0000    0.0000    5.2214    0.9301    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0443    0.4641    4.4092    0.0000    1.8018    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.8565    0.0000    0.8716
4    -8.6621    -5.1973    -6.9297    75.9059    4.6322    19.4618    27.5727    1.6219    34.3847    12.3266    4.6322    5.6223    0.0000    13.4070    0.4325    3.2438    20.7606    3.5682    1.6219    33.4116    0.9732    6.8121    5.5145    4.6322    2.1624    3.4599    0.0000    13.4070    0.4325    0.6488    0.3244    1.0813    0.0000    0.0000    5.0301    1.2975    0.0000    5.8388    1.9506    9.7314    1.7063    0.0000    0.0272    0.9732    0.0000    2.3788    0.9732    1.2975    6.1139    0.9732    0.4325    3.1357    0.8940    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.6488    0.3244    0.0000    6.0550    0.6488    8.6289    0.0000    1.9463    0.0000    11.4614    1.2975    10.2544    0.0000    0.0000    0.0000    0.0000    2.7032    1.4883    0.9732    0.4325    2.0544    0.8395    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.9732    0.0000    3.5681    0.0000    0.8395    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0545
5    -5.1973    -1.7324    -3.4648    74.0196    4.4052    21.5752    30.2671    0.2997    31.4658    11.9870    4.4052    7.9908    0.0000    13.1848    0.3995    2.9967    22.1759    5.0945    0.2997    31.1661    0.2997    5.0945    6.8925    4.4052    2.3972    5.5936    0.0000    13.1848    0.3995    0.0000    0.0000    0.5993    0.6992    1.1987    3.5237    2.3974    0.7991    10.2886    9.1468    3.8957    1.1256    1.5982    0.3752    0.0000    0.8990    2.6970    0.9989    1.4984    1.8500    0.5993    0.0000    3.7958    1.2263    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.2997    0.5993    0.0000    5.4939    1.1987    7.1725    0.0000    0.5993    0.3995    5.9934    0.0000    15.1661    0.0000    0.0000    0.0000    0.0000    3.1965    0.7252    0.8990    0.0000    2.4973    1.1256    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.8990    0.3995    2.8968    0.0000    1.2263    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
6    -1.7324    1.7324    0.0000    73.1995    4.5056    22.2950    37.8618    0.9465    28.7119    5.6793    4.5056    9.6752    0.0000    12.6198    0.0000    5.3638    28.0808    4.4172    0.9465    28.7119    0.0000    2.2086    3.4707    4.5056    4.2066    5.4686    0.0000    12.6198    0.0000    0.0000    0.0000    0.0000    1.3672    0.0000    4.4975    0.0000    0.0000    3.7861    10.3639    4.4171    0.4480    0.0000    2.5514    0.0000    0.3155    4.1016    0.0000    0.6310    4.8420    1.2621    0.4207    2.7344    1.2116    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.6310    0.0000    9.4653    0.6310    5.7646    0.9465    0.9465    0.0000    6.9412    1.2621    17.1785    0.0000    0.0000    0.0000    0.0000    3.9965    1.8426    0.0000    0.0000    1.0517    0.0530    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.4198    0.0000    0.0000    3.0499    0.0000    0.8696    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
7    1.7324    5.1973    3.4648    77.1128    4.6311    18.2561    34.2323    1.8017    35.6737    5.4051    4.6311    6.7259    0.4804    11.0497    0.0000    5.7654    23.0618    5.4051    1.8017    35.6737    0.0000    2.5224    2.8827    4.6311    3.3630    3.3630    0.4804    11.0497    0.0000    0.0000    0.0000    0.0000    0.7207    0.0000    0.4814    0.0000    0.0000    1.9218    1.3524    1.8017    0.6025    1.5614    0.4511    0.0000    0.0000    3.3631    0.0000    0.0000    6.5192    0.7207    0.0000    1.5614    3.6658    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.2011    1.0810    0.0000    0.0000    5.2849    0.7207    5.7702    0.0000    1.8017    0.4804    10.4497    0.0000    11.9291    0.0000    0.0000    0.0000    0.0000    4.2039    2.5253    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.5224    0.0000    1.7138    2.1620    0.4804    8.1676    0.0000    8.2330    0.0000    0.0000    4.2039    0.0000    2.3455    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
8    5.1973    8.6621    6.9297    74.1479    5.0642    20.7878    20.4427    0.0000    43.3107    10.3946    5.0642    5.0815    0.0000    15.7064    0.0000    3.4649    13.5129    3.4649    0.0000    42.2712    1.0395    4.8508    5.5438    5.0642    2.7717    2.3098    0.0000    15.7064    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3465    0.4338    5.1972    1.2432    0.3465    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.2713    1.3859    0.4620    8.3156    4.5962    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3465    0.0000    2.1944    1.0395    5.2018    0.0000    0.6930    0.0000    10.2789    1.3859    3.8178    0.0000    0.0000    1.1549    0.4920    6.6986    2.9784    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.6930    0.4338    0.0000    3.1184    0.4620    7.1606    0.3465    4.5962    0.0000    0.0000    5.5437    0.0000    2.7464    0.0000    0.6930    7.1606    1.3859    1.7934    0.0000    0.0000    0.0000    3.0028    0.0000    0.9840
9    8.6621    12.1270    10.3945    75.0874    4.2550    20.6577    22.3474    0.8939    40.8213    11.0247    4.2550    3.1781    0.0000    17.4796    0.0000    3.8736    14.6003    3.8736    0.8939    40.5233    0.2980    4.4695    6.5552    4.2550    0.7945    2.3836    0.0000    17.4796    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    4.8667    1.4171    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.0858    0.3973    4.8667    2.2884    0.0000    0.0000    0.0000    0.0000    0.2980    0.3480    0.0000    0.0000    0.8939    0.0000    5.1646    0.8939    5.8889    0.0000    0.8939    0.0000    4.8667    0.0000    2.4362    0.0000    0.0000    4.4694    2.3861    8.6409    2.3861    0.0000    0.0000    0.0000    0.0000    1.1919    0.0000    0.9932    1.4664    0.0000    1.4898    0.3973    12.6136    0.8939    5.1719    0.0000    0.0000    2.7810    0.8939    1.6165    0.8939    0.0000    2.4830    0.0000    2.4353    0.0000    0.0000    0.5959    5.4626    1.1919    1.9395
10    12.1270    15.5918    13.8594    76.8642    4.0226    19.1132    34.4669    2.4401    29.5866    10.3706    4.0226    8.5399    0.0000    10.5733    0.0000    4.5753    26.2314    3.6602    2.4401    28.9766    0.6100    5.1853    5.1853    4.0226    2.8466    5.6933    0.0000    10.5733    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    5.2869    1.1456    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.5251    0.4067    6.6086    4.9603    0.0000    0.0000    0.3050    2.0599    3.8635    1.8573    0.0000    0.6100    0.6100    0.0000    5.5919    1.8301    11.9012    0.9151    1.2201    0.4067    2.5418    0.0000    3.5874    0.0000    0.0000    1.2201    5.2124    2.2368    2.0607    0.0000    0.0000    0.0000    0.0000    0.6100    0.4067    3.7618    2.6211    0.9151    0.0000    0.0000    1.9317    0.6100    2.6202    0.6100    0.0000    2.3384    0.3050    1.0688    0.0000    0.6100    1.3217    1.2201    6.2300    0.3050    0.3050    0.6100    1.9317    0.0000    1.7044
