HEADER
ITEM:    zlo    zhi    bin-span    bin-count    measure    delimiter
-19.305240 19.305240   3.217540      12     pmass-local     |     

DATA
ITEM: binID    lo    hi    center    C    H    O    C|0    C|3    C|5    C|6    H|0    O|0    O|3    O|5    O|6    C|0|Sp1    C|0|Sp2    C|0|Sp3    C|3|Sp3    C|5|Sp2    C|5|Sp3    C|6|Sp2    C|6|Sp3    H|0|Terminal    O|0|Sp2    O|0|Sp3    O|3|Sp3    O|5|Sp2    O|6|Sp2    C108-H79-O23|[3, 5, 6]|    C108-H79-O23|[3, 6]|    C108-H79-O23|[5, 6]|    C108-H79-O23|[5]|C4-O1    C108-H79-O23|[6]|C6    C108-H79-O23|[]|    C120-H89-O26|[5, 6]|    C120-H89-O26|[5]|    C120-H89-O26|[5]|C4-O1    C120-H89-O26|[]|    C15-H10-O3|[5]|C4-O1    C15-H10-O3|[]|    C15-H12-O4|[5]|C4-O1    C15-H12-O4|[]|    C159-H115-O32|[3]|C3    C159-H115-O32|[5, 6]|    C159-H115-O32|[5]|C4-O1    C159-H115-O32|[6]|C5-O1    C159-H115-O32|[6]|C6    C159-H115-O32|[]|    C186-H136-O37|[5, 6]|    C186-H136-O37|[5]|    C186-H136-O37|[5]|C4-O1    C186-H136-O37|[]|    C21-H14-O4|[5]|C4-O1    C21-H14-O4|[]|    C21-H16-O5|[5]|C4-O1    C21-H16-O5|[]|    C30-H23-O7|[5]|C4-O1    C30-H23-O7|[]|    C408-H296-O82|[3]|C2-O1    C408-H296-O82|[3]|C3    C408-H296-O82|[5, 6]|    C408-H296-O82|[5]|    C408-H296-O82|[5]|C4-O1    C408-H296-O82|[6]|C6    C408-H296-O82|[]|    C411-H304-O87|[3]|C3    C411-H304-O87|[5, 6]|    C411-H304-O87|[5]|    C411-H304-O87|[5]|C4-O1    C411-H304-O87|[6]|C6    C411-H304-O87|[]|    C42-H32-O10|[5]|C4-O1    C42-H32-O10|[]|    C45-H32-O10|[5]|C4-O1    C45-H32-O10|[]|    C6-H4-O1|[5]|C4-O1    C6-H4-O1|[]|    C60-H44-O12|[5, 6]|    C60-H44-O12|[5]|    C60-H44-O12|[5]|C4-O1    C60-H44-O12|[]|    C60-H45-O13|[5, 6]|    C60-H45-O13|[5]|    C60-H45-O13|[5]|C4-O1    C60-H45-O13|[]|    C66-H48-O13|[3]|C3    C66-H48-O13|[5, 6]|    C66-H48-O13|[5]|    C66-H48-O13|[5]|C4-O1    C66-H48-O13|[6]|C6    C66-H48-O13|[]|    C75-H56-O16|[5, 6]|    C75-H56-O16|[5]|    C75-H56-O16|[5]|C4-O1    C75-H56-O16|[6]|C6    C75-H56-O16|[]|    C87-H62-O17|[3]|C3    C87-H62-O17|[5, 6]|    C87-H62-O17|[5]|C4-O1    C87-H62-O17|[6]|C6    C87-H62-O17|[]|    C87-H63-O18|[3, 5, 6]|    C87-H63-O18|[3, 6]|    C87-H63-O18|[5, 6]|    C87-H63-O18|[5]|C4-O1    C87-H63-O18|[6]|C6    C87-H63-O18|[]|
1    -19.3052    -16.0877    -17.6965    75.1757    4.7787    20.0456    35.7592    0.8127    29.6639    8.9398    4.7787    6.5013    0.0000    13.5443    0.0000    4.4699    25.6004    5.6890    0.8127    29.2576    0.4064    2.0318    6.9080    4.7787    2.1671    4.3342    0.0000    13.5443    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.2191    0.0000    5.2825    2.5096    4.1990    1.1199    0.0000    0.0000    0.0000    0.0000    2.9799    0.0000    0.0000    1.5252    0.0000    0.0000    0.0000    1.7620    0.0000    0.0000    0.0000    6.3000    2.9799    1.0175    0.0000    0.8127    4.0635    0.5418    8.3978    1.2191    13.2178    0.0000    0.0000    0.0000    3.3863    0.0000    8.6743    0.0000    0.0000    0.0000    0.0000    3.5217    0.5088    0.0000    0.0000    0.0000    0.0000    1.2191    0.5418    2.8444    2.3390    0.0000    1.2191    0.5418    3.2507    0.0000    3.3554    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0341    0.0000    0.0000    0.0000    4.7407    0.0000    4.6757
2    -16.0877    -12.8702    -14.4789    74.4793    4.3736    21.1471    28.9642    0.3448    36.5500    8.6203    4.3736    7.8152    0.0000    13.3319    0.0000    3.1033    21.3783    4.4825    0.3448    36.2052    0.3448    4.4825    4.1377    4.3736    4.1375    3.6778    0.0000    13.3319    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.4137    0.9194    3.2182    6.0102    8.5052    1.7268    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0290    0.0000    0.0000    0.0000    0.0000    0.0000    0.0290    1.8390    2.0417    0.0000    0.0000    0.0000    0.3448    0.0000    0.0000    10.6890    2.7585    9.0872    0.0000    1.3792    0.0000    16.5506    1.0344    11.4458    0.0000    0.0000    1.0344    0.4607    0.3448    1.2082    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.3792    2.4435    0.0000    1.0344    0.0000    4.7124    0.0000    3.9106    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.6896    0.0000    2.7603
3    -12.8702    -9.6526    -11.2614    75.9266    4.6995    19.3740    28.6995    2.5430    34.8754    9.8087    4.6995    5.8122    0.0000    13.5618    0.0000    5.4493    19.6174    3.6328    2.5430    34.1488    0.7266    4.7227    5.0860    4.6995    1.9374    3.8748    0.0000    13.5618    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.7266    0.0000    7.0234    1.8193    4.9648    1.0317    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.5742    0.9097    0.0000    0.4243    0.0000    0.0000    0.0000    1.0899    1.4531    0.4843    5.8125    1.0899    11.4220    1.4531    2.9063    0.4843    13.0781    1.8164    17.8438    0.0000    0.0000    1.2109    0.4243    8.7187    3.6968    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0305    0.0000    1.8164    0.4843    3.8750    0.0000    1.4866    0.0000    0.0000    0.7266    0.0000    0.1221    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
4    -9.6526    -6.4351    -8.0438    75.9737    4.1380    19.8884    28.4468    0.6938    39.2010    7.6321    4.1380    4.1627    0.0000    15.7257    0.0000    4.5099    20.1209    3.8160    0.6938    38.8541    0.3469    3.4691    4.1629    4.1380    0.9250    3.2376    0.0000    15.7257    0.0000    0.0000    0.0000    0.0000    1.5033    0.0000    2.2272    0.0000    0.0000    0.0000    0.0583    8.2101    1.7082    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    5.8974    1.1864    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.0815    0.0000    8.3257    0.6938    6.2207    0.6938    1.7346    0.4625    12.2573    2.7753    17.9657    0.0000    0.0000    1.5033    0.8104    9.1352    3.2707    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3469    0.0000    1.9658    0.0000    0.8687    0.0000    0.0000    5.6661    0.0000    2.4312    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
5    -6.4351    -3.2175    -4.8263    74.3681    4.8101    20.8218    30.8628    0.0000    39.0433    4.4621    4.8101    7.9321    0.0000    12.8897    0.0000    4.0902    22.6823    4.0902    0.0000    39.0433    0.0000    1.1155    3.3466    4.8101    3.4703    4.4618    0.0000    12.8897    0.0000    0.0000    0.0000    0.7437    5.5775    0.3718    2.3892    0.0000    0.0000    0.0000    0.0000    4.8338    1.7997    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.2394    0.4968    0.0000    0.0625    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    10.2874    0.0000    12.2463    0.0000    1.1155    0.0000    10.2874    0.0000    14.8218    0.0000    0.0000    3.5944    2.5736    3.0986    2.2028    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    3.0986    0.0000    0.9936    2.2310    0.4958    8.3043    0.0000    5.9251    0.0000    0.0000    1.1155    0.0000    0.0937    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
6    -3.2175    0.0000    -1.6088    75.1284    5.1275    19.7441    28.5344    0.0000    32.5075    14.0866    5.1275    6.2603    0.0000    13.0022    0.4816    2.1672    19.8657    6.5015    0.0000    32.1463    0.3612    6.5015    7.5851    5.1275    4.3341    1.9262    0.0000    13.0022    0.4816    0.7224    0.3612    1.9263    4.2139    2.1672    4.0689    0.0000    0.0000    0.0000    0.0000    4.5751    1.0561    0.0000    0.0000    0.0000    0.0000    0.7224    0.0000    0.0000    0.4522    1.8060    0.4816    3.8527    1.7482    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.9263    0.0000    6.2655    0.0000    1.8060    0.4816    5.8994    0.0000    10.1210    0.0000    0.0000    4.2139    4.1864    3.4915    0.9044    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.7224    0.0000    1.2040    1.4448    2.5303    3.2507    0.4816    10.1133    0.0000    6.7803    0.0000    0.0000    3.8527    0.3612    1.8089    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
7    0.0000    3.2175    1.6088    74.8020    4.6116    20.5864    26.7640    1.0294    38.7735    8.2351    4.6116    6.8621    0.0000    13.7243    0.0000    3.7744    19.5583    3.4313    1.0294    38.0872    0.6863    3.4313    4.8038    4.6116    2.7449    4.1173    0.0000    13.7243    0.0000    0.0000    0.0000    0.0000    2.6306    0.3431    5.2351    0.0000    0.0000    0.0000    0.0000    4.5750    1.4041    0.0000    0.0000    0.0000    0.3431    7.4343    0.0000    0.0000    3.4647    0.3431    0.0000    4.1175    0.6314    0.0000    0.0000    0.3431    0.4008    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.7156    0.0000    0.9168    0.0000    2.4019    0.4575    8.9212    0.0000    11.7591    0.0000    0.4008    0.0000    1.9453    3.5456    1.2888    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0294    0.0000    0.0000    4.0031    0.0000    2.4902    1.7156    0.4575    12.0093    1.3725    5.0966    0.0000    0.6863    2.2875    1.0294    3.2043    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
8    3.2175    6.4351    4.8263    74.3434    4.0308    21.6258    31.4270    1.3517    34.4683    7.0964    4.0308    7.2086    0.0000    14.4172    0.0000    4.3930    23.3168    3.7172    1.3517    34.1304    0.3379    3.7172    3.3792    4.0308    3.1538    4.0548    0.0000    14.4172    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    11.0424    0.0000    0.0000    1.0138    2.7610    8.5606    2.3398    0.0000    0.0000    0.3379    1.0138    3.2665    0.0000    2.7034    8.6493    1.0138    0.0000    4.9562    1.3828    0.0000    0.0000    1.4643    0.4515    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.9286    0.0000    1.2125    0.0000    0.0000    0.0000    1.3517    0.0000    0.5366    3.6045    3.4378    0.0000    0.0000    7.9974    4.1713    0.0000    0.0000    0.4505    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3379    0.0000    3.3792    0.0000    2.8746    0.0000    0.0000    3.7171    0.0000    0.4515    1.0138    0.6758    6.1952    1.3517    3.3553    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
9    6.4351    9.6526    8.0438    74.1127    4.7136    21.1737    31.7626    0.7058    33.8801    7.7642    4.7136    9.4105    0.0000    11.7632    0.0000    4.2350    22.9396    4.5879    0.7058    33.8801    0.0000    2.8233    4.9408    4.7136    3.7642    5.6463    0.0000    11.7632    0.0000    0.0000    0.0000    0.0000    1.8822    0.0000    3.7959    0.0000    0.0000    0.8234    2.4130    7.8817    1.8267    0.0000    0.4705    0.7058    0.0000    4.1173    0.0000    0.0000    9.1814    3.1763    0.4705    4.5878    5.8292    0.0000    0.0000    0.0000    3.9709    0.0000    0.0000    0.0000    0.0000    0.7058    0.0000    4.5878    1.4117    4.5916    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    3.7644    5.8263    0.0000    0.0000    5.2937    1.7674    0.7058    0.0000    4.8231    1.3552    0.0000    0.0000    0.7058    0.0593    0.0000    0.3529    0.0000    3.6468    1.4117    0.9726    0.0000    0.0000    0.0000    0.0000    0.4122    0.0000    0.0000    3.0586    0.0000    3.3550    0.0000    0.0000    0.0000    0.0000    0.0000    0.0593
10    9.6526    12.8702    11.2614    74.5659    4.6824    20.7517    31.1294    1.0859    35.4731    6.8774    4.6824    5.7912    0.0000    14.9605    0.0000    5.4296    22.4422    3.2577    1.0859    35.1111    0.3620    3.2577    3.6197    4.6824    0.9652    4.8260    0.0000    14.9605    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0608    0.0000    0.0000    0.7239    2.9271    6.7567    1.0584    1.2065    1.5999    0.0000    0.7239    2.0511    0.0000    1.4479    6.5791    2.1718    0.4826    10.3763    8.9362    0.0000    0.0000    1.9305    1.5999    0.7239    0.4532    0.0000    1.0859    0.0000    0.0000    8.5665    0.0000    6.0690    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.9305    0.8760    0.0000    0.0000    2.7750    1.2379    2.5338    0.4826    5.3087    2.2963    0.0000    0.0000    2.0511    1.2075    0.0000    0.0000    0.0000    1.2065    0.0000    0.5140    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.7239    0.0000    2.4445    0.0000    0.0000    0.0000    3.1370    0.0000    3.7432
