z-Postion, natoms C2-O1, natoms C3, natoms C4-O1, natoms C5-O1, natoms C6, natoms N/A
-19.5, 0, 0, 8, 0, 0, 18
-18.5, 0, 0, 35, 0, 0, 64
-17.5, 0, 0, 43, 0, 1, 77
-16.5, 0, 2, 34, 0, 3, 88
-15.5, 0, 1, 42, 0, 4, 75
-14.5, 0, 0, 63, 0, 1, 90
-13.5, 0, 0, 39, 0, 5, 73
-12.5, 0, 0, 39, 0, 4, 75
-11.5, 0, 4, 47, 0, 2, 90
-10.5, 0, 2, 44, 0, 2, 67
-9.5, 0, 1, 41, 0, 2, 63
-8.5, 0, 2, 55, 0, 5, 71
-7.5, 0, 0, 41, 0, 3, 72
-6.5, 0, 0, 55, 0, 0, 81
-5.5, 0, 0, 42, 0, 0, 79
-4.5, 0, 0, 35, 0, 0, 67
-3.5, 0, 0, 56, 0, 1, 97
-2.5, 0, 0, 55, 0, 2, 76
-1.5, 0, 1, 31, 0, 5, 83
-0.5, 0, 0, 50, 0, 4, 78
0.5, 0, 0, 54, 0, 5, 81
1.5, 0, 2, 54, 0, 2, 83
2.5, 0, 1, 40, 0, 1, 72
3.5, 0, 0, 57, 0, 1, 63
4.5, 0, 0, 41, 0, 5, 76
5.5, 0, 2, 41, 0, 5, 87
6.5, 0, 3, 42, 0, 2, 79
7.5, 0, 1, 39, 0, 2, 91
8.5, 0, 0, 43, 0, 5, 93
9.5, 0, 0, 41, 0, 0, 79
10.5, 0, 1, 41, 0, 0, 79
11.5, 0, 2, 47, 0, 4, 73
12.5, 0, 0, 48, 0, 0, 84
13.5, 0, 0, 66, 3, 1, 63
14.5, 0, 1, 61, 3, 2, 73
15.5, 0, 2, 41, 0, 8, 63
16.5, 2, 1, 40, 0, 6, 68
17.5, 1, 0, 42, 0, 3, 77
18.5, 0, 0, 52, 0, 4, 74
19.5, 0, 0, 15, 0, 0, 20
