RMS Perpendicular Distance, count C6, count C4-O1
0.09699346528627423, 0.68, 4.6
0.3454727912821896, 0.64, 4.48
0.6190629816741456, 0.68, 4.56
0.8933913586515886, 0.68, 4.52
1.1246986170481932, 0.68, 4.56
1.3304066049630132, 0.68, 4.6
1.6023191493673106, 0.6, 4.64
1.8619595168463643, 0.56, 4.52
2.0874999404910226, 0.52, 4.36
2.2873850493634476, 0.52, 4.16
2.6822833977557203, 0.44, 4.36
2.901752550628878, 0.4, 4.44
3.1252427637696027, 0.36, 4.6
3.420878606732301, 0.36, 4.44
3.62789956735674, 0.4, 4.56
3.887029542657824, 0.4, 4.36
4.061902859159873, 0.4, 4.16
4.355252661491845, 0.4, 4.28
4.669844490415742, 0.4, 4.12
4.88233341823849, 0.44, 4.16
5.089106472008627, 0.44, 4.16
5.40435454187161, 0.4, 4.2
5.616881368707432, 0.4, 4.28
5.866616874812066, 0.4, 4.36
6.236560038206647, 0.48, 4.2
6.376902113531715, 0.48, 4.28
6.627603102365008, 0.44, 4.48
6.862445745591268, 0.4, 4.24
7.093551767948567, 0.4, 4.28
7.381265210469577, 0.44, 4.2
7.635405884325864, 0.44, 4.24
7.792157522881787, 0.44, 4.2
8.11340352936341, 0.44, 4.2
8.355703398818806, 0.44, 4.28
8.64681689819841, 0.48, 4.44
8.885104074874427, 0.52, 4.28
9.144705498112968, 0.48, 4.24
9.412767183854218, 0.48, 4.2
9.589585377812245, 0.56, 4.12
9.832829393766412, 0.52, 4.04
10.057271271268487, 0.56, 4.04
10.39870463912018, 0.68, 4.28
10.668459004727474, 0.64, 4.28
10.884098412779542, 0.64, 4.52
11.079571522814739, 0.56, 4.64
11.355596326068525, 0.6, 4.76
11.683094904503662, 0.64, 4.84
11.86378635692545, 0.72, 4.84
12.10925177301751, 0.72, 4.8
12.434368792524456, 0.76, 5.04
12.622438241562715, 0.76, 5.04
12.957749696813357, 0.76, 4.76
