HEADER
ITEM:    xlo    xhi    bin-span    bin-count    measure    delimiter
-18.620652 18.620652   3.385573      11     pmass-local     |     

DATA
ITEM: binID    lo    hi    center    C    H    O    C|0    C|3    C|5    C|6    H|0    O|0    O|3    O|5    O|6    O|7    C|0|Sp1    C|0|Sp2    C|0|Sp3    C|3|Sp3    C|5|Sp2    C|5|Sp3    C|6|Sp2    C|6|Sp3    H|0|Terminal    O|0|Sp2    O|0|Sp3    O|3|Sp3    O|5|Sp2    O|6|Sp2    O|7|Sp2    C15-H10-O3|[5]|C4-O1    C15-H10-O3|[]|    C15-H12-O4|[5]|C4-O1    C15-H12-O4|[]|    C21-H16-O5|[5]|C4-O1    C21-H16-O5|[]|    C225-H165-O48|[3, 5, 6]|    C225-H165-O48|[3, 6]|    C225-H165-O48|[5, 6]|    C225-H165-O48|[5]|    C225-H165-O48|[5]|C4-O1    C225-H165-O48|[6]|C6    C225-H165-O48|[]|    C30-H23-O7|[5]|C4-O1    C30-H23-O7|[]|    C30-H24-O8|[5]|C4-O1    C30-H24-O8|[]|    C36-H24-O7|[5]|C4-O1    C36-H24-O7|[]|    C36-H26-O8|[5]|C4-O1    C36-H26-O8|[]|    C450-H325-O89|[3]|C2-O1    C450-H325-O89|[3]|C3    C450-H325-O89|[5, 6]|    C450-H325-O89|[5]|    C450-H325-O89|[5]|C4-O1    C450-H325-O89|[6]|C6    C450-H325-O89|[]|    C450-H330-O92|[3]|C3    C450-H330-O92|[5, 6]|    C450-H330-O92|[5]|    C450-H330-O92|[5]|C4-O1    C450-H330-O92|[6]|C5-O1    C450-H330-O92|[6]|C6    C450-H330-O92|[]|    C453-H333-O95|[3]|C3    C453-H333-O95|[5, 6]|    C453-H333-O95|[5]|    C453-H333-O95|[5]|C4-O1    C453-H333-O95|[6]|C6    C453-H333-O95|[]|    C6-H5-O2|[5]|C4-O1    C6-H5-O2|[]|    C66-H48-O13|[5, 6]|    C66-H48-O13|[5]|    C66-H48-O13|[5]|C4-O1    C66-H48-O13|[]|    C72-H52-O14|[3]|C3    C72-H52-O14|[5, 6]|    C72-H52-O14|[5]|C4-O1    C72-H52-O14|[6]|C6    C72-H52-O14|[]|    C75-H56-O16|[3, 6, 7]|    C75-H56-O16|[3, 7]|    C75-H56-O16|[5, 6, 7]|    C75-H56-O16|[5, 6]|    C75-H56-O16|[5]|    C75-H56-O16|[5]|C4-O1    C75-H56-O16|[6, 7]|    C75-H56-O16|[]|    C81-H60-O17|[5, 6]|    C81-H60-O17|[5]|    C81-H60-O17|[5]|C4-O1    C81-H60-O17|[]|    C87-H63-O18|[3, 5, 6]|    C87-H63-O18|[3, 6]|    C87-H63-O18|[5, 6]|    C87-H63-O18|[5]|C4-O1    C87-H63-O18|[6]|C6    C87-H63-O18|[]|    C93-H66-O18|[3]|C3    C93-H66-O18|[5, 6]|    C93-H66-O18|[5]|C4-O1    C93-H66-O18|[6]|C6    C93-H66-O18|[]|
1    -18.6207    -15.2351    -16.9279    74.0029    4.4402    21.5569    26.4296    0.0000    34.5140    13.0593    4.4402    4.9747    0.0000    16.1677    0.4146    0.0000    2.1766    19.8999    4.3531    0.0000    33.8921    0.6219    4.9750    8.0844    4.4402    1.2437    3.7310    0.0000    16.1677    0.4146    0.0000    5.7004    2.2835    0.0000    0.0000    1.6583    0.4154    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.4510    0.3893    0.0000    0.0000    0.0000    0.0000    0.6219    1.0112    0.0000    0.0000    1.2437    0.4146    10.3644    0.0000    2.5945    0.0000    1.8656    0.0000    11.8154    1.0364    1.2437    9.6481    0.0000    1.8656    0.8291    9.9497    3.1094    11.5912    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.9328    4.2494    0.9328    4.9024    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.6741    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.6219    3.6275    0.6219    2.3349    0.0000    0.0000    0.0000    0.0000    0.0000
2    -15.2351    -11.8495    -13.5423    74.8155    4.2971    20.8874    30.3738    3.5170    32.9316    7.9931    4.2971    8.5255    0.0000    12.3619    0.0000    0.0000    2.8775    25.2582    2.2381    3.5170    32.6119    0.3197    4.1564    3.8367    4.2971    2.5576    5.9678    0.0000    12.3619    0.0000    0.0000    10.7639    2.0820    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.9592    0.4003    0.0000    0.0000    0.0000    0.0000    0.0000    1.0926    0.0000    0.0000    0.0000    0.0000    1.2789    0.0000    1.9200    0.9592    1.2789    0.4263    8.8456    0.0000    0.3197    17.5948    1.5986    1.2789    0.0000    13.2150    0.6394    7.4696    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.9592    0.0000    2.8774    1.2789    4.1589    0.0000    0.0000    0.0000    0.0000    0.0000    1.7052    0.0000    2.9320    0.0000    0.0000    0.0000    0.0000    0.6394    0.3197    0.9592    5.2221    1.2789    5.5461    0.0000    0.0000    0.0000    0.0000    0.0000
3    -11.8495    -8.4639    -10.1567    73.6731    4.7080    21.6188    29.6103    0.3525    34.1928    9.5176    4.7080    7.9896    0.0000    13.1593    0.4700    0.0000    3.8775    19.7402    5.9926    0.3525    34.1928    0.0000    4.2300    5.2875    4.7080    2.3499    5.6397    0.0000    13.1593    0.4700    0.0000    11.3974    2.2659    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.1750    0.0000    0.4413    0.7050    1.9984    0.0000    0.0000    0.0000    0.0592    1.8800    2.0873    0.0000    0.0000    2.1150    0.4700    5.9925    0.0000    2.9117    0.0000    3.5250    0.4700    11.3974    0.0000    0.0000    11.9953    0.3525    0.7050    0.0000    7.2850    1.4100    10.4945    0.0000    0.0000    0.0000    0.0000    0.0000    0.0592    0.0000    0.0000    0.3525    0.0000    0.4117    0.0000    0.0000    0.0000    1.4100    0.4700    1.9975    0.0000    2.1761    0.0000    0.0000    0.0000    0.0592    0.0000    0.0000    0.8225    3.7600    0.0000    7.3479    0.0000    0.0000    0.0000    0.0000    0.0000
4    -8.4639    -5.0784    -6.7711    77.1546    4.9333    17.9121    31.4760    0.0000    39.9208    5.7578    4.9333    4.6060    0.0000    13.3061    0.0000    0.0000    3.0708    24.9505    3.4547    0.0000    39.1531    0.7677    1.9193    3.8385    4.9333    2.5589    2.0471    0.0000    13.3061    0.0000    0.0000    7.2931    1.2191    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.7677    0.0000    2.6890    3.3267    3.0406    0.0000    0.0000    2.0472    0.8644    0.0000    3.3600    0.0000    0.0000    0.7677    0.0000    9.5963    0.0000    4.1349    0.0000    4.2224    1.0235    10.7477    0.0000    0.0000    4.3253    0.0000    0.0000    0.0000    7.4210    0.0000    11.5217    1.2795    0.9924    0.0000    0.0000    2.0472    0.8644    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.7677    0.0000    5.6298    0.0000    2.4352    0.0000    0.0000    2.0472    5.5361    0.0000    0.0000    0.0000    0.0000    0.0000    0.0322    0.0000    0.0000    0.0000    0.0000    0.0000
5    -5.0784    -1.6928    -3.3856    75.9657    4.6988    19.3355    29.3504    0.3453    37.2922    8.9778    4.6988    5.0641    0.0000    14.2714    0.0000    0.0000    3.1077    21.0632    5.1795    0.3453    36.9469    0.3453    4.4889    4.4889    4.6988    2.3018    2.7622    0.0000    14.2714    0.0000    0.0000    3.6831    1.6132    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.9925    0.0000    3.6279    0.0000    0.8927    0.0000    0.0000    1.8416    0.0580    1.8416    1.2670    0.0000    0.3453    1.7265    0.4604    17.6099    2.7624    14.2852    0.0000    0.0000    0.0000    3.3378    0.0000    0.0000    1.7583    0.0000    0.0000    0.0000    1.4963    0.0000    3.2536    0.6906    0.4033    1.0359    0.0000    0.3453    3.8862    0.0000    0.0000    0.0000    0.0000    0.0000    0.3453    0.0000    0.3453    0.0000    0.0000    6.3304    0.6906    1.3840    2.0718    0.4604    5.8700    4.4935    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    4.6040    0.0000    2.1906
6    -1.6928    1.6928    0.0000    72.8836    4.2059    22.9105    25.1834    0.8888    35.5530    11.2584    4.2059    7.5052    0.0000    15.0103    0.0000    0.3950    2.3702    18.0728    4.7404    0.8888    34.9604    0.5925    5.0367    6.2218    4.2059    2.7651    4.7401    0.0000    15.0103    0.0000    0.3950    3.4565    0.7668    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    5.9254    0.5925    5.2389    0.0000    0.0000    0.0000    0.0000    1.8764    0.7170    0.0000    0.0000    0.0000    0.8888    2.3702    0.0000    12.5421    3.5553    16.9731    0.0000    0.2963    0.0000    3.1602    0.0000    0.0000    0.4705    0.0000    0.0000    0.0000    2.8639    0.0000    1.0630    0.0000    0.0000    0.8888    0.3950    3.1602    2.1758    0.0000    0.0000    0.0000    0.0000    0.0000    0.2963    0.3950    0.2963    0.0000    0.0000    2.5677    0.0000    1.0381    1.7776    0.3950    7.7030    2.6953    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    6.5179    1.1851    5.7560
7    1.6928    5.0784    3.3856    75.9266    4.6791    19.3944    27.3194    2.1288    35.1249    11.3535    4.6791    6.1494    0.0000    13.2449    0.0000    0.0000    4.6124    18.0947    4.6124    2.1288    33.7057    1.4192    4.6124    6.7411    4.6791    2.3652    3.7843    0.0000    13.2449    0.0000    0.0000    2.7201    0.0894    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.4192    0.0000    6.8593    1.7740    11.5090    0.0000    0.0000    0.0000    0.0596    3.7844    2.0124    0.0000    0.0000    0.0000    1.0644    1.0644    0.0000    13.2456    1.4192    14.4983    0.0000    1.7740    0.4730    3.7844    0.0000    0.0000    3.2258    0.0000    0.0000    0.0000    3.7844    0.0000    0.9480    0.0000    0.0000    1.0644    0.0000    4.9671    1.3922    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.7096    0.0000    0.1192    0.0000    0.0000    2.2470    0.9480    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0644    1.4192    5.7949    1.4192    3.3459
8    5.0784    8.4639    6.7711    74.1689    4.1998    21.6313    37.4156    1.9867    27.8133    6.9533    4.1998    10.5949    0.0000    10.5949    0.4415    0.0000    3.6422    30.4622    3.3111    1.9867    27.8133    0.0000    3.9733    2.9800    4.1998    4.4145    6.1804    0.0000    10.5949    0.4415    0.0000    2.8696    0.8569    0.6622    0.9394    0.0000    0.3867    0.6622    0.3311    1.1037    0.0000    7.5051    0.3311    16.8387    0.0000    0.0000    1.4348    2.1805    1.4348    1.5460    0.0000    0.0000    0.3311    1.6556    1.3244    0.0000    7.6154    2.6489    14.1101    0.0000    0.0000    0.0000    1.7659    0.0000    0.0000    1.9875    0.0000    0.0000    0.0000    9.0503    0.0000    8.4768    0.0000    0.0000    0.9933    0.4415    3.2007    0.8847    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.4281    0.0000    4.0029
9    8.4639    11.8495    10.1567    74.0811    4.7919    21.1270    39.2194    0.3962    29.3155    5.1500    4.7919    10.0353    0.5282    10.5635    0.0000    0.0000    3.1692    30.5040    5.5462    0.3962    28.9194    0.3962    1.9808    3.1692    4.7919    3.1690    6.8663    0.5282    10.5635    0.0000    0.0000    7.5269    1.6211    3.4333    3.1048    0.0000    3.4011    0.0000    0.0000    4.3577    0.5282    11.3563    0.0000    9.3518    0.0000    0.0000    0.3962    4.1944    0.0000    0.0000    0.0000    0.0000    0.9243    0.0000    0.0000    0.0000    3.3013    0.0000    5.6824    0.0000    0.7923    0.5282    4.0936    0.0000    0.0000    3.3721    0.0000    0.0000    0.0000    6.9986    0.0000    22.7565    0.0000    0.0000    0.0000    0.0000    1.3205    0.4294    0.0000    0.0000    0.0000    0.0000    0.0333    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3962    0.0000    0.0998
10    11.8495    15.2351    13.5423    73.1707    4.7233    22.1060    34.9633    0.0000    31.3589    6.8485    4.7233    6.7279    0.0000    15.3781    0.0000    0.0000    2.8836    27.3940    4.6858    0.0000    31.3589    0.0000    2.1627    4.6858    4.7233    3.8445    2.8834    0.0000    15.3781    0.0000    0.0000    6.9685    2.4957    0.0000    0.0000    0.0000    2.8845    0.0000    0.0000    0.3604    0.4806    5.1663    0.0000    1.8959    0.0000    0.0000    1.9224    5.2591    0.0000    0.0000    1.0813    0.5118    0.0000    0.0000    1.4418    0.4806    5.0462    0.0000    2.2261    0.0000    1.8022    0.0000    14.5377    0.0000    0.7209    14.3101    0.0000    2.5231    0.9611    8.1700    0.0000    16.2891    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.9224    0.0000    0.5118    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0303    0.0000    0.0000    0.0000    0.0000    0.0000
