HEADER
ITEM:    ylo    yhi    bin-span    bin-count    measure    delimiter
-19.012442 19.012442   3.456808      11     pmass-local     |     

DATA
ITEM: binID    lo    hi    center    C    H    O    C|0    C|3    C|5    C|6    H|0    O|0    O|3    O|5    O|6    O|7    C|0|Sp1    C|0|Sp2    C|0|Sp3    C|3|Sp3    C|5|Sp2    C|5|Sp3    C|6|Sp2    C|6|Sp3    H|0|Terminal    O|0|Sp2    O|0|Sp3    O|3|Sp3    O|5|Sp2    O|6|Sp2    O|7|Sp2    C15-H10-O3|[5]|C4-O1    C15-H10-O3|[]|    C15-H12-O4|[5]|C4-O1    C15-H12-O4|[]|    C21-H16-O5|[5]|C4-O1    C21-H16-O5|[]|    C225-H165-O48|[3, 5, 6]|    C225-H165-O48|[3, 6]|    C225-H165-O48|[5, 6]|    C225-H165-O48|[5]|    C225-H165-O48|[5]|C4-O1    C225-H165-O48|[6]|C6    C225-H165-O48|[]|    C30-H23-O7|[5]|C4-O1    C30-H23-O7|[]|    C30-H24-O8|[5]|C4-O1    C30-H24-O8|[]|    C36-H24-O7|[5]|C4-O1    C36-H24-O7|[]|    C36-H26-O8|[5]|C4-O1    C36-H26-O8|[]|    C450-H325-O89|[3]|C2-O1    C450-H325-O89|[3]|C3    C450-H325-O89|[5, 6]|    C450-H325-O89|[5]|    C450-H325-O89|[5]|C4-O1    C450-H325-O89|[6]|C6    C450-H325-O89|[]|    C450-H330-O92|[3]|C3    C450-H330-O92|[5, 6]|    C450-H330-O92|[5]|    C450-H330-O92|[5]|C4-O1    C450-H330-O92|[6]|C5-O1    C450-H330-O92|[6]|C6    C450-H330-O92|[]|    C453-H333-O95|[3]|C3    C453-H333-O95|[5, 6]|    C453-H333-O95|[5]|    C453-H333-O95|[5]|C4-O1    C453-H333-O95|[6]|C6    C453-H333-O95|[]|    C6-H5-O2|[5]|C4-O1    C6-H5-O2|[]|    C66-H48-O13|[5, 6]|    C66-H48-O13|[5]|    C66-H48-O13|[5]|C4-O1    C66-H48-O13|[]|    C72-H52-O14|[3]|C3    C72-H52-O14|[5, 6]|    C72-H52-O14|[5]|C4-O1    C72-H52-O14|[6]|C6    C72-H52-O14|[]|    C75-H56-O16|[3, 6, 7]|    C75-H56-O16|[3, 7]|    C75-H56-O16|[5, 6, 7]|    C75-H56-O16|[5, 6]|    C75-H56-O16|[5]|    C75-H56-O16|[5]|C4-O1    C75-H56-O16|[6, 7]|    C75-H56-O16|[]|    C81-H60-O17|[5, 6]|    C81-H60-O17|[5]|    C81-H60-O17|[5]|C4-O1    C81-H60-O17|[]|    C87-H63-O18|[3, 5, 6]|    C87-H63-O18|[3, 6]|    C87-H63-O18|[5, 6]|    C87-H63-O18|[5]|C4-O1    C87-H63-O18|[6]|C6    C87-H63-O18|[]|    C93-H66-O18|[3]|C3    C93-H66-O18|[5, 6]|    C93-H66-O18|[5]|C4-O1    C93-H66-O18|[6]|C6    C93-H66-O18|[]|
1    -19.0124    -15.5556    -17.2840    74.3368    5.1405    20.5227    32.6631    0.0000    33.7895    7.8842    5.1405    8.5094    0.0000    12.0133    0.0000    0.0000    3.0035    24.7789    4.8807    0.0000    33.7895    0.0000    3.0035    4.8807    5.1405    3.5039    5.0055    0.0000    12.0133    0.0000    0.0000    6.6327    1.5994    0.0000    0.0000    0.8760    3.2873    0.0000    0.0000    0.7509    0.5006    3.3789    0.0000    13.7413    0.0000    0.0000    0.0000    0.0000    3.5041    2.6931    2.7532    1.0347    0.0000    0.0000    4.5053    1.0011    12.2642    1.5018    6.4870    0.0000    0.0000    0.0000    5.1309    0.0000    0.0000    1.5363    0.0000    0.0000    0.0000    4.8806    0.0000    8.5769    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    3.2537    0.0000    0.4700    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.7509    1.6594    0.0000    0.0000    0.3754    0.8760    0.7509    5.1329    0.0000    0.0000    0.0000    0.0000    0.0946
2    -15.5556    -12.0988    -13.8272    75.9864    4.6524    19.3612    29.0437    0.6754    40.1883    6.0789    4.6524    5.4031    0.0000    13.9581    0.0000    0.0000    3.3772    20.9385    4.7280    0.6754    39.8506    0.3377    2.7017    3.3772    4.6524    3.6021    1.8010    0.0000    13.9581    0.0000    0.0000    8.1050    2.0857    0.0000    0.0000    1.0132    1.6611    0.0000    0.0000    2.0263    0.0000    11.8199    0.6754    7.8039    0.0000    0.0000    0.0000    0.0000    1.8011    1.1266    0.0000    0.3945    0.0000    0.6754    0.6754    0.0000    14.2964    0.3377    6.3396    0.0000    0.3377    0.0000    8.8931    0.0000    0.3377    6.6764    0.0000    1.3509    0.0000    5.2908    0.0000    6.0568    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0284    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3377    0.0000    1.1257    4.1669    0.0000    0.0000    0.0000    1.8011    0.0000    2.7593    0.0000    0.0000    0.0000    0.0000    0.0000
3    -12.0988    -8.6420    -10.3704    74.4456    4.3863    21.1681    25.0504    0.3528    36.6936    12.3488    4.3863    5.6448    0.0000    15.5232    0.0000    0.0000    2.4698    17.9940    4.5867    0.3528    36.3408    0.3528    5.2923    7.0565    4.3863    0.9408    4.7040    0.0000    15.5232    0.0000    0.0000    11.8782    2.6800    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    9.8789    0.7056    7.6213    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3528    2.8226    0.4704    5.2923    1.0585    7.3852    0.0000    2.1169    0.0000    7.5267    0.0000    2.4698    11.0329    0.0000    1.0585    0.4704    11.7606    0.3528    4.4173    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.7641    0.4704    2.5873    1.0613    0.0000    0.0000    0.0000    1.8817    0.0000    0.8835    0.0000    0.0000    0.0000    0.0000    0.0000
4    -8.6420    -5.1852    -6.9136    75.8603    4.7428    19.3969    27.3651    2.0784    34.2930    12.1238    4.7428    6.4656    0.0000    12.4694    0.4618    0.0000    2.0784    21.8228    3.4639    2.0784    33.2538    1.0392    6.9279    5.1959    4.7428    0.9237    5.5420    0.0000    12.4694    0.4618    0.0000    9.9298    3.0358    0.0000    0.4046    0.0000    0.0000    0.6928    0.3464    2.1938    0.4618    1.8474    0.0000    5.1414    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0392    0.6928    0.0000    6.5813    1.3856    7.5688    1.0392    3.1175    0.4618    9.6989    1.0392    0.0000    9.7673    0.0000    1.7320    0.0000    11.7772    1.0392    10.8919    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3464    0.0000    6.0040    1.3593    0.0000    0.0000    0.0000    0.0000    0.0000    0.4046    0.0000    0.0000    0.0000    0.0000    0.0000
5    -5.1852    -1.7284    -3.4568    73.6997    4.3745    21.9258    30.4544    0.3045    31.3681    11.5727    4.3745    7.7146    0.0000    13.8051    0.4060    0.0000    2.4364    22.2317    5.7863    0.3045    30.7590    0.6091    5.1773    6.3954    4.3745    3.2483    4.4664    0.0000    13.8051    0.4060    0.0000    8.8316    1.6019    1.6242    0.0512    0.0000    0.0000    0.0000    0.0000    1.5227    0.0000    2.8424    0.9136    3.8616    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.6091    0.0000    6.4968    1.2182    8.9141    0.0000    2.7409    0.8121    14.5163    1.0151    1.8273    8.5633    0.3045    0.6091    0.4060    6.2938    0.0000    17.5947    0.0000    0.7617    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3045    0.0000    0.0512    1.5227    0.4060    2.6393    1.1439    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
6    -1.7284    1.7284    -0.0000    75.2465    4.5994    20.1541    42.3262    1.0078    25.1941    6.7184    4.5994    8.9574    0.0000    11.1967    0.0000    0.0000    4.3670    32.9203    5.0388    1.0078    25.1941    0.0000    2.3515    4.3670    4.5994    2.6872    6.2702    0.0000    11.1967    0.0000    0.0000    4.7028    0.8411    0.0000    1.9044    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    3.0232    0.3359    6.3851    0.0000    0.0000    0.0000    0.0282    0.0000    0.0000    0.0000    0.0000    0.3359    0.0000    0.6718    0.0000    6.2705    0.6718    8.9650    0.0000    2.3515    0.4479    11.0852    0.0000    0.6718    18.1786    0.6718    1.3437    0.0000    5.4866    0.6718    14.9295    1.7916    0.4206    0.0000    0.0000    0.0000    2.5763    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.7916    0.0000    1.2335    0.0000    0.0000    1.7916    0.4206    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
7    1.7284    5.1852    3.4568    75.2445    4.8854    19.8701    33.4420    1.4540    35.9865    4.3620    4.8854    7.7542    0.4846    11.6313    0.0000    0.0000    3.9985    24.3545    5.0890    1.4540    35.6230    0.3635    2.1810    2.1810    4.8854    4.8464    2.9078    0.4846    11.6313    0.0000    0.0000    2.3021    0.9407    1.2116    1.3032    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.7270    0.0000    0.1221    0.0000    0.0000    1.9386    2.0312    0.0000    0.0000    0.0000    0.0000    0.8481    1.0905    0.0000    0.0000    4.7254    0.7270    5.8513    0.0000    0.0000    0.0000    8.8450    0.0000    0.0000    9.5177    0.0000    1.4540    0.4846    9.5720    0.7270    12.3085    0.0000    0.0000    0.0000    0.0000    1.4540    2.0608    0.0000    0.0000    0.7270    0.0000    0.8491    0.0000    0.0000    0.0000    1.4540    0.4846    4.7254    0.0000    5.3952    0.0000    0.0000    3.1503    2.1829    0.0000    0.0000    0.0000    0.3635    0.0000    0.4551    0.0000    0.0000    6.9064    0.0000    3.0636
8    5.1852    8.6420    6.9136    73.7910    4.4431    21.7659    21.2231    0.0000    40.1606    12.4073    4.4431    5.6591    0.0000    16.1068    0.0000    0.0000    2.2856    15.0194    3.9181    0.0000    39.1811    0.9795    6.5302    5.8772    4.4431    2.1766    3.4825    0.0000    16.1068    0.0000    0.0000    3.1562    0.7902    0.6530    0.0274    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3265    0.0000    0.0823    0.0000    0.0000    0.0000    1.9324    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3265    0.0000    5.8771    0.9795    3.7047    0.0000    1.9591    0.4353    6.6389    0.0000    0.0000    5.5293    0.0000    0.6530    0.0000    14.3661    1.3060    7.3264    0.0000    0.0000    2.6121    0.4353    5.0064    2.7792    0.0000    0.3265    4.8975    0.9795    2.0165    0.0000    0.0000    0.0000    0.6530    0.0000    4.2445    0.0000    1.3352    0.0000    0.0000    0.6530    1.5246    0.0000    0.0000    0.3265    4.2445    0.3265    1.6891    0.0000    0.6530    5.3329    1.3060    2.5881
9    8.6420    12.0988    10.3704    75.4461    4.4362    20.1177    24.4302    1.4371    37.7230    11.8558    4.4362    5.2689    0.0000    14.3698    0.0000    0.4790    1.4371    19.0412    3.9519    1.4371    37.7230    0.0000    3.9519    7.9039    4.4362    1.9160    3.3529    0.0000    14.3698    0.0000    0.4790    3.8321    0.8996    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.9161    0.0000    0.7789    0.3593    0.4196    0.0000    2.0660    0.0000    0.0000    0.0000    0.0302    0.0000    0.0000    2.1556    0.0000    5.2691    1.0778    8.6573    0.0000    2.5149    0.4790    7.9038    0.0000    0.0000    2.9101    0.3593    1.4371    0.0000    6.9457    0.0000    6.0538    0.0000    0.0000    1.4371    0.4790    8.0235    2.3697    0.0000    0.3593    4.3111    0.3593    4.5234    0.7185    0.4790    0.0000    0.0000    0.0000    2.9939    0.3593    1.4098    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3593    5.7482    1.0778    1.0203    1.0778    0.0000    3.8321    0.0000    2.9967
10    12.0988    15.5556    13.8272    76.2277    4.7166    19.0557    33.6899    2.0418    27.9048    12.5912    4.7166    8.6204    0.0000    9.9816    0.4537    0.0000    2.7224    26.8839    4.0836    2.0418    27.2242    0.6806    6.4657    6.1254    4.7166    3.1760    5.4445    0.0000    9.9816    0.4537    0.0000    3.9701    0.5404    0.0000    0.0000    0.0000    0.0286    0.0000    0.0000    0.0000    0.0000    1.4746    0.0000    0.4546    4.3104    2.1008    0.0000    4.1988    1.0209    0.4546    1.4746    3.4039    0.0000    0.3403    1.7015    0.4537    8.8478    1.7015    8.4880    0.0000    1.7015    0.4537    6.3522    0.0000    0.0000    5.9031    0.6806    1.0209    0.4537    3.1761    0.6806    8.6826    0.0000    0.0000    0.0000    0.0000    0.7940    0.0858    1.0209    0.3403    1.1343    0.6806    3.2637    0.0000    0.0000    0.6806    0.0000    0.0000    2.9492    0.3403    1.3068    0.0000    0.0000    0.0000    0.0000    0.6806    0.3403    1.1343    0.3403    0.0000    2.3277    0.0000    0.6806    0.6806    1.3612    5.7878
