HEADER
ITEM:    zlo    zhi    bin-span    bin-count    measure    delimiter
-18.976971 18.976971   3.450358      11     pmass-local     |     

DATA
ITEM: binID    lo    hi    center    C    H    O    C|0    C|3    C|5    C|6    H|0    O|0    O|3    O|5    O|6    O|7    C|0|Sp1    C|0|Sp2    C|0|Sp3    C|3|Sp3    C|5|Sp2    C|5|Sp3    C|6|Sp2    C|6|Sp3    H|0|Terminal    O|0|Sp2    O|0|Sp3    O|3|Sp3    O|5|Sp2    O|6|Sp2    O|7|Sp2    C15-H10-O3|[5]|C4-O1    C15-H10-O3|[]|    C15-H12-O4|[5]|C4-O1    C15-H12-O4|[]|    C21-H16-O5|[5]|C4-O1    C21-H16-O5|[]|    C225-H165-O48|[3, 5, 6]|    C225-H165-O48|[3, 6]|    C225-H165-O48|[5, 6]|    C225-H165-O48|[5]|    C225-H165-O48|[5]|C4-O1    C225-H165-O48|[6]|C6    C225-H165-O48|[]|    C30-H23-O7|[5]|C4-O1    C30-H23-O7|[]|    C30-H24-O8|[5]|C4-O1    C30-H24-O8|[]|    C36-H24-O7|[5]|C4-O1    C36-H24-O7|[]|    C36-H26-O8|[5]|C4-O1    C36-H26-O8|[]|    C450-H325-O89|[3]|C2-O1    C450-H325-O89|[3]|C3    C450-H325-O89|[5, 6]|    C450-H325-O89|[5]|    C450-H325-O89|[5]|C4-O1    C450-H325-O89|[6]|C6    C450-H325-O89|[]|    C450-H330-O92|[3]|C3    C450-H330-O92|[5, 6]|    C450-H330-O92|[5]|    C450-H330-O92|[5]|C4-O1    C450-H330-O92|[6]|C5-O1    C450-H330-O92|[6]|C6    C450-H330-O92|[]|    C453-H333-O95|[3]|C3    C453-H333-O95|[5, 6]|    C453-H333-O95|[5]|    C453-H333-O95|[5]|C4-O1    C453-H333-O95|[6]|C6    C453-H333-O95|[]|    C6-H5-O2|[5]|C4-O1    C6-H5-O2|[]|    C66-H48-O13|[5, 6]|    C66-H48-O13|[5]|    C66-H48-O13|[5]|C4-O1    C66-H48-O13|[]|    C72-H52-O14|[3]|C3    C72-H52-O14|[5, 6]|    C72-H52-O14|[5]|C4-O1    C72-H52-O14|[6]|C6    C72-H52-O14|[]|    C75-H56-O16|[3, 6, 7]|    C75-H56-O16|[3, 7]|    C75-H56-O16|[5, 6, 7]|    C75-H56-O16|[5, 6]|    C75-H56-O16|[5]|    C75-H56-O16|[5]|C4-O1    C75-H56-O16|[6, 7]|    C75-H56-O16|[]|    C81-H60-O17|[5, 6]|    C81-H60-O17|[5]|    C81-H60-O17|[5]|C4-O1    C81-H60-O17|[]|    C87-H63-O18|[3, 5, 6]|    C87-H63-O18|[3, 6]|    C87-H63-O18|[5, 6]|    C87-H63-O18|[5]|C4-O1    C87-H63-O18|[6]|C6    C87-H63-O18|[]|    C93-H66-O18|[3]|C3    C93-H66-O18|[5, 6]|    C93-H66-O18|[5]|C4-O1    C93-H66-O18|[6]|C6    C93-H66-O18|[]|
1    -18.9770    -15.5266    -17.2518    74.8715    4.2767    20.8518    31.2797    0.9983    34.2745    8.3191    4.2767    7.0985    0.0000    13.7533    0.0000    0.0000    3.3276    22.2951    5.6570    0.9983    33.6090    0.6655    3.3276    4.9914    4.2767    2.2183    4.8802    0.0000    13.7533    0.0000    0.0000    8.3190    1.5294    0.0000    0.0000    0.0000    4.5494    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    5.3241    2.2481    0.0000    0.0000    2.5511    0.8053    0.0000    0.0000    0.0000    0.9983    3.9931    0.4437    11.3137    2.6621    13.5158    0.0000    1.3310    0.0000    6.5442    0.0000    0.0000    3.6918    0.0000    0.0000    0.0000    5.5460    0.0000    6.9103    0.0000    0.0000    0.3328    0.4437    3.3275    5.1600    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    4.2149    0.0000    4.2446    0.0000    0.0000    0.0000    0.0000    0.0000
2    -15.5266    -12.0763    -13.8014    75.9468    5.1586    18.8947    31.2508    0.7268    35.9748    7.9944    5.1586    5.3293    0.0000    13.5654    0.0000    0.0000    2.1803    24.7100    4.3606    0.7268    35.2480    0.7268    3.6338    4.3606    5.1586    3.3914    1.9379    0.0000    13.5654    0.0000    0.0000    5.4506    1.4259    0.0000    0.0000    1.9380    3.6357    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0610    0.0000    0.0000    1.0901    2.5151    0.0000    0.0000    0.0000    0.7268    0.3634    0.0000    12.8393    1.4535    12.6077    0.0000    2.5437    0.9690    5.3295    0.0000    0.0000    4.8213    0.0000    1.4535    0.0000    14.2927    0.3634    11.4261    0.0000    0.0000    1.8169    0.0000    5.6929    2.3969    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.9380    0.0000    2.8489    0.0000    0.0000    0.0000    0.0000    0.0000
3    -12.0763    -8.6259    -10.3511    75.8853    4.6582    19.4565    26.5923    1.6215    36.3212    11.3504    4.6582    6.0531    0.0000    13.4034    0.0000    0.0000    3.2430    20.1064    3.2430    1.6215    35.9969    0.3243    5.8373    5.5130    4.6582    0.4324    5.6208    0.0000    13.4034    0.0000    0.0000    6.9182    1.6241    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.7303    0.0000    0.0000    0.0000    0.0000    2.8105    0.8120    0.0000    0.0000    0.0000    0.3243    2.2701    0.4324    8.8640    1.2972    10.4132    0.0000    0.3243    0.0000    4.8644    0.0000    0.0000    0.8938    1.2972    2.2701    0.4324    19.3494    3.2430    19.9336    0.4324    0.3788    1.9458    0.4324    3.8915    1.2998    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3788    0.0000    0.0000    1.2972    0.8120    0.0000    0.0000    0.0000    0.0000    0.0000    0.0272    0.0000    0.0000    0.0000    0.0000    0.0000
4    -8.6259    -5.1755    -6.9007    75.4516    4.2447    20.3037    32.5342    0.6922    35.6491    6.5761    4.2447    7.3832    0.0000    12.9206    0.0000    0.0000    3.8072    24.5737    4.1533    0.6922    35.3030    0.3461    1.7305    4.8455    4.2447    2.7687    4.6145    0.0000    12.9206    0.0000    0.0000    6.2299    2.0794    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    4.0379    0.0000    2.7998    0.0000    0.0000    0.0000    0.0581    4.3840    1.2128    0.0000    0.0000    0.0000    0.0000    0.6922    0.0000    9.9215    0.0000    7.8506    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.6922    3.1150    0.4614    12.1136    1.7305    20.7210    1.3844    0.8948    0.0000    0.0000    1.8459    0.4624    0.0000    0.0000    0.3461    0.0000    0.0581    0.0000    0.0000    0.0000    0.0000    0.0000    1.8459    0.0000    1.2128    1.0383    0.0000    5.9991    6.7541    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0581
5    -5.1755    -1.7252    -3.4504    71.6755    4.5530    23.7715    32.4501    0.0000    32.0935    7.1319    4.5530    9.9840    0.0000    13.3120    0.4754    0.0000    2.8528    25.6748    3.9225    0.0000    31.7369    0.3566    3.9225    3.2094    4.5530    5.7052    4.2789    0.0000    13.3120    0.4754    0.0000    4.7545    1.0127    0.0000    0.0000    0.0000    0.0000    0.7132    0.3566    2.6150    0.0000    5.8243    1.4264    2.8275    0.0000    0.0000    1.9018    8.6499    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    5.2300    0.0000    1.4592    0.0000    0.0000    0.0000    4.8734    0.0000    0.0000    1.0127    0.0000    0.3566    0.0000    8.6769    0.0000    21.6455    0.0000    0.0000    0.0000    0.0000    0.3566    0.4465    0.0000    0.0000    2.7338    0.0000    1.7249    0.0000    0.0000    0.0000    0.0000    0.0000    0.3566    0.0000    3.7456    2.1396    0.4754    5.7054    3.9263    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    4.5168    0.0000    0.5363
6    -1.7252    1.7252    0.0000    73.5338    4.5862    21.8799    28.7192    0.0000    32.1908    12.6238    4.5862    6.3115    0.0000    15.1477    0.0000    0.4208    2.5248    20.8293    5.3651    0.0000    31.8752    0.3156    5.3651    7.2587    4.5862    2.9454    3.3661    0.0000    15.1477    0.0000    0.4208    6.3118    1.5275    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.7351    1.2624    4.8954    0.0000    0.0000    1.6832    2.3690    0.0000    0.0000    0.0000    0.3686    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.7107    0.0000    1.8936    0.4208    7.8897    0.0000    0.0000    3.9769    0.0000    3.4716    0.8415    10.7301    0.0000    15.6058    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.6312    1.6832    1.2624    2.6060    0.6312    0.4208    0.6312    0.6312    0.0000    8.6261    0.0000    2.7924    0.9468    0.4208    4.2078    1.5805    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3156    1.7883    0.9468    3.1841
7    1.7252    5.1755    3.4504    78.3610    4.8042    16.8348    28.2248    1.8569    40.4803    7.7990    4.8042    5.4466    0.0000    11.3883    0.0000    0.0000    2.9710    20.7972    4.4566    1.8569    39.3662    1.1141    2.9710    4.8279    4.8042    1.4854    3.9611    0.0000    11.3883    0.0000    0.0000    4.7041    1.0235    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    3.8376    0.0000    11.1159    0.0000    0.0000    0.0000    0.0312    0.0000    0.0000    1.9807    0.0312    0.0000    0.0000    0.0000    0.0000    5.1992    0.0000    1.8287    0.0000    1.4855    0.0000    12.2553    0.0000    2.2283    11.6152    0.0000    0.0000    0.0000    5.5706    0.0000    2.3872    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.1141    0.0000    2.3520    0.0000    3.8093    0.0000    0.0000    0.0000    1.4855    0.4951    6.5610    0.7428    2.3560    0.0000    0.0000    1.4855    0.4962    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.7428    1.1141    7.4275    0.7428    3.7811
8    5.1755    8.6259    6.9007    73.7707    4.4693    21.7599    37.5382    1.3057    26.4400    8.4869    4.4693    11.3152    0.0000    10.4448    0.0000    0.0000    2.2849    29.7041    5.5491    1.3057    26.4400    0.0000    3.5906    4.8963    4.4693    4.7872    6.5280    0.0000    10.4448    0.0000    0.0000    4.2434    1.1986    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.6528    0.0000    9.9012    0.0000    20.3836    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.7201    5.5791    0.0000    0.0000    0.6528    0.0000    3.1553    1.3057    4.9537    0.9793    2.6114    0.4352    6.9635    0.0000    0.6528    13.2581    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.6528    5.5490    0.9793    3.1854    0.0000    0.0000    0.0000    0.0000    0.0000    1.0880    0.0000    0.4361    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3264    0.0000    2.8289    0.9793    4.3282
9    8.6259    12.0763    10.3511    72.6005    4.3316    23.0679    33.2470    1.0178    29.8544    8.4814    4.3316    8.5939    0.0000    14.4740    0.0000    0.0000    3.3925    25.7834    4.0711    1.0178    29.5152    0.3393    3.7318    4.7496    4.3316    2.2616    6.3324    0.0000    14.4740    0.0000    0.0000    7.2373    0.9350    0.7916    1.9233    0.0000    0.0000    0.0000    0.0000    2.3748    0.4523    6.4458    0.0000    5.7451    0.0000    0.0285    0.0000    0.0000    0.0000    0.0000    1.1308    2.6873    0.0000    1.0178    0.0000    0.0000    7.3504    0.0000    9.6470    0.0000    4.4103    0.4523    14.0222    0.0000    1.3570    18.9252    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.2616    0.3393    0.9350    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.5831    0.0000    3.0551    0.0000    0.0000    2.6009    0.0000    2.2911
10    12.0763    15.5266    13.8014    77.6521    4.7928    17.5550    21.9452    0.6752    40.1765    14.8552    4.7928    2.7008    0.0000    14.4041    0.4501    0.0000    2.3633    15.1928    4.3890    0.6752    39.5013    0.6752    6.7524    8.1028    4.7928    0.9003    1.8005    0.0000    14.4041    0.4501    0.0000    2.3633    0.9588    2.8135    1.6899    0.0000    0.0000    0.0000    0.0000    1.0129    0.4501    6.8648    0.0000    1.8893    1.4630    0.3943    0.0000    0.0000    0.0000    0.0000    1.4630    0.4227    0.0000    0.6752    4.0514    0.4501    12.2666    2.7009    6.5655    0.0000    3.3762    1.3504    16.5430    2.1382    0.0000    12.6737    0.0000    0.0000    0.0000    1.8006    0.0000    0.7887    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.6752    0.0000    0.6752    6.7523    0.6752    2.5920    0.0000    0.0000    0.0000    0.0000    1.4639
