z-Postion, natoms C2-O1, natoms C3, natoms C4-O1, natoms C5-O1, natoms C6, natoms C6-O1, natoms N/A
-19.5, 0, 0, 0, 0, 0, 0, 0
-18.5, 0, 0, 43, 0, 0, 0, 66
-17.5, 0, 0, 45, 0, 2, 0, 84
-16.5, 0, 3, 44, 0, 4, 0, 76
-15.5, 0, 0, 42, 0, 2, 0, 81
-14.5, 0, 0, 39, 0, 2, 0, 89
-13.5, 0, 0, 36, 0, 1, 0, 71
-12.5, 0, 2, 51, 0, 2, 0, 69
-11.5, 0, 1, 49, 0, 4, 0, 73
-10.5, 0, 1, 39, 0, 7, 0, 77
-9.5, 0, 2, 58, 0, 2, 0, 88
-8.5, 0, 1, 44, 0, 1, 0, 58
-7.5, 0, 2, 37, 0, 2, 0, 70
-6.5, 0, 0, 42, 0, 3, 0, 77
-5.5, 0, 0, 42, 0, 0, 0, 84
-4.5, 0, 0, 36, 0, 1, 0, 73
-3.5, 0, 1, 36, 0, 1, 0, 75
-2.5, 0, 0, 45, 0, 2, 0, 79
-1.5, 0, 0, 45, 0, 2, 0, 93
-0.5, 0, 0, 40, 0, 5, 0, 74
0.5, 1, 0, 59, 0, 3, 0, 77
1.5, 2, 0, 43, 0, 1, 2, 80
2.5, 0, 1, 47, 0, 1, 0, 65
3.5, 0, 2, 39, 0, 5, 0, 76
4.5, 0, 1, 38, 0, 2, 0, 71
5.5, 0, 2, 35, 0, 4, 0, 65
6.5, 0, 3, 31, 0, 1, 0, 105
7.5, 0, 0, 36, 0, 4, 0, 90
8.5, 0, 0, 38, 0, 3, 0, 80
9.5, 0, 0, 27, 0, 1, 0, 70
10.5, 0, 1, 45, 0, 3, 0, 84
11.5, 0, 2, 49, 0, 1, 0, 83
12.5, 0, 0, 63, 1, 0, 0, 81
13.5, 0, 0, 53, 2, 1, 0, 61
14.5, 0, 2, 46, 3, 7, 0, 64
15.5, 2, 1, 43, 0, 7, 0, 58
16.5, 1, 1, 44, 0, 2, 0, 63
17.5, 0, 0, 42, 0, 2, 0, 83
18.5, 0, 0, 34, 0, 5, 0, 74
19.5, 0, 0, 0, 0, 0, 0, 0
