RMS Perpendicular Distance, count C4-O1, count C6
0.16204921913845094, 4.56, 0.72
0.375, 4.48, 0.68
0.612537270433969, 4.48, 0.68
0.8804024480550239, 4.48, 0.6
1.1102131454336341, 4.44, 0.68
1.3458516031383636, 4.56, 0.64
1.625, 4.52, 0.6
1.8049210211534723, 4.48, 0.6
2.1093463648621227, 4.32, 0.56
2.415075070266764, 4.36, 0.52
2.6034559373021073, 4.36, 0.44
2.875, 4.24, 0.36
3.1601243477173213, 4.52, 0.48
3.375, 4.48, 0.4
3.625, 4.28, 0.4
3.875, 4.28, 0.4
4.125, 4.2, 0.4
4.375, 4.12, 0.4
4.665041311289229, 3.92, 0.4
4.8501556664945, 4.0, 0.36
5.236243408860178, 4.0, 0.32
5.375, 3.96, 0.32
5.625, 3.88, 0.36
5.875, 4.04, 0.36
6.125, 4.04, 0.36
6.375, 4.24, 0.4
6.625, 4.28, 0.44
6.875, 4.2, 0.48
7.151423451103277, 4.2, 0.48
7.375, 4.44, 0.36
7.625, 4.32, 0.36
7.875, 4.28, 0.4
8.125, 4.36, 0.4
8.375, 4.56, 0.44
8.625, 4.64, 0.44
8.875, 4.52, 0.48
9.113726221618672, 4.48, 0.52
9.375, 4.2, 0.44
9.625, 4.2, 0.44
9.875, 4.24, 0.52
10.125, 4.36, 0.64
10.375, 4.6, 0.68
10.625, 4.64, 0.68
10.977059062416414, 4.68, 0.72
11.125, 4.76, 0.72
11.341460808989872, 4.84, 0.72
11.741911301959504, 4.96, 0.68
11.875, 5.08, 0.72
12.125, 5.08, 0.76
12.385239695138518, 5.12, 0.84
12.590965675354946, 5.08, 0.8
12.88937060646857, 4.88, 0.76
