HEADER
ITEM:    xlo    xhi    bin-span    bin-count    measure    delimiter
-18.641262 18.641262   3.389320      11     pmass-local     |     

DATA
ITEM: binID    lo    hi    center    C    H    O    C|0    C|3    C|5    C|6    C|7    H|0    O|0    O|3    O|5    O|6    O|7    C|0|Sp1    C|0|Sp2    C|0|Sp3    C|3|Sp3    C|5|Sp2    C|5|Sp3    C|6|Sp2    C|6|Sp3    C|7|Sp2    H|0|Terminal    O|0|Sp2    O|0|Sp3    O|3|Sp3    O|5|Sp2    O|6|Sp2    O|7|Sp2    C15-H10-O3|[5]|C4-O1    C15-H10-O3|[]|    C15-H12-O4|[5]|C4-O1    C15-H12-O4|[]|    C30-H23-O7|[5]|C4-O1    C30-H23-O7|[]|    C36-H24-O7|[5]|C4-O1    C36-H24-O7|[]|    C36-H26-O8|[5]|C4-O1    C36-H26-O8|[]|    C393-H287-O82|[3, 5, 6]|    C393-H287-O82|[3, 6]|    C393-H287-O82|[3]|C3    C393-H287-O82|[5, 6]|    C393-H287-O82|[5]|    C393-H287-O82|[5]|C4-O1    C393-H287-O82|[6]|C6    C393-H287-O82|[]|    C42-H30-O9|[5]|C4-O1    C42-H30-O9|[]|    C471-H341-O94|[3]|C2-O1    C471-H341-O94|[3]|C3    C471-H341-O94|[5, 6]|    C471-H341-O94|[5]|    C471-H341-O94|[5]|C4-O1    C471-H341-O94|[6]|C6    C471-H341-O94|[]|    C471-H344-O96|[3]|C3    C471-H344-O96|[5, 6]|    C471-H344-O96|[5]|    C471-H344-O96|[5]|C4-O1    C471-H344-O96|[6]|C5-O1    C471-H344-O96|[6]|C6    C471-H344-O96|[7]|C5-O2    C471-H344-O96|[]|    C489-H359-O103|[3]|C3    C489-H359-O103|[5, 6]|    C489-H359-O103|[5]|    C489-H359-O103|[5]|C4-O1    C489-H359-O103|[6]|C6    C489-H359-O103|[]|    C6-H5-O2|[5]|C4-O1    C6-H5-O2|[]|    C66-H48-O13|[5, 6]|    C66-H48-O13|[5]|    C66-H48-O13|[5]|C4-O1    C66-H48-O13|[]|    C78-H55-O15|[3]|C3    C78-H55-O15|[5, 6]|    C78-H55-O15|[5]|C4-O1    C78-H55-O15|[6]|C6    C78-H55-O15|[]|    C87-H63-O18|[3, 5, 6]|    C87-H63-O18|[3, 6]|    C87-H63-O18|[5, 6]|    C87-H63-O18|[5]|C4-O1    C87-H63-O18|[6]|C6    C87-H63-O18|[]|    C90-H66-O19|[3, 6, 7]|    C90-H66-O19|[3, 7]|    C90-H66-O19|[5, 6, 7]|    C90-H66-O19|[5, 6]|    C90-H66-O19|[5]|    C90-H66-O19|[5]|C4-O1    C90-H66-O19|[6, 7]|    C90-H66-O19|[]|
1    -18.6413    -15.2519    -16.9466    74.0576    4.2785    21.6639    24.0609    0.0000    36.5601    13.4366    0.0000    4.2785    5.8326    0.0000    15.4147    0.4166    0.0000    1.8749    18.4363    3.7498    0.0000    36.2476    0.3125    5.6246    7.8120    0.0000    4.2785    0.8332    4.9994    0.0000    15.4147    0.4166    0.0000    3.9580    1.5386    0.0000    0.0000    2.0831    0.3650    0.0000    0.0000    1.6665    0.0525    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.2499    0.4166    9.9992    0.0000    2.9461    0.0000    1.8749    0.0000    13.3323    1.0416    1.5624    0.0000    9.9304    0.0000    1.5624    0.4166    10.3116    3.4373    10.9983    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.2499    6.1453    0.6250    5.1867    0.0000    0.0000    0.6250    3.6455    0.6250    2.4506    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.7037
2    -15.2519    -11.8626    -13.5573    75.9784    4.2463    19.7753    29.9676    3.6324    32.3892    8.4757    1.5135    4.2463    6.8608    0.0000    11.7038    0.4036    0.8072    3.0270    24.2162    2.7243    3.6324    32.0865    0.3027    4.5405    3.9351    1.5135    4.2463    1.6143    5.2465    0.0000    11.7038    0.4036    0.8072    6.9621    1.3658    0.0000    0.0000    0.3027    1.4134    0.0000    0.0000    1.3117    0.3790    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.3117    0.0000    0.7325    0.9081    0.9081    0.4036    11.3007    0.0000    0.0000    2.3207    15.0692    1.8162    1.5135    0.0000    11.8052    0.9081    8.1563    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.9081    0.0000    1.9171    1.8162    3.6856    0.6054    0.3027    1.6144    5.8521    1.2108    7.1942    0.0000    0.0000    0.0000    0.0000    0.0000    2.9261    0.0000    3.0786
3    -11.8626    -8.4733    -10.1680    72.9139    4.6525    22.4336    29.0954    0.0000    36.4569    7.3615    0.0000    4.6525    8.8800    0.0000    13.5537    0.0000    0.0000    4.5571    19.2801    5.2582    0.0000    36.4569    0.0000    3.1549    4.2066    0.0000    4.6525    1.8695    7.0105    0.0000    13.5537    0.0000    0.0000    9.4646    2.0766    0.0000    0.0000    1.0516    2.0168    0.3505    0.0589    2.2201    1.6662    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.4978    0.0000    0.0000    0.0000    0.0000    0.7011    0.0000    3.8559    1.4022    4.1808    0.0000    2.8044    0.4674    13.3205    0.0000    0.0000    0.0000    12.8645    0.0000    0.3505    0.0000    8.8804    0.7011    11.4880    0.0000    0.0000    0.0000    0.0000    0.0000    0.0589    0.0000    0.0000    1.8696    0.0000    0.4094    0.0000    0.0000    0.0000    2.5707    0.0000    4.2093    0.0000    0.0000    0.0000    1.4022    0.4674    5.4919    0.0000    3.1007
4    -8.4733    -5.0840    -6.7786    75.5478    5.1646    19.2876    30.9425    0.0000    38.9795    5.6259    0.0000    5.1646    3.7504    0.0000    15.5372    0.0000    0.0000    2.8130    24.9147    3.2148    0.0000    38.5776    0.4019    2.0093    3.6167    0.0000    5.1646    1.6073    2.1431    0.0000    15.5372    0.0000    0.0000    3.4826    1.0062    0.0000    0.0000    3.0808    2.2455    1.7413    0.9050    0.0000    3.1156    0.0000    0.0000    0.0000    0.0000    0.0000    4.2863    0.0000    3.3519    0.0000    0.0000    0.0000    0.0000    0.8037    0.0000    15.6720    0.0000    5.6693    0.0000    4.0185    1.0715    8.5727    0.0000    0.0000    0.0000    9.0169    0.0000    0.0000    0.0000    6.0277    0.0000    10.4218    0.0000    0.5695    0.0000    0.0000    2.1432    0.5031    0.0000    0.0000    0.0000    0.0000    0.0338    0.0000    0.0000    0.0000    0.9376    0.0000    0.4694    0.0000    0.0000    0.0000    0.8037    0.0000    7.5010    0.0000    2.5493
5    -5.0840    -1.6947    -3.3893    76.4097    4.3524    19.2379    30.1704    0.3279    37.0571    8.8543    0.0000    4.3524    5.2467    0.0000    13.9912    0.0000    0.0000    3.6073    21.9719    4.5911    0.3279    36.0733    0.9838    3.9353    4.9191    0.0000    4.3524    2.1861    3.0606    0.0000    13.9912    0.0000    0.0000    1.4210    0.0275    0.0000    0.0000    0.0000    0.4648    2.4049    0.4657    1.7490    1.8867    0.0000    0.0000    0.0000    1.6397    0.4372    12.4614    0.0000    12.3059    0.9838    0.4381    0.0000    0.3279    1.6397    0.4372    13.9918    1.9676    13.1289    0.0000    0.9838    0.0000    4.4818    0.0000    0.0000    0.0000    1.3695    0.0000    0.0000    0.0000    3.8259    0.0000    3.8285    1.7490    0.7661    1.6397    0.4372    0.7652    4.0738    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3279    0.0000    0.0000    0.0000    0.0000    5.9028    0.6559    1.0140
6    -1.6947    1.6947    0.0000    72.2413    4.6098    23.1489    25.7340    0.9301    33.4853    12.0919    0.0000    4.6098    8.6808    0.0000    14.0547    0.0000    0.4134    1.8603    19.2230    4.6507    0.9301    32.8652    0.6201    5.2708    6.8211    0.0000    4.6098    2.8936    5.7872    0.0000    14.0547    0.0000    0.4134    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.9971    0.7764    0.0000    0.0260    0.0000    0.0000    0.0000    2.1703    0.4134    16.2256    1.2402    15.6457    1.3435    0.3621    0.0000    0.9301    2.7904    0.0000    13.0217    4.6507    17.2462    0.0000    0.0000    0.0000    3.3071    0.0000    0.0000    0.0000    0.4924    0.0000    0.0000    0.0000    4.6507    0.0000    1.1385    0.0000    0.0000    0.3100    0.0000    3.8239    2.2510    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3100    0.4134    0.6201    0.0000    0.0000    1.7569    0.0000    1.0864
7    1.6947    5.0840    3.3893    76.4991    4.3494    19.1514    30.3992    1.6703    33.0717    11.3580    0.0000    4.3494    6.6807    0.0000    12.4707    0.0000    0.0000    4.3427    22.0478    4.0087    1.6703    32.0695    1.0022    5.3449    6.0130    0.0000    4.3494    2.2269    4.4538    0.0000    12.4707    0.0000    0.0000    0.0000    0.0561    0.0000    0.0000    0.0000    0.0000    2.8951    2.4787    0.0000    0.0000    0.0000    0.3341    0.3341    2.6725    0.0000    15.8118    3.6746    15.5744    1.1135    0.3902    0.0000    1.3362    0.6681    0.0000    12.8053    1.0022    15.3491    0.0000    2.0043    0.4454    3.5632    0.0000    0.0000    0.0000    2.3972    0.0000    0.0000    0.0000    4.2313    0.0000    3.4265    0.0000    0.0000    1.0022    0.0000    3.6745    1.3108    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0022    0.0000    0.4463
8    5.0840    8.4733    6.7786    74.8506    4.3034    20.8460    38.5896    2.3287    27.2789    6.6534    0.0000    4.3034    11.0883    0.0000    9.3142    0.4435    0.0000    3.6594    30.9383    3.9920    2.3287    27.2789    0.0000    3.6594    2.9940    0.0000    4.3034    4.4353    6.6530    0.0000    9.3142    0.4435    0.0000    3.7702    0.9168    0.6653    1.3595    0.0000    0.0000    0.3327    0.5274    0.0000    0.0000    0.6653    0.0000    0.6653    1.1089    0.0000    9.0929    0.3327    21.3012    0.0000    6.2395    0.3327    1.3307    1.3307    0.0000    5.6553    2.6614    14.1755    0.0000    0.0000    0.0000    2.5504    0.0000    0.0000    0.0000    2.5513    0.0000    0.0000    0.0000    10.4234    0.0000    6.1051    0.0000    0.0000    0.9980    0.4435    3.6593    0.8051    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
9    8.4733    11.8626    10.1680    73.2932    4.6097    22.0971    38.6723    0.3683    29.0963    5.1563    0.0000    4.6097    10.3120    0.4910    11.2941    0.0000    0.0000    3.3148    30.2012    5.1563    0.3683    28.7280    0.3683    1.4732    3.6831    0.0000    4.6097    3.9284    6.3836    0.4910    11.2941    0.0000    0.0000    5.2790    1.2905    3.1919    2.4264    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    4.0514    0.4910    10.6807    0.0000    9.1246    5.8928    2.2737    0.8594    0.0000    0.0000    0.0000    5.1562    0.0000    10.3183    0.0000    0.3683    0.4910    1.8415    0.0000    0.0000    0.0000    3.2887    0.0000    0.7366    0.0000    6.6294    0.0000    24.4106    0.0000    0.0000    0.0000    0.0000    0.7366    0.4611    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
10    11.8626    15.2519    13.5573    75.1364    5.1320    19.7316    31.1171    0.0000    36.4298    7.5895    0.0000    5.1320    5.0594    0.0000    14.6722    0.0000    0.0000    2.2769    23.1481    5.6922    0.0000    36.4298    0.0000    3.0358    4.5537    0.0000    5.1320    1.5178    3.5416    0.0000    14.6722    0.0000    0.0000    4.8066    1.4891    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3795    0.4751    0.0000    0.0000    0.0000    0.3795    0.5059    6.5775    0.0000    2.0279    0.0000    0.4751    0.0000    0.0000    1.8974    0.5059    6.4510    0.0000    3.6096    0.0000    1.8974    0.0000    15.9377    0.0000    0.7590    0.0000    12.5985    0.0000    2.6563    1.0119    12.5225    0.0000    20.0943    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.6444    0.0000    0.5070    0.0000    0.0000    0.0000    0.7590    0.0000    0.0319    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
