HEADER
ITEM:    ylo    yhi    bin-span    bin-count    measure    delimiter
-18.967485 18.967485   3.448634      11     pmass-local     |     

DATA
ITEM: binID    lo    hi    center    C    H    O    C|0    C|3    C|5    C|6    C|7    H|0    O|0    O|3    O|5    O|6    O|7    C|0|Sp1    C|0|Sp2    C|0|Sp3    C|3|Sp3    C|5|Sp2    C|5|Sp3    C|6|Sp2    C|6|Sp3    C|7|Sp2    H|0|Terminal    O|0|Sp2    O|0|Sp3    O|3|Sp3    O|5|Sp2    O|6|Sp2    O|7|Sp2    C15-H10-O3|[5]|C4-O1    C15-H10-O3|[]|    C15-H12-O4|[5]|C4-O1    C15-H12-O4|[]|    C30-H23-O7|[5]|C4-O1    C30-H23-O7|[]|    C36-H24-O7|[5]|C4-O1    C36-H24-O7|[]|    C36-H26-O8|[5]|C4-O1    C36-H26-O8|[]|    C393-H287-O82|[3, 5, 6]|    C393-H287-O82|[3, 6]|    C393-H287-O82|[3]|C3    C393-H287-O82|[5, 6]|    C393-H287-O82|[5]|    C393-H287-O82|[5]|C4-O1    C393-H287-O82|[6]|C6    C393-H287-O82|[]|    C42-H30-O9|[5]|C4-O1    C42-H30-O9|[]|    C471-H341-O94|[3]|C2-O1    C471-H341-O94|[3]|C3    C471-H341-O94|[5, 6]|    C471-H341-O94|[5]|    C471-H341-O94|[5]|C4-O1    C471-H341-O94|[6]|C6    C471-H341-O94|[]|    C471-H344-O96|[3]|C3    C471-H344-O96|[5, 6]|    C471-H344-O96|[5]|    C471-H344-O96|[5]|C4-O1    C471-H344-O96|[6]|C5-O1    C471-H344-O96|[6]|C6    C471-H344-O96|[7]|C5-O2    C471-H344-O96|[]|    C489-H359-O103|[3]|C3    C489-H359-O103|[5, 6]|    C489-H359-O103|[5]|    C489-H359-O103|[5]|C4-O1    C489-H359-O103|[6]|C6    C489-H359-O103|[]|    C6-H5-O2|[5]|C4-O1    C6-H5-O2|[]|    C66-H48-O13|[5, 6]|    C66-H48-O13|[5]|    C66-H48-O13|[5]|C4-O1    C66-H48-O13|[]|    C78-H55-O15|[3]|C3    C78-H55-O15|[5, 6]|    C78-H55-O15|[5]|C4-O1    C78-H55-O15|[6]|C6    C78-H55-O15|[]|    C87-H63-O18|[3, 5, 6]|    C87-H63-O18|[3, 6]|    C87-H63-O18|[5, 6]|    C87-H63-O18|[5]|C4-O1    C87-H63-O18|[6]|C6    C87-H63-O18|[]|    C90-H66-O19|[3, 6, 7]|    C90-H66-O19|[3, 7]|    C90-H66-O19|[5, 6, 7]|    C90-H66-O19|[5, 6]|    C90-H66-O19|[5]|    C90-H66-O19|[5]|C4-O1    C90-H66-O19|[6, 7]|    C90-H66-O19|[]|
1    -18.9675    -15.5189    -17.2432    75.0162    4.7042    20.2796    30.7670    0.0000    36.9895    7.2596    0.0000    4.7042    8.2962    0.0000    11.9834    0.0000    0.0000    3.1113    22.8160    4.8398    0.0000    36.6438    0.3457    3.1113    4.1484    0.0000    4.7042    3.6872    4.6090    0.0000    11.9834    0.0000    0.0000    4.3788    1.7022    0.0000    0.0000    0.3457    0.4328    2.8808    2.7674    4.7245    0.9237    0.0000    0.0000    0.0000    0.3457    0.4609    4.1483    0.0000    12.5095    0.0000    0.0000    0.0000    0.0000    3.1113    0.4609    16.7085    2.7656    10.2956    0.0000    0.0000    0.0000    5.1854    0.0000    0.0000    0.0000    1.9345    0.0000    0.0000    0.0000    5.8768    0.0000    8.0136    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.9960    0.0000    0.4619    0.0000    0.0000    0.3457    0.8066    0.6914    4.7263    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
2    -15.5189    -12.0702    -13.7945    74.7492    4.7468    20.5041    26.4662    0.7153    40.7723    6.7954    0.0000    4.7468    4.7684    0.0000    15.7357    0.0000    0.0000    2.8612    18.9555    4.6495    0.7153    40.4146    0.3577    2.5036    4.2918    0.0000    4.7468    2.3842    2.3842    0.0000    15.7357    0.0000    0.0000    7.6298    1.4936    0.0000    0.0000    0.0000    0.0000    1.9074    0.8355    0.3577    0.4177    0.0000    0.0000    0.0000    2.5036    0.0000    11.8023    0.7153    10.2611    1.1921    0.5379    0.0000    0.7153    0.7153    0.0000    13.3520    0.3577    6.9532    0.0000    0.7153    0.0000    12.7560    0.0000    0.3577    0.0000    5.8774    0.0000    1.4306    0.0000    5.6031    0.0000    7.1296    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0300    0.0000    0.0000    0.0000    1.9074    0.0000    2.4454    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
3    -12.0702    -8.6216    -10.3459    77.2194    4.9167    17.8639    28.9132    0.3526    37.0230    10.9306    0.0000    4.9167    5.6412    0.0000    12.2227    0.0000    0.0000    2.8208    22.2138    3.8786    0.3526    36.6704    0.3526    5.6416    5.2890    0.0000    4.9167    1.4103    4.2309    0.0000    12.2227    0.0000    0.0000    4.1136    1.2059    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.1156    0.4701    11.1655    0.7052    8.6485    7.4045    4.4996    0.0000    0.3526    1.7630    0.4701    5.7590    1.4104    7.4102    0.0000    1.0578    0.0000    5.1714    0.0000    2.4682    0.0000    11.7321    0.0000    1.0578    0.4701    12.4583    0.3526    3.7686    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0578    0.0000    2.1175    0.0000    0.0000    0.0000    0.0000    0.0000    0.7052    0.0000    0.0889
4    -8.6216    -5.1730    -6.8973    74.6269    4.4266    20.9466    31.0945    1.9639    27.4941    14.0744    0.0000    4.4266    6.5458    0.0000    13.9644    0.4364    0.0000    1.3092    26.1849    3.6004    1.9639    26.5122    0.9819    6.8735    7.2008    0.0000    4.4266    1.7455    4.8003    0.0000    13.9644    0.4364    0.0000    4.2550    1.2569    0.0000    0.3823    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.6546    0.3273    0.0000    2.4003    0.4364    8.6190    0.0000    7.1794    0.7637    5.1020    0.0000    0.9819    1.6366    0.0000    5.3460    0.9819    5.5154    0.9819    3.6004    0.4364    11.2375    0.9819    0.6546    0.0000    12.8038    0.0000    2.2912    0.4364    7.3098    0.9819    8.7352    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.7637    0.0000    0.3823    0.0000    0.0000    0.0000    0.0000    0.0000    1.8547    0.0000    0.7096
5    -5.1730    -1.7243    -3.4486    74.4812    4.4802    21.0386    28.7194    0.3156    35.0314    10.4147    0.0000    4.4802    7.5739    0.0000    13.0439    0.4208    0.0000    3.4716    19.8827    5.3652    0.3156    34.4002    0.6312    5.3652    5.0496    0.0000    4.4802    1.6831    5.8908    0.0000    13.0439    0.4208    0.0000    7.9951    1.3179    1.6832    0.0530    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.8404    0.4208    4.2080    0.9468    4.5551    0.0000    0.0000    0.0000    0.0000    0.3156    0.0000    7.1534    1.2624    9.9475    0.0000    2.8404    0.8415    15.9900    1.0520    1.5780    0.0000    11.8205    0.3156    0.0000    0.0000    8.2054    0.0000    12.2362    0.0000    0.0000    0.0000    0.0000    0.0000    0.0265    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.5780    0.0000    0.8168
6    -1.7243    1.7243    0.0000    73.6950    4.4708    21.8342    40.9417    1.0235    23.2003    6.8236    1.7059    4.4708    10.9171    0.0000    10.4622    0.0000    0.4549    4.0942    31.7298    5.1177    1.0235    23.2003    0.0000    2.0471    4.7765    1.7059    4.4708    4.0939    6.8232    0.0000    10.4622    0.0000    0.4549    2.6157    0.7970    0.0000    1.9342    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3412    0.0000    4.3215    0.3412    8.5626    0.0000    0.0000    0.3412    0.0000    0.6824    0.0000    6.0275    0.6824    9.5029    0.0000    2.3883    0.4549    11.7137    0.0000    0.3412    2.1608    13.3437    0.6824    1.3647    0.0000    4.4353    0.6824    17.7789    0.7961    0.3985    0.0000    0.0000    0.0000    2.5879    0.0000    0.0000    0.0000    0.0000    0.0573    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    3.2980    0.0000    1.3665
7    1.7243    5.1730    3.4486    75.1738    4.7811    20.0451    31.5014    1.4319    36.8710    5.3696    0.0000    4.7811    6.2044    0.4773    12.8861    0.0000    0.4773    4.2956    23.6261    3.5797    1.4319    36.5130    0.3580    2.8638    2.5058    0.0000    4.7811    2.8636    3.3409    0.4773    12.8861    0.0000    0.4773    1.4319    0.5685    1.5512    1.2834    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    10.6196    0.0000    5.9428    0.0000    0.0000    0.8352    1.0739    0.0000    0.0000    5.0115    0.7159    5.3743    0.0000    0.3580    0.0000    6.9206    0.0000    0.0000    0.4773    10.0908    0.0000    1.4319    0.4773    13.8413    0.7159    10.2121    1.0739    0.9254    0.0000    0.0000    1.4319    2.4175    0.0000    0.0000    1.9091    0.0000    0.4482    0.0000    0.0000    0.0000    0.3580    0.0000    0.4181    0.0000    0.0000    0.0000    2.1478    0.4773    4.6535    0.0000    4.8058
8    5.1730    8.6216    6.8973    73.9279    4.6645    21.4076    23.0816    0.0000    39.1383    11.7080    0.0000    4.6645    6.2439    0.0000    15.1637    0.0000    0.0000    2.0071    16.7258    4.3487    0.0000    38.1347    1.0035    5.6868    6.0213    0.0000    4.6645    2.2300    4.0139    0.0000    15.1637    0.0000    0.0000    3.3451    1.1159    0.3345    0.0281    0.0000    0.0562    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.6690    0.0000    6.1327    1.3381    4.2697    0.0000    0.0000    0.0000    0.0000    0.3345    0.0000    5.6867    1.0035    4.1582    0.0000    1.6726    0.4460    8.8088    0.0000    0.0000    0.0000    6.6965    0.0000    0.6690    0.0000    12.8229    1.3381    8.5385    0.0000    0.0000    2.3416    0.4460    3.6796    2.4848    0.0000    0.6690    3.5681    1.3381    3.4593    0.0000    0.0000    0.0000    4.3486    0.3345    1.7586    0.0000    0.0000    0.0000    0.0000    0.0000    4.6831    0.0000    1.4241
9    8.6216    12.0702    10.3459    76.2368    4.1640    19.5993    26.6658    1.7093    37.2637    10.5979    0.0000    4.1640    5.4696    0.0000    13.6739    0.0000    0.4558    3.0768    19.4865    4.1024    1.7093    37.2637    0.0000    4.1024    6.4955    0.0000    4.1640    1.3674    4.1022    0.0000    13.6739    0.0000    0.4558    3.6465    0.4855    0.0000    0.0000    1.1395    0.3993    0.0000    0.0000    0.0000    0.0287    0.0000    0.0000    1.0256    0.0000    0.0000    6.1536    0.0000    3.6215    0.0000    0.0000    0.0000    0.0000    1.0256    0.0000    3.9884    1.0256    8.8930    0.0000    2.3931    0.4558    6.6094    0.0000    0.0000    0.0000    3.3945    0.3419    1.3675    0.0000    7.6350    0.0000    9.1802    0.0000    0.0000    1.7093    0.4558    8.4326    2.1688    0.3419    0.0000    4.4442    0.0000    5.4448    0.0000    0.0000    0.6837    5.4698    1.0256    0.9709    0.6837    0.4558    0.3419    0.0000    0.0000    2.5070    0.3419    1.7121
10    12.0702    15.5189    13.7945    76.4562    4.6506    18.8932    32.9553    1.6478    28.6711    13.1821    0.0000    4.6506    7.4694    0.0000    10.9844    0.4394    0.0000    3.2955    26.3642    3.2955    1.6478    28.0120    0.6591    6.5911    6.5911    0.0000    4.6506    1.3181    6.1513    0.0000    10.9844    0.4394    0.0000    2.4167    0.4403    0.0000    0.0000    3.4053    1.3199    0.0000    0.0277    2.1970    2.8847    0.0000    0.0000    0.0000    0.6591    0.0000    1.7576    1.3182    6.0452    0.0000    0.0000    0.0000    0.3296    2.6364    0.4394    9.1175    1.6478    9.1272    0.0000    1.6478    0.4394    6.3712    0.0000    0.0000    0.0000    5.0584    0.6591    0.9887    0.4394    7.6894    0.9887    13.4640    0.0000    0.0000    0.0000    0.0000    1.4280    0.1661    0.6591    0.3296    1.0985    0.6591    3.4901    0.6591    0.3296    1.0985    0.0000    0.0000    1.8415    0.0000    0.0000    0.3296    0.0000    0.0000    2.8561    0.3296    1.2101
