HEADER
ITEM:    zlo    zhi    bin-span    bin-count    measure    delimiter
-18.701250 18.701250   3.400227      11     pmass-local     |     

DATA
ITEM: binID    lo    hi    center    C    H    O    C|0    C|3    C|5    C|6    C|7    H|0    O|0    O|3    O|5    O|6    O|7    C|0|Sp1    C|0|Sp2    C|0|Sp3    C|3|Sp3    C|5|Sp2    C|5|Sp3    C|6|Sp2    C|6|Sp3    C|7|Sp2    H|0|Terminal    O|0|Sp2    O|0|Sp3    O|3|Sp3    O|5|Sp2    O|6|Sp2    O|7|Sp2    C15-H10-O3|[5]|C4-O1    C15-H10-O3|[]|    C15-H12-O4|[5]|C4-O1    C15-H12-O4|[]|    C30-H23-O7|[5]|C4-O1    C30-H23-O7|[]|    C36-H24-O7|[5]|C4-O1    C36-H24-O7|[]|    C36-H26-O8|[5]|C4-O1    C36-H26-O8|[]|    C393-H287-O82|[3, 5, 6]|    C393-H287-O82|[3, 6]|    C393-H287-O82|[3]|C3    C393-H287-O82|[5, 6]|    C393-H287-O82|[5]|    C393-H287-O82|[5]|C4-O1    C393-H287-O82|[6]|C6    C393-H287-O82|[]|    C42-H30-O9|[5]|C4-O1    C42-H30-O9|[]|    C471-H341-O94|[3]|C2-O1    C471-H341-O94|[3]|C3    C471-H341-O94|[5, 6]|    C471-H341-O94|[5]|    C471-H341-O94|[5]|C4-O1    C471-H341-O94|[6]|C6    C471-H341-O94|[]|    C471-H344-O96|[3]|C3    C471-H344-O96|[5, 6]|    C471-H344-O96|[5]|    C471-H344-O96|[5]|C4-O1    C471-H344-O96|[6]|C5-O1    C471-H344-O96|[6]|C6    C471-H344-O96|[7]|C5-O2    C471-H344-O96|[]|    C489-H359-O103|[3]|C3    C489-H359-O103|[5, 6]|    C489-H359-O103|[5]|    C489-H359-O103|[5]|C4-O1    C489-H359-O103|[6]|C6    C489-H359-O103|[]|    C6-H5-O2|[5]|C4-O1    C6-H5-O2|[]|    C66-H48-O13|[5, 6]|    C66-H48-O13|[5]|    C66-H48-O13|[5]|C4-O1    C66-H48-O13|[]|    C78-H55-O15|[3]|C3    C78-H55-O15|[5, 6]|    C78-H55-O15|[5]|C4-O1    C78-H55-O15|[6]|C6    C78-H55-O15|[]|    C87-H63-O18|[3, 5, 6]|    C87-H63-O18|[3, 6]|    C87-H63-O18|[5, 6]|    C87-H63-O18|[5]|C4-O1    C87-H63-O18|[6]|C6    C87-H63-O18|[]|    C90-H66-O19|[3, 6, 7]|    C90-H66-O19|[3, 7]|    C90-H66-O19|[5, 6, 7]|    C90-H66-O19|[5, 6]|    C90-H66-O19|[5]|    C90-H66-O19|[5]|C4-O1    C90-H66-O19|[6, 7]|    C90-H66-O19|[]|
1    -18.7012    -15.3010    -17.0011    73.5917    4.2670    22.1413    34.5165    0.9769    29.9577    8.1407    0.0000    4.2670    8.6828    0.0000    13.4584    0.0000    0.0000    2.9306    26.3758    5.2100    0.9769    29.3064    0.6513    2.9306    5.2100    0.0000    4.2670    3.0390    5.6439    0.0000    13.4584    0.0000    0.0000    1.9538    0.4897    0.0000    0.0000    5.2100    2.6076    2.8220    0.7607    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.7367    1.5751    0.0000    0.9769    3.9075    0.0000    14.5444    2.2794    20.7991    0.0000    1.3025    0.0000    5.4270    0.0000    0.0000    0.0000    6.6809    0.0000    0.0000    0.0000    4.8843    0.0000    5.3229    0.0000    0.0000    0.6513    0.4341    3.5818    4.3981    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.8220    0.0000    4.8322    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
2    -15.3010    -11.9008    -13.6009    75.8833    5.1173    18.9993    28.8570    1.0688    37.0510    8.9065    0.0000    5.1173    5.2248    0.0000    13.7745    0.0000    0.0000    3.2063    21.3756    4.2751    1.0688    36.3385    0.7125    3.9189    4.9876    0.0000    5.1173    2.8499    2.3749    0.0000    13.7745    0.0000    0.0000    3.0875    0.5059    0.0000    0.0000    0.0000    0.0299    0.7125    2.0497    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    3.3251    3.7730    0.0000    1.0688    0.3563    0.4750    11.4001    1.7813    12.2138    0.0000    2.4938    0.9500    6.7688    0.0000    0.0000    0.0000    5.1130    0.0000    2.1376    0.0000    17.3377    0.7125    10.1343    0.0000    0.3862    1.4250    0.0000    5.2251    3.0624    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.5438    0.0000    1.9309    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
3    -11.9008    -8.5006    -10.2007    76.4018    4.5584    19.0398    28.2044    1.4281    35.7018    11.0676    0.0000    4.5584    7.6159    0.0000    11.4239    0.0000    0.0000    1.7851    22.4921    3.9272    1.4281    35.3448    0.3570    6.4263    4.6412    0.0000    4.5584    0.9520    6.6639    0.0000    11.4239    0.0000    0.0000    2.2611    0.8640    0.0000    0.0000    0.0000    0.0000    3.0941    1.3110    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.4281    0.0000    0.5370    2.3801    3.5721    0.0000    0.0000    1.4281    0.0000    10.2344    2.4991    13.1300    0.0000    0.3570    0.0000    5.7122    0.0000    0.0000    0.0000    0.9540    1.4281    1.7851    0.4760    14.1616    3.2132    18.0130    1.9041    0.0600    1.7851    0.4760    4.2841    1.4309    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3570    0.0000    0.0900    0.0000    0.0000    0.0000    0.0000    0.0000    0.3570    0.0000    0.4170
4    -8.5006    -5.1003    -6.8005    72.1553    4.1364    23.7083    31.8030    0.6839    33.1709    6.4974    0.0000    4.1364    7.2949    0.0000    16.4134    0.0000    0.0000    4.7876    23.5958    3.4197    0.6839    32.8289    0.3420    2.0518    4.4456    0.0000    4.1364    2.7356    4.5593    0.0000    16.4134    0.0000    0.0000    5.9273    1.2557    0.0000    0.0000    0.0000    0.0000    4.3315    1.1408    0.0000    0.0000    0.0000    0.0000    0.0000    1.0259    0.0000    7.7511    0.0000    7.3860    1.8238    1.1121    0.0000    0.0000    0.3420    0.0000    9.5748    0.3420    8.0699    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.6839    2.7357    0.4559    16.0722    1.7098    21.9864    0.0000    0.8553    0.3420    0.0000    1.8238    0.4856    0.0000    0.0000    0.3420    0.0000    0.0862    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.4818    0.0000    0.8563
5    -5.1003    -1.7001    -3.4002    75.0998    4.4299    20.4704    32.7101    0.0000    34.0452    8.3444    0.0000    4.4299    8.9002    0.0000    11.1252    0.4450    0.0000    3.0040    26.0346    3.6715    0.0000    34.0452    0.0000    3.3378    5.0067    0.0000    4.4299    4.4501    4.4501    0.0000    11.1252    0.4450    0.0000    1.0013    0.4740    0.0000    0.0000    0.0000    0.0000    0.0000    0.0280    0.0000    0.0000    0.6676    0.3338    0.0000    3.4490    0.4450    12.2383    1.0013    10.6905    0.0000    0.3618    0.0000    0.0000    0.0000    0.0000    5.7854    0.0000    2.0894    0.0000    0.6676    0.0000    5.0066    0.0000    0.0000    0.0000    1.2256    0.0000    1.0013    0.0000    16.3548    0.0000    24.9368    0.0000    0.0000    0.0000    0.0000    0.3338    0.3899    0.0000    0.6676    2.5589    1.0013    1.6706    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.4463    0.0000    4.1735
6    -1.7001    1.7001    0.0000    76.1176    5.1880    18.6944    30.7141    1.0015    32.7172    11.6847    0.0000    5.1880    6.2315    0.0000    12.4629    0.0000    0.0000    2.6708    22.7017    5.3416    1.0015    32.0495    0.6677    5.6754    6.0093    0.0000    5.1880    1.7804    4.4510    0.0000    12.4629    0.0000    0.0000    1.1128    0.0280    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.3369    0.4451    8.9025    2.3369    10.5544    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.4460    0.0000    1.6692    0.4451    7.7897    0.0000    0.0000    0.0000    5.7106    0.0000    3.3385    0.8902    11.7958    0.0000    18.8200    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0015    0.0000    2.1144    0.3338    2.7567    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3338    0.0000    0.6677    0.6677    0.0000    11.6846    0.0000    3.8179
7    1.7001    5.1003    3.4002    76.8272    4.5925    18.5803    24.6562    0.7147    41.8083    9.6481    0.0000    4.5925    3.3349    0.0000    14.7690    0.0000    0.4764    1.7867    18.9388    3.9307    0.7147    40.7363    1.0720    4.6454    5.0027    0.0000    4.5925    0.0000    3.3349    0.0000    14.7690    0.0000    0.4764    2.9778    0.8948    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.7147    0.4474    0.0000    0.0000    0.7147    1.0720    0.0000    14.0550    1.7867    11.6533    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    5.7173    0.0000    1.3422    0.0000    1.7867    0.0000    12.9830    0.0000    2.5014    0.0000    7.9609    0.0000    0.0000    0.0000    8.0995    0.0000    5.4848    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    3.4542    0.0000    2.4732    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3573    0.4764    0.0000    1.4293    0.4764    8.0995    0.7147    2.3270
8    5.1003    8.5006    6.8005    70.3261    4.1404    25.5335    37.3607    1.2558    25.1165    6.5931    0.0000    4.1404    13.3946    0.0000    12.1389    0.0000    0.0000    3.1396    28.5700    5.6512    1.2558    25.1165    0.0000    2.1977    4.3954    0.0000    4.1404    5.4416    7.9530    0.0000    12.1389    0.0000    0.0000    5.7558    1.2056    0.0000    0.4186    0.0000    0.0000    0.0000    0.0000    5.4418    2.3040    0.0000    0.0000    0.3140    0.6279    0.0000    11.6161    0.3140    25.4162    0.0000    0.0000    0.0000    0.0000    0.6279    0.0000    2.4069    1.2558    4.7126    0.9419    1.5698    0.4186    7.8487    0.0000    0.3140    0.0000    16.0998    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.6279    2.7209    1.2558    4.3196    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0465    0.0000    0.4194
9    8.5006    11.9008    10.2007    72.8420    4.6447    22.5134    32.7789    0.9933    30.4612    8.2775    0.3311    4.6447    7.5045    0.0000    14.5675    0.0000    0.4414    2.9799    26.4880    3.3110    0.9933    30.1301    0.3311    3.6421    4.6354    0.3311    4.6447    0.8829    6.6216    0.0000    14.5675    0.0000    0.4414    6.4012    1.6581    1.1036    2.2360    0.0000    0.0556    0.0000    0.0000    0.6622    3.0373    0.0000    0.0000    0.0000    2.3177    0.4414    10.3743    0.0000    8.6999    0.0000    0.0000    0.0000    0.9933    0.0000    0.0000    7.8359    0.0000    8.5043    0.0000    4.6354    0.8829    13.3541    0.0000    1.3244    0.7725    15.0490    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.7658    0.0000    2.6783    0.0000    0.0000    0.0000    2.2073    0.0000    2.9816    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0278
10    11.9008    15.3010    13.6009    79.6418    4.4970    15.8613    23.4629    0.6609    39.3252    14.8709    1.3219    4.4970    1.7624    0.4406    12.7771    0.4406    0.4406    2.6437    16.1927    4.6265    0.6609    38.6643    0.6609    6.9397    7.9311    1.3219    4.4970    0.0000    1.7624    0.4406    12.7771    0.4406    0.4406    3.3046    0.9385    2.4234    0.8552    1.7624    0.4137    0.0000    0.0000    1.4320    1.0747    0.0000    0.0000    0.0000    0.9914    0.4406    6.9397    0.0000    3.6126    0.0000    0.0000    0.4406    0.6609    3.9656    0.4406    11.0153    2.9742    7.5826    0.0000    2.9742    0.8812    13.6590    2.0929    0.0000    1.7624    11.8248    0.0000    0.0000    0.0000    0.9914    0.0000    0.4415    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.7624    0.0000    0.4137    0.6609    0.0000    0.9914    7.0498    0.6609    2.5648    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
