HEADER
ITEM:    xlo    xhi    bin-span    bin-count    measure    delimiter
-18.641262 18.641262   3.389320      11     pmass-local     |     

DATA
ITEM: binID    lo    hi    center    C    H    O    C|0    C|3    C|5    C|6    C|7    H|0    O|0    O|3    O|5    O|6    O|7    C|0|Sp1    C|0|Sp2    C|0|Sp3    C|3|Sp3    C|5|Sp2    C|5|Sp3    C|6|Sp2    C|6|Sp3    C|7|Sp2    H|0|Terminal    O|0|Sp1    O|0|Sp2    O|0|Sp3    O|3|Sp3    O|5|Sp2    O|6|Sp2    O|7|Sp2    C1050-H761-O212|[3, 5, 6]|    C1050-H761-O212|[3, 6]|    C1050-H761-O212|[3]|C2-O1    C1050-H761-O212|[3]|C3    C1050-H761-O212|[5, 6]|    C1050-H761-O212|[5]|    C1050-H761-O212|[5]|C4-O1    C1050-H761-O212|[6]|C5-O1    C1050-H761-O212|[6]|C6    C1050-H761-O212|[7]|C5-O2    C1050-H761-O212|[]|    C15-H10-O3|[5]|C4-O1    C15-H10-O3|[]|    C15-H12-O4|[5]|C4-O1    C15-H12-O4|[]|    C30-H23-O7|[5]|C4-O1    C30-H23-O7|[]|    C36-H25-O7|[5]|C4-O1    C36-H25-O7|[]|    C36-H27-O8|[5]|C4-O1    C36-H27-O8|[]|    C393-H287-O82|[3, 5, 6]|    C393-H287-O82|[3, 6]|    C393-H287-O82|[3]|C3    C393-H287-O82|[5, 6]|    C393-H287-O82|[5]|    C393-H287-O82|[5]|C4-O1    C393-H287-O82|[6]|C6    C393-H287-O82|[]|    C531-H389-O112|[3]|C3    C531-H389-O112|[5, 6]|    C531-H389-O112|[5]|    C531-H389-O112|[5]|C4-O1    C531-H389-O112|[6]|C6    C531-H389-O112|[]|    C6-H5-O2|[5]|C4-O1    C6-H5-O2|[]|    C66-H48-O13|[5, 6]|    C66-H48-O13|[5]|    C66-H48-O13|[5]|C4-O1    C66-H48-O13|[]|    C90-H66-O19|[3, 6, 7]|    C90-H66-O19|[3, 7]|    C90-H66-O19|[5, 6, 7]|    C90-H66-O19|[5, 6]|    C90-H66-O19|[5]|    C90-H66-O19|[5]|C4-O1    C90-H66-O19|[6, 7]|    C90-H66-O19|[]|    C93-H65-O18|[3]|C3    C93-H65-O18|[5, 6]|    C93-H65-O18|[5]|C4-O1    C93-H65-O18|[6]|C6    C93-H65-O18|[]|
1    -18.6413    -15.2519    -16.9466    74.0563    4.5955    21.3482    26.0198    0.0000    34.6930    13.3435    0.0000    4.5955    6.2266    0.0000    14.6769    0.4448    0.0000    2.0015    19.3480    4.6702    0.0000    34.3594    0.3336    7.0053    6.3382    0.0000    4.5955    0.0000    0.4448    5.7818    0.0000    14.6769    0.4448    0.0000    0.0000    0.0000    0.0000    0.0000    2.0015    0.4448    25.7969    1.1119    3.0023    0.0000    16.6409    3.8918    1.5865    0.0000    0.0000    2.2239    0.3896    0.0000    0.0000    1.7791    0.0280    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.3343    0.0000    10.3410    4.0030    11.9925    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0848    0.0000    1.3343    4.8925    1.0008    5.1194
2    -15.2519    -11.8626    -13.5573    76.3058    4.3725    19.3217    31.0547    3.5491    30.7589    9.4643    1.4788    4.3725    7.4921    0.0000    10.6467    0.3943    0.7886    2.0703    26.3225    2.6618    3.5491    30.4632    0.2958    4.7321    4.7321    1.4788    4.3725    0.0000    1.9716    5.5205    0.0000    10.6467    0.3943    0.7886    0.5915    0.2958    0.0000    0.8873    3.0562    0.0000    17.4495    0.0000    1.4788    2.2674    22.6664    5.8165    0.9145    0.0000    0.0000    0.2958    1.3810    0.0000    0.0000    0.0000    1.7016    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.7746    1.7746    0.0000    10.3513    1.1830    8.1913    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    3.1547    0.0000    2.7123    0.8873    0.0000    4.3377    1.4788    5.3523
3    -11.8626    -8.4733    -10.1680    72.3347    4.5934    23.0718    30.8028    0.0000    34.6099    6.9220    0.0000    4.5934    9.2287    0.0000    13.8431    0.0000    0.0000    4.4993    21.1121    5.1915    0.0000    34.6099    0.0000    2.7688    4.1532    0.0000    4.5934    0.0000    1.3843    7.8444    0.0000    13.8431    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    3.4610    0.9229    20.1887    0.0000    1.3844    0.0000    20.9267    5.3067    1.2709    0.0000    0.0000    1.0383    2.0203    0.3461    0.4333    1.8458    1.9912    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.4624    0.0000    0.0000    0.0000    8.6524    0.3461    11.2840    0.0000    0.0000    0.0000    0.0000    0.0000    0.0581    0.0000    0.0000    0.0000    1.7305    0.4614    7.4987    0.0000    3.4656    0.0000    0.0000    2.1919    0.0000    2.7125
4    -8.4733    -5.0840    -6.7786    73.6090    5.0087    21.3823    29.6081    0.0000    38.2438    5.7571    0.0000    5.0087    4.9344    0.0000    16.4479    0.0000    0.0000    2.8786    23.4397    3.2898    0.0000    37.8326    0.4112    2.4673    3.2898    0.0000    5.0087    0.0000    2.7413    2.1931    0.0000    16.4479    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    5.3459    1.0965    25.9067    0.0000    0.0000    0.0000    14.3100    3.1526    0.5494    0.0000    0.0000    3.1526    2.8462    1.7819    0.4803    0.9595    4.0453    0.0000    0.0000    0.0000    0.0000    0.0000    4.3863    0.0000    2.5731    0.0000    0.0000    0.0000    6.7165    0.0000    10.6292    0.5483    0.5828    0.0000    0.0000    2.1932    0.5149    0.0000    0.0000    0.0000    0.4112    0.0000    4.7975    0.0000    2.1285    0.0000    0.0000    0.0000    0.0000    0.8915
5    -5.0840    -1.6947    -3.3893    77.4132    4.5248    18.0620    31.9330    0.3226    35.8036    9.3541    0.0000    4.5248    6.0207    0.0000    12.0413    0.0000    0.0000    3.8707    23.5465    4.5158    0.3226    34.8360    0.9677    3.8707    5.4834    0.0000    4.5248    0.0000    1.7202    4.3005    0.0000    12.0413    0.0000    0.0000    0.0000    0.0000    0.0000    0.3226    2.5804    0.4300    17.5252    0.0000    2.5804    0.0000    16.6527    1.7203    0.3767    0.0000    0.0000    0.0000    0.0000    2.3654    0.7806    0.9677    1.2106    0.0000    0.0000    0.0000    1.6128    0.4300    12.1494    0.0000    12.8845    0.0000    0.0000    0.0000    4.4082    0.0000    3.8478    1.2902    0.7535    1.2902    0.0000    0.7526    4.6250    0.3226    0.0000    0.3226    0.0000    0.0000    5.8059    0.6451    1.3470    0.0000    0.0000    0.0000    0.0000    0.0000
6    -1.6947    1.6947    0.0000    73.9566    4.3106    21.7328    26.5640    1.2075    35.0162    11.1690    0.0000    4.3106    6.8418    0.0000    14.4885    0.0000    0.4025    3.0186    18.7155    4.8298    1.2075    34.1106    0.9056    5.4335    5.7354    0.0000    4.3106    0.4025    2.0123    4.4271    0.0000    14.4885    0.0000    0.4025    0.0000    0.0000    0.0000    1.2075    2.1130    0.0000    16.3003    0.0000    3.6224    0.0000    17.7989    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.9180    0.4540    0.0000    0.0000    0.0000    0.0000    0.0000    2.4149    0.4025    18.2121    1.8112    15.0805    0.0000    0.0000    0.0000    5.8359    0.0000    1.8136    0.0000    0.0000    0.6037    0.4025    3.4211    1.5371    0.3019    0.4025    0.3019    0.0000    0.0000    2.0124    0.0000    1.0324    0.0000    0.0000    0.0000    0.0000    0.0000
7    1.6947    5.0840    3.3893    76.7248    4.5955    18.6797    29.3556    2.0015    33.3586    12.0091    0.0000    4.5955    6.2266    0.0000    12.4531    0.0000    0.0000    4.3366    21.3495    3.6694    2.0015    32.6915    0.6672    5.0038    7.0053    0.0000    4.5955    0.0000    2.2238    4.0028    0.0000    12.4531    0.0000    0.0000    0.0000    0.0000    0.0000    1.3343    3.0023    0.4448    16.7902    0.0000    1.3343    0.0000    18.2221    0.0000    0.0560    0.0000    0.0000    0.0000    0.0000    3.2246    2.4752    0.0000    0.0000    0.0000    0.3336    0.6672    2.3351    0.0000    13.8992    3.3359    14.0798    0.0000    0.0000    0.0000    5.3373    0.0000    3.8393    0.0000    0.0000    1.6679    0.0000    5.4485    1.3931    0.0000    0.0000    0.0000    0.0000    0.0000    0.6672    0.0000    0.1121    0.0000    0.0000    0.0000    0.0000    0.0000
8    5.0840    8.4733    6.7786    74.1417    4.4485    21.4098    39.6334    2.0500    26.6500    5.8083    0.0000    4.4485    11.8437    0.4555    8.6550    0.4555    0.0000    4.4417    31.7750    3.4167    2.0500    26.6500    0.0000    3.4167    2.3917    0.0000    4.4485    0.0000    3.6442    8.1995    0.4555    8.6550    0.4555    0.0000    0.0000    0.0000    1.1389    1.0250    1.3667    0.0000    11.0470    0.0000    2.7333    0.0000    18.0061    3.1889    0.5139    0.6833    0.1148    0.0000    0.0000    0.0000    0.5703    0.0000    0.0000    0.6833    0.0000    0.3417    1.1389    0.0000    8.6554    0.0000    22.0764    0.0000    0.0000    0.0000    8.9971    0.0000    13.4756    0.0000    0.0000    0.3417    0.4555    2.2777    1.1685    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
9    8.4733    11.8626    10.1680    72.2027    4.4188    23.3785    43.6655    0.6876    23.0361    4.8135    0.0000    4.4188    11.9184    0.4584    11.0016    0.0000    0.0000    3.4382    34.3822    5.8450    0.6876    22.6923    0.3438    1.3753    3.4382    0.0000    4.4188    0.0000    4.5840    7.3344    0.4584    11.0016    0.0000    0.0000    0.0000    0.0000    1.1460    0.0000    0.3438    0.4584    8.4808    0.0000    0.0000    0.0000    15.5974    2.6359    0.8032    2.6359    3.5546    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    3.7820    0.4584    9.2830    0.0000    9.5206    0.0000    0.3438    0.0000    9.3976    0.3438    30.4114    0.0000    0.0000    0.0000    0.0000    0.6876    0.0866    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0289
10    11.8626    15.2519    13.5573    74.9952    5.0074    19.9975    28.8443    0.0000    37.3053    8.8456    0.0000    5.0074    5.6403    0.0000    14.3572    0.0000    0.0000    2.6921    20.7679    5.3843    0.0000    37.3053    0.0000    4.2305    4.6151    0.0000    5.0074    0.0000    2.5638    3.0765    0.0000    14.3572    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    3.8459    0.5128    23.9724    0.0000    1.5384    0.0000    16.2024    2.4357    0.9630    0.3846    0.0000    0.0000    0.0000    0.0000    0.0000    0.3846    0.0646    0.0000    0.0000    0.0000    0.3846    0.5128    8.2045    0.0000    2.5045    0.0000    1.9230    0.5128    12.6913    1.1538    18.0899    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.0511    0.0000    1.6676
11    15.2519    18.6413    16.9466    77.2092    4.5202    18.2706    25.4022    0.0000    38.1032    13.7038    0.0000    4.5202    4.0106    0.0000    14.2600    0.0000    0.0000    3.0081    19.3859    3.0081    0.0000    37.1005    1.0027    6.3505    7.3533    0.0000    4.5202    0.0000    1.3369    2.6737    0.0000    14.2600    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    7.0190    0.8912    24.6219    1.0027    2.0054    0.0000    15.8392    4.3450    0.8369    0.0000    0.0000    1.0027    0.4465    0.0000    0.0000    1.4483    0.7527    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.4185    0.0000    2.6739    0.4456    16.8231    1.0027    12.2107    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.7853    0.0000    3.4284
