HEADER
ITEM:    ylo    yhi    bin-span    bin-count    measure    delimiter
-18.967485 18.967485   3.448634      11     pmass-local     |     

DATA
ITEM: binID    lo    hi    center    C    H    O    C|0    C|3    C|5    C|6    C|7    H|0    O|0    O|3    O|5    O|6    O|7    C|0|Sp1    C|0|Sp2    C|0|Sp3    C|3|Sp3    C|5|Sp2    C|5|Sp3    C|6|Sp2    C|6|Sp3    C|7|Sp2    H|0|Terminal    O|0|Sp1    O|0|Sp2    O|0|Sp3    O|3|Sp3    O|5|Sp2    O|6|Sp2    O|7|Sp2    C1050-H761-O212|[3, 5, 6]|    C1050-H761-O212|[3, 6]|    C1050-H761-O212|[3]|C2-O1    C1050-H761-O212|[3]|C3    C1050-H761-O212|[5, 6]|    C1050-H761-O212|[5]|    C1050-H761-O212|[5]|C4-O1    C1050-H761-O212|[6]|C5-O1    C1050-H761-O212|[6]|C6    C1050-H761-O212|[7]|C5-O2    C1050-H761-O212|[]|    C15-H10-O3|[5]|C4-O1    C15-H10-O3|[]|    C15-H12-O4|[5]|C4-O1    C15-H12-O4|[]|    C30-H23-O7|[5]|C4-O1    C30-H23-O7|[]|    C36-H25-O7|[5]|C4-O1    C36-H25-O7|[]|    C36-H27-O8|[5]|C4-O1    C36-H27-O8|[]|    C393-H287-O82|[3, 5, 6]|    C393-H287-O82|[3, 6]|    C393-H287-O82|[3]|C3    C393-H287-O82|[5, 6]|    C393-H287-O82|[5]|    C393-H287-O82|[5]|C4-O1    C393-H287-O82|[6]|C6    C393-H287-O82|[]|    C531-H389-O112|[3]|C3    C531-H389-O112|[5, 6]|    C531-H389-O112|[5]|    C531-H389-O112|[5]|C4-O1    C531-H389-O112|[6]|C6    C531-H389-O112|[]|    C6-H5-O2|[5]|C4-O1    C6-H5-O2|[]|    C66-H48-O13|[5, 6]|    C66-H48-O13|[5]|    C66-H48-O13|[5]|C4-O1    C66-H48-O13|[]|    C90-H66-O19|[3, 6, 7]|    C90-H66-O19|[3, 7]|    C90-H66-O19|[5, 6, 7]|    C90-H66-O19|[5, 6]|    C90-H66-O19|[5]|    C90-H66-O19|[5]|C4-O1    C90-H66-O19|[6, 7]|    C90-H66-O19|[]|    C93-H65-O18|[3]|C3    C93-H65-O18|[5, 6]|    C93-H65-O18|[5]|C4-O1    C93-H65-O18|[6]|C6    C93-H65-O18|[]|
1    -18.9675    -15.5189    -17.2432    75.4460    4.7877    19.7663    32.6164    0.0000    34.9226    7.9070    0.0000    4.7877    7.4673    0.4393    11.8598    0.0000    0.0000    4.6124    23.7210    4.2830    0.0000    34.5932    0.3295    2.6357    5.2713    0.0000    4.7877    0.0000    2.1963    5.2710    0.4393    11.8598    0.0000    0.0000    0.0000    0.0000    0.4393    0.0000    4.6124    0.4393    23.7207    0.0000    2.9651    0.0000    13.6351    2.0865    0.8803    0.0000    0.0000    1.0982    0.4125    2.5258    2.6097    2.7455    1.9508    0.0000    0.0000    0.0000    0.3295    0.4393    4.7221    0.0000    13.3772    0.0000    0.0000    0.0000    6.5891    0.0000    8.2970    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0277    0.0000    0.0000    2.4160    0.0000    3.6811
2    -15.5189    -12.0702    -13.7945    73.9413    5.0734    20.9853    25.9893    0.7321    39.1669    8.0530    0.0000    5.0734    6.3444    0.0000    14.6409    0.0000    0.0000    2.1963    19.4004    4.3926    0.7321    38.8009    0.3660    3.6605    4.3926    0.0000    5.0734    0.4880    2.4402    3.4162    0.0000    14.6409    0.0000    0.0000    0.0000    0.0000    0.0000    0.7321    1.4642    0.0000    26.7208    0.0000    2.1963    0.0000    18.2889    5.8566    1.7717    0.0000    0.0000    0.0000    0.0000    1.0981    0.4583    0.0000    0.4275    0.0000    0.0000    0.0000    2.5623    0.0000    11.4693    0.3660    9.4356    0.0000    0.3660    0.0000    6.5887    1.0981    6.5668    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.0742    0.0000    0.4583
3    -12.0702    -8.6216    -10.3459    75.3376    4.5737    20.0888    30.4775    0.3424    34.5868    9.9309    0.0000    4.5737    5.0222    0.0000    15.0666    0.0000    0.0000    3.0820    23.2862    4.1093    0.3424    34.2443    0.3424    5.1367    4.7942    0.0000    4.5737    0.0000    0.9131    4.1091    0.0000    15.0666    0.0000    0.0000    0.0000    0.0000    0.0000    0.3424    2.7395    0.4566    14.0399    0.0000    2.7395    0.0000    21.2756    5.1366    0.5150    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.0547    0.4566    9.7024    1.0273    8.5692    0.0000    0.6849    0.0000    18.8340    0.6849    9.2272    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3424    0.0000    0.0575    0.0000    0.0000    0.6849    0.0000    0.4287
4    -8.6216    -5.1730    -6.8973    75.5022    4.2753    20.2225    31.6839    2.0224    27.9762    13.8196    0.0000    4.2753    7.6396    0.0000    11.6841    0.8988    0.0000    1.0112    26.9651    3.7077    2.0224    26.9651    1.0112    7.7525    6.0671    0.0000    4.2753    0.0000    1.7976    5.8421    0.0000    11.6841    0.8988    0.0000    0.0000    0.0000    0.0000    2.0224    5.0559    0.4494    18.2011    2.1347    1.6853    0.0000    19.3693    1.4606    0.5069    0.0000    0.3937    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.6741    0.3371    0.0000    2.1347    0.4494    8.6511    0.0000    6.7758    0.0000    0.6741    0.0000    8.2018    2.0224    15.7941    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.2470    0.0000    0.7591    0.0000    0.0000    0.0000    0.0000    0.0000
5    -5.1730    -1.7243    -3.4486    75.3062    4.7023    19.9915    29.6560    0.3332    33.3213    11.9957    0.0000    4.7023    7.9966    0.0000    11.9949    0.0000    0.0000    3.6653    20.9924    4.9982    0.3332    32.6549    0.6664    5.3314    6.6643    0.0000    4.7023    0.0000    1.7770    6.2196    0.0000    11.9949    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    3.6653    0.8885    24.7685    0.0000    2.9989    0.0000    22.9576    4.5539    0.8903    1.7771    0.0280    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    3.6653    0.4443    5.4424    0.9996    5.0586    0.3332    0.3332    0.0000    6.1088    0.3332    12.5580    0.0000    0.0000    0.0000    0.0000    0.0000    0.0560    0.0000    0.0000    0.0000    0.0000    0.0000    1.3329    0.0000    0.8064    0.0000    0.0000    0.0000    0.0000    0.0000
6    -1.7243    1.7243    0.0000    74.2343    4.3913    21.3744    39.3825    1.0456    26.4873    5.5763    1.7426    4.3913    10.2225    0.0000    10.6872    0.0000    0.4647    4.5307    29.6240    5.2278    1.0456    26.4873    0.0000    1.7426    3.8337    1.7426    4.3913    0.0000    4.1820    6.0406    0.0000    10.6872    0.0000    0.4647    0.0000    0.0000    0.3485    0.0000    2.7881    0.4647    20.3298    0.0000    1.0456    2.2072    25.5461    3.0204    0.7556    0.0000    2.0051    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    4.1821    0.3485    5.3183    0.6970    0.6970    0.0000    3.9498    0.6970    15.8369    1.8587    1.3081    0.0000    0.0000    0.0000    2.6143    0.0000    0.0000    0.0000    0.0000    0.0000    3.3689    0.0000    0.6120    0.0000    0.0000    0.0000    0.0000    0.0000
7    1.7243    5.1730    3.4486    75.2556    4.7704    19.9740    35.1890    1.3936    33.4469    5.2261    0.0000    4.7704    6.9677    0.4645    12.0773    0.0000    0.4645    4.1809    26.1304    4.8777    1.3936    33.0985    0.3484    2.7872    2.4388    0.0000    4.7704    0.0000    2.7871    4.1806    0.4645    12.0773    0.0000    0.4645    0.0000    0.0000    0.8129    1.0452    0.0000    0.0000    12.6585    0.0000    0.6968    0.4645    16.0093    1.3936    0.5533    1.5097    1.2491    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    8.8262    0.0000    8.9214    0.0000    2.0904    0.4645    12.4262    0.6968    11.5368    0.0000    0.0000    0.0000    0.0000    1.0452    2.3529    0.0000    0.0000    0.0000    1.7420    0.4645    4.8776    0.0000    5.4904    0.0000    0.0000    1.8581    0.0000    0.8139
8    5.1730    8.6216    6.8973    73.6493    4.5815    21.7692    21.1915    0.0000    39.9513    12.5065    0.0000    4.5815    6.0213    0.0000    15.7479    0.0000    0.0000    1.3896    16.3279    3.4740    0.0000    38.9091    1.0422    5.9058    6.6006    0.0000    4.5815    0.0000    1.8527    4.1686    0.0000    15.7479    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.4318    0.4632    15.0539    0.0000    1.0422    0.0000    10.2325    3.8213    1.1589    0.3474    0.0292    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.6948    0.0000    7.8743    1.3896    3.9117    0.0000    0.6948    0.0000    14.2432    1.3896    8.7809    0.0000    0.0000    2.4318    0.4632    3.8213    2.5221    0.0000    0.0000    0.0000    0.3474    0.0000    5.9058    0.0000    1.9139    0.0000    0.6948    3.7056    1.3896    3.2452
9    8.6216    12.0702    10.3459    76.1550    4.3194    19.5257    27.9886    1.6272    35.1484    11.3907    0.0000    4.3194    4.3390    0.0000    14.7527    0.0000    0.4339    3.5799    19.8524    4.5563    1.6272    35.1484    0.0000    3.9054    7.4853    0.0000    4.3194    0.0000    1.7356    2.6034    0.0000    14.7527    0.0000    0.4339    0.0000    0.0000    0.0000    0.0000    5.2072    0.4339    17.7908    0.0000    2.2781    0.0000    15.0365    3.4714    0.4621    0.0000    0.0000    1.0848    0.4348    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.9763    0.0000    0.0000    5.5325    0.0000    3.4485    0.3254    0.9763    0.0000    7.4852    0.0000    8.9563    0.0000    0.0000    1.6272    0.4339    8.3530    2.2013    0.6509    0.4339    0.3254    0.0000    0.0000    1.4102    0.3254    1.2497    0.3254    0.0000    3.9053    0.0000    4.8578
10    12.0702    15.5189    13.7945    75.5747    4.5385    19.8868    32.4839    1.6573    30.1636    11.2699    0.0000    4.5385    9.2805    0.0000    10.6063    0.0000    0.0000    3.6461    25.8545    2.9832    1.6573    29.5007    0.6629    6.6294    4.6406    0.0000    4.5385    0.0000    1.7677    7.5128    0.0000    10.6063    0.0000    0.0000    0.3315    0.3315    0.0000    0.3315    3.6461    0.8839    16.5732    0.0000    1.6573    0.0000    16.5065    1.7678    0.4150    0.0000    0.0000    3.4251    0.8578    0.0000    0.0557    1.7678    2.6535    0.0000    0.0000    0.0000    0.6629    0.0000    2.0993    1.3259    6.8816    0.6629    1.3259    0.4419    8.0656    0.6629    14.1495    0.0000    0.0000    0.0000    0.0000    1.4363    0.0835    0.0000    0.0000    0.3315    0.0000    0.0000    2.8727    0.3315    0.8578    0.6629    0.0000    1.4363    0.6629    3.8419
