HEADER
ITEM:    zlo    zhi    bin-span    bin-count    measure    delimiter
-18.701250 18.701250   3.400227      11     pmass-local     |     

DATA
ITEM: binID    lo    hi    center    C    H    O    C|0    C|3    C|5    C|6    C|7    H|0    O|0    O|3    O|5    O|6    O|7    C|0|Sp1    C|0|Sp2    C|0|Sp3    C|3|Sp3    C|5|Sp2    C|5|Sp3    C|6|Sp2    C|6|Sp3    C|7|Sp2    H|0|Terminal    O|0|Sp1    O|0|Sp2    O|0|Sp3    O|3|Sp3    O|5|Sp2    O|6|Sp2    O|7|Sp2    C1050-H761-O212|[3, 5, 6]|    C1050-H761-O212|[3, 6]|    C1050-H761-O212|[3]|C2-O1    C1050-H761-O212|[3]|C3    C1050-H761-O212|[5, 6]|    C1050-H761-O212|[5]|    C1050-H761-O212|[5]|C4-O1    C1050-H761-O212|[6]|C5-O1    C1050-H761-O212|[6]|C6    C1050-H761-O212|[7]|C5-O2    C1050-H761-O212|[]|    C15-H10-O3|[5]|C4-O1    C15-H10-O3|[]|    C15-H12-O4|[5]|C4-O1    C15-H12-O4|[]|    C30-H23-O7|[5]|C4-O1    C30-H23-O7|[]|    C36-H25-O7|[5]|C4-O1    C36-H25-O7|[]|    C36-H27-O8|[5]|C4-O1    C36-H27-O8|[]|    C393-H287-O82|[3, 5, 6]|    C393-H287-O82|[3, 6]|    C393-H287-O82|[3]|C3    C393-H287-O82|[5, 6]|    C393-H287-O82|[5]|    C393-H287-O82|[5]|C4-O1    C393-H287-O82|[6]|C6    C393-H287-O82|[]|    C531-H389-O112|[3]|C3    C531-H389-O112|[5, 6]|    C531-H389-O112|[5]|    C531-H389-O112|[5]|C4-O1    C531-H389-O112|[6]|C6    C531-H389-O112|[]|    C6-H5-O2|[5]|C4-O1    C6-H5-O2|[]|    C66-H48-O13|[5, 6]|    C66-H48-O13|[5]|    C66-H48-O13|[5]|C4-O1    C66-H48-O13|[]|    C90-H66-O19|[3, 6, 7]|    C90-H66-O19|[3, 7]|    C90-H66-O19|[5, 6, 7]|    C90-H66-O19|[5, 6]|    C90-H66-O19|[5]|    C90-H66-O19|[5]|C4-O1    C90-H66-O19|[6, 7]|    C90-H66-O19|[]|    C93-H65-O18|[3]|C3    C93-H65-O18|[5, 6]|    C93-H65-O18|[5]|C4-O1    C93-H65-O18|[6]|C6    C93-H65-O18|[]|
1    -18.7012    -15.3010    -17.0011    73.4164    4.4216    22.1620    34.6304    1.0389    30.4747    7.2724    0.0000    4.4216    8.7725    0.0000    13.3896    0.0000    0.0000    4.1556    25.9728    4.5019    1.0389    29.7821    0.6926    2.7704    4.5019    0.0000    4.4216    0.0000    2.3085    6.4639    0.0000    13.3896    0.0000    0.0000    0.0000    0.0000    0.0000    1.0389    4.8482    0.0000    25.5105    0.0000    2.4241    0.0000    33.4705    1.3852    0.1164    0.0000    0.0000    4.8482    2.7441    3.0012    0.8090    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    4.8482    0.0000    6.3535    0.0000    0.0000    0.0000    0.4617    3.8093    4.3310    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
2    -15.3010    -11.9008    -13.6009    76.7766    4.9109    18.3125    31.3446    0.7044    35.9230    8.8047    0.0000    4.9109    5.1651    0.0000    13.1475    0.0000    0.0000    3.5219    22.5399    5.2828    0.7044    35.2186    0.7044    4.2262    4.5784    0.0000    4.9109    0.0000    2.3478    2.8173    0.0000    13.1475    0.0000    0.0000    0.0000    0.0000    0.0000    0.7044    3.5219    1.4087    19.6047    0.0000    1.7609    0.0000    21.5029    1.1739    0.4114    0.0000    0.0000    0.7044    0.0592    0.7044    2.3784    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0566    0.0000    20.3091    0.3522    13.6891    0.0000    0.3818    2.1131    0.0000    5.1653    2.9978    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
3    -11.9008    -8.5006    -10.2007    75.5739    4.7323    19.6938    27.1379    2.4046    34.0083    12.0231    0.0000    4.7323    7.3279    0.4580    11.9079    0.0000    0.0000    2.0611    21.2981    3.7787    2.4046    33.6647    0.3435    5.8398    6.1833    0.0000    4.7323    0.0000    1.3740    5.9539    0.4580    11.9079    0.0000    0.0000    0.0000    0.0000    1.1450    0.3435    2.0611    0.0000    17.5191    0.0000    2.4046    0.0000    12.6949    3.6641    0.4878    0.0000    0.0000    0.0000    0.0000    1.4885    0.8602    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3435    0.0000    0.1731    1.3741    2.7481    0.4580    16.4886    3.0917    22.8029    1.4885    0.0289    1.7176    0.4580    3.6641    1.7492    0.0000    0.0000    0.0000    0.0000    0.0000    0.3435    0.0000    0.4012    0.0000    0.0000    0.0000    0.0000    0.0000
4    -8.5006    -5.1003    -6.8005    74.4146    4.3254    21.2600    33.8852    0.6644    32.8886    6.9764    0.0000    4.3254    6.6437    0.0000    14.6162    0.0000    0.0000    4.6509    25.9122    3.3221    0.6644    32.5564    0.3322    2.3255    4.6509    0.0000    4.3254    0.0000    2.2146    4.4292    0.0000    14.6162    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3322    0.0000    7.4191    0.0000    0.3322    0.0000    7.7838    4.9830    1.2478    0.0000    0.0000    0.0000    0.0000    5.6475    1.1920    0.0000    0.0000    0.0000    0.0000    0.0000    1.3288    0.0000    8.5265    0.0000    7.6190    0.6644    2.6577    0.4429    16.4994    1.9932    24.8214    0.3322    0.8588    0.3322    0.0000    1.5502    0.4438    0.0000    0.0000    0.0000    0.0000    0.0000    1.4395    0.0000    0.8039    0.0000    0.0000    0.6644    0.0000    0.0837
5    -5.1003    -1.7001    -3.4002    74.1010    4.2743    21.6247    32.4391    0.0000    32.4391    9.2229    0.0000    4.2743    8.4803    0.0000    12.7204    0.4240    0.0000    2.5442    25.4424    4.4524    0.0000    32.4391    0.0000    5.4065    3.8164    0.0000    4.2743    0.0000    3.3921    5.0882    0.0000    12.7204    0.4240    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    9.1167    0.0000    0.0000    0.0000    2.6804    0.3180    0.3982    0.0000    0.0000    0.0000    0.0000    0.0000    0.0267    0.0000    0.0000    0.6361    0.3180    0.0000    2.9683    0.4240    12.2969    1.2721    10.8231    0.0000    0.9541    0.0000    17.4913    1.9082    25.2453    0.0000    0.0000    0.0000    0.0000    0.9541    0.3982    0.0000    0.0000    0.0000    0.0000    0.0000    2.4382    0.0000    4.0033    0.0000    0.6361    2.1201    0.9541    1.6185
6    -1.7001    1.7001    0.0000    75.3131    5.0610    19.6258    34.5756    1.0270    29.7829    9.9276    0.0000    5.0610    9.1283    0.0000    10.4975    0.0000    0.0000    3.4233    26.0173    5.1350    1.0270    28.7559    1.0270    3.4233    6.5043    0.0000    5.0610    0.4564    3.1949    5.4770    0.0000    10.4975    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.0540    0.4564    9.4711    0.0000    0.0000    0.0000    7.4838    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    2.3963    0.4564    8.3300    2.0540    12.9610    0.0000    0.6847    0.0000    9.8134    0.6847    19.4392    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3423    0.0000    0.6847    0.6847    0.0000    11.4109    0.0000    3.9149    1.0270    0.0000    0.3423    0.3423    4.9660
7    1.7001    5.1003    3.4002    75.6888    4.6211    19.6902    22.8912    1.4769    40.6135    10.7072    0.0000    4.6211    3.9380    0.0000    15.2599    0.0000    0.4923    1.8461    17.7222    3.3229    1.4769    39.8751    0.7384    5.5382    5.1690    0.0000    4.6211    0.0000    0.4923    3.4458    0.0000    15.2599    0.0000    0.4923    0.0000    0.0000    0.0000    0.3692    1.8461    0.0000    18.0912    0.0000    2.9537    0.0000    7.7042    2.8306    0.9245    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.7384    0.4623    0.0000    0.0000    1.1076    1.1076    0.0000    16.1220    2.2153    10.8710    0.0000    0.0000    0.0000    6.2765    0.0000    4.4665    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.3692    0.4923    0.0000    1.4769    0.4923    7.7534    0.7384    2.0351    0.0000    0.0000    3.5690    0.0000    4.9868
8    5.1003    8.5006    6.8005    72.8460    4.2282    22.9258    39.7058    0.6253    26.2621    6.2529    0.0000    4.2282    12.9218    0.0000    10.0040    0.0000    0.0000    3.4391    30.9517    5.3149    0.6253    26.2621    0.0000    2.1885    4.0644    0.0000    4.2282    0.0000    3.7515    9.1703    0.0000    10.0040    0.0000    0.0000    0.0000    0.0000    0.0000    0.6253    2.5012    0.4168    12.9224    0.0000    1.2506    0.0000    21.8465    2.6053    0.3914    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    4.3769    4.0668    0.0000    0.0000    0.0000    0.6253    0.0000    9.9003    0.0000    24.7110    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0421    0.0000    0.7566    0.0000    0.6253    5.0022    1.2506    5.0835
9    8.5006    11.9008    10.2007    73.2853    4.7422    21.9725    32.2596    0.7013    31.5583    8.4155    0.3506    4.7422    7.0125    0.0000    14.9600    0.0000    0.0000    3.1558    25.9479    3.1558    0.7013    31.2076    0.3506    3.8571    4.5584    0.3506    4.7422    0.0000    2.3375    4.6750    0.0000    14.9600    0.0000    0.0000    0.0000    0.0000    0.0000    0.7013    4.5584    0.4675    23.2591    0.0000    1.4026    0.3506    26.1136    6.7791    0.9664    1.5194    2.8355    0.0000    0.0589    0.0000    0.0000    0.0000    3.8295    0.0000    0.0000    0.0000    2.4545    0.4675    10.9867    0.0000    8.1036    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    3.0389    0.0000    2.1067
10    11.9008    15.3010    13.6009    77.5998    4.4444    17.9559    22.7669    1.2826    37.5173    14.7504    1.2826    4.4444    3.4202    0.4275    12.8256    0.4275    0.8550    2.5653    15.3917    4.8099    1.2826    36.8759    0.6413    6.7339    8.0165    1.2826    4.4444    0.0000    0.4275    2.9926    0.4275    12.8256    0.4275    0.8550    0.6413    0.0000    0.7482    0.9620    8.0165    1.7101    32.0655    2.0308    3.5273    2.1377    23.2459    2.2446    1.2313    2.0308    0.8299    1.7102    0.4015    0.0000    0.0000    1.0688    0.4015    0.0000    0.0000    0.0000    0.9620    0.4275    6.7338    0.0000    3.3438    0.0000    0.0000    0.0000    0.6413    0.0000    0.4015    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.7102    0.0000    0.7760
