z-Postion, natoms C2-O1, natoms C3, natoms C4-O1, natoms C5-O1, natoms C5-O2, natoms C6, natoms C6-O1, natoms N/A
-19.5, 0, 0, 0, 0, 0, 0, 0, 0
-18.5, 0, 0, 26, 0, 0, 0, 0, 61
-17.5, 0, 0, 35, 0, 0, 1, 0, 83
-16.5, 0, 2, 42, 0, 0, 1, 0, 67
-15.5, 0, 1, 37, 0, 0, 6, 0, 91
-14.5, 0, 0, 37, 0, 0, 0, 0, 88
-13.5, 0, 0, 47, 0, 0, 3, 0, 64
-12.5, 0, 2, 49, 0, 0, 1, 0, 79
-11.5, 1, 1, 44, 0, 0, 6, 0, 67
-10.5, 2, 1, 29, 0, 0, 5, 0, 77
-9.5, 0, 2, 49, 0, 0, 5, 0, 73
-8.5, 0, 1, 48, 0, 0, 3, 0, 85
-7.5, 0, 2, 46, 0, 0, 1, 0, 70
-6.5, 0, 0, 43, 0, 0, 2, 0, 85
-5.5, 0, 0, 46, 0, 0, 2, 0, 81
-4.5, 0, 0, 39, 0, 0, 1, 0, 88
-3.5, 0, 1, 34, 0, 0, 1, 0, 75
-2.5, 0, 0, 51, 0, 0, 4, 0, 84
-1.5, 0, 0, 35, 0, 0, 9, 0, 89
-0.5, 0, 1, 42, 0, 0, 3, 0, 101
0.5, 0, 2, 44, 0, 0, 4, 0, 95
1.5, 1, 0, 36, 0, 0, 1, 1, 54
2.5, 2, 0, 48, 0, 0, 5, 1, 69
3.5, 0, 1, 46, 0, 0, 5, 0, 73
4.5, 0, 2, 39, 0, 0, 3, 0, 63
5.5, 0, 2, 43, 0, 0, 0, 0, 83
6.5, 0, 1, 29, 0, 0, 1, 0, 107
7.5, 0, 0, 42, 0, 0, 1, 0, 92
8.5, 0, 0, 34, 0, 0, 6, 0, 72
9.5, 0, 0, 31, 0, 0, 0, 0, 96
10.5, 0, 1, 48, 0, 0, 4, 0, 75
11.5, 0, 1, 51, 0, 1, 0, 0, 76
12.5, 0, 1, 54, 2, 2, 0, 0, 72
13.5, 0, 0, 48, 1, 1, 1, 0, 69
14.5, 0, 2, 58, 3, 3, 7, 0, 67
15.5, 3, 2, 41, 0, 0, 7, 0, 69
16.5, 0, 0, 38, 0, 0, 3, 0, 83
17.5, 0, 0, 38, 0, 0, 5, 0, 75
18.5, 0, 0, 38, 0, 0, 1, 0, 62
19.5, 0, 0, 0, 0, 0, 0, 0, 0
