HEADER
ITEM:    xlo    xhi    bin-span    bin-count    measure    delimiter
-4.210490   3.840910   8.051400      17       psize        |     

DATA
ITEM: binID    lo    hi    center    C    H    N    C|0    C|6    H|0    N|0    C|0|Sp3    C|6|Sp2    H|0|Terminal    N|0|Sp2
1    -4.2105    -3.7369    -3.9737    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
2    -3.7369    -3.2633    -3.5001    0.0000    9.6774    0.0000    0.0000    0.0000    9.6774    0.0000    0.0000    0.0000    9.6774    0.0000
3    -3.2633    -2.7897    -3.0265    3.2258    0.0000    0.0000    3.2258    0.0000    0.0000    0.0000    3.2258    0.0000    0.0000    0.0000
4    -2.7897    -2.3160    -2.5528    0.0000    6.4516    0.0000    0.0000    0.0000    6.4516    0.0000    0.0000    0.0000    6.4516    0.0000
5    -2.3160    -1.8424    -2.0792    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
6    -1.8424    -1.3688    -1.6056    3.2258    0.0000    6.4516    0.0000    3.2258    0.0000    6.4516    0.0000    3.2258    0.0000    6.4516
7    -1.3688    -0.8952    -1.1320    3.2258    3.2258    0.0000    0.0000    3.2258    3.2258    0.0000    0.0000    3.2258    3.2258    0.0000
8    -0.8952    -0.4216    -0.6584    3.2258    3.2258    0.0000    0.0000    3.2258    3.2258    0.0000    0.0000    3.2258    3.2258    0.0000
9    -0.4216    0.0520    -0.1848    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
10    0.0520    0.5256    0.2888    6.4516    6.4516    0.0000    0.0000    6.4516    6.4516    0.0000    0.0000    6.4516    6.4516    0.0000
11    0.5256    0.9992    0.7624    3.2258    0.0000    0.0000    3.2258    0.0000    0.0000    0.0000    3.2258    0.0000    0.0000    0.0000
12    0.9992    1.4729    1.2360    9.6774    6.4516    0.0000    6.4516    3.2258    6.4516    0.0000    6.4516    3.2258    6.4516    0.0000
13    1.4729    1.9465    1.7097    0.0000    9.6774    0.0000    0.0000    0.0000    9.6774    0.0000    0.0000    0.0000    9.6774    0.0000
14    1.9465    2.4201    2.1833    0.0000    3.2258    0.0000    0.0000    0.0000    3.2258    0.0000    0.0000    0.0000    3.2258    0.0000
15    2.4201    2.8937    2.6569    3.2258    0.0000    0.0000    3.2258    0.0000    0.0000    0.0000    3.2258    0.0000    0.0000    0.0000
16    2.8937    3.3673    3.1305    0.0000    9.6774    0.0000    0.0000    0.0000    9.6774    0.0000    0.0000    0.0000    9.6774    0.0000
17    3.3673    3.8409    3.6041    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
