HEADER
ITEM:    ylo    yhi    bin-span    bin-count    measure    delimiter
-4.977545   3.953255   8.930800      18       psize        |     

DATA
ITEM: binID    lo    hi    center    C    H    N    C|0    C|6    H|0    N|0    C|0|Sp3    C|6|Sp2    H|0|Terminal    N|0|Sp2
1    -4.9775    -4.4814    -4.7295    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
2    -4.4814    -3.9852    -4.2333    0.0000    3.2258    0.0000    0.0000    0.0000    3.2258    0.0000    0.0000    0.0000    3.2258    0.0000
3    -3.9852    -3.4891    -3.7372    3.2258    6.4516    0.0000    3.2258    0.0000    6.4516    0.0000    3.2258    0.0000    6.4516    0.0000
4    -3.4891    -2.9929    -3.2410    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
5    -2.9929    -2.4968    -2.7448    0.0000    3.2258    0.0000    0.0000    0.0000    3.2258    0.0000    0.0000    0.0000    3.2258    0.0000
6    -2.4968    -2.0006    -2.2487    3.2258    9.6774    3.2258    3.2258    0.0000    9.6774    3.2258    3.2258    0.0000    9.6774    3.2258
7    -2.0006    -1.5045    -1.7525    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
8    -1.5045    -1.0083    -1.2564    3.2258    0.0000    0.0000    0.0000    3.2258    0.0000    0.0000    0.0000    3.2258    0.0000    0.0000
9    -1.0083    -0.5121    -0.7602    3.2258    3.2258    0.0000    0.0000    3.2258    3.2258    0.0000    0.0000    3.2258    3.2258    0.0000
10    -0.5121    -0.0160    -0.2641    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
11    -0.0160    0.4802    0.2321    9.6774    3.2258    0.0000    3.2258    6.4516    3.2258    0.0000    3.2258    6.4516    3.2258    0.0000
12    0.4802    0.9763    0.7282    0.0000    6.4516    0.0000    0.0000    0.0000    6.4516    0.0000    0.0000    0.0000    6.4516    0.0000
13    0.9763    1.4725    1.2244    6.4516    0.0000    0.0000    0.0000    6.4516    0.0000    0.0000    0.0000    6.4516    0.0000    0.0000
14    1.4725    1.9686    1.7206    0.0000    6.4516    0.0000    0.0000    0.0000    6.4516    0.0000    0.0000    0.0000    6.4516    0.0000
15    1.9686    2.4648    2.2167    3.2258    0.0000    0.0000    3.2258    0.0000    0.0000    0.0000    3.2258    0.0000    0.0000    0.0000
16    2.4648    2.9609    2.7129    3.2258    3.2258    3.2258    3.2258    0.0000    3.2258    3.2258    3.2258    0.0000    3.2258    3.2258
17    2.9609    3.4571    3.2090    0.0000    12.9032    0.0000    0.0000    0.0000    12.9032    0.0000    0.0000    0.0000    12.9032    0.0000
18    3.4571    3.9533    3.7052    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
