Reference molID, Reference formula, Test molID, Test formula, Perpendicular Distance, Planar Angle (Deg), Relative X-angle (Deg), Relative Y-angle (Deg), Relative Z-angle (Deg), Reference X-center, Reference Y-center, Reference Z-center, Test X-center, Test Y-center, Test Z-center
0.1, x-dummy-plane,164, C6,-0.03,75.07,0,0,0,0,0,0,-0.03,-27.37,-26.52
0.1, x-dummy-plane,21, C6,0.04,6.98,0,0,0,0,0,0,0.04,1.04,31.33
0.1, x-dummy-plane,16, C6,-0.05,6.98,0,0,0,0,0,0,-0.05,-0.89,20.8
0.1, x-dummy-plane,19, C6,0.06,6.98,0,0,0,0,0,0,0.06,0.75,27.08
0.1, x-dummy-plane,18, C6,-0.07,6.98,0,0,0,0,0,0,-0.07,-0.61,25.04
0.1, x-dummy-plane,17, C6,0.08,6.98,0,0,0,0,0,0,0.08,0.46,22.84
0.1, x-dummy-plane,147, C6,0.09,75.07,0,0,0,0,0,0,0.09,-17.9,-20.44
0.1, x-dummy-plane,20, C6,-0.09,6.98,0,0,0,0,0,0,-0.09,-0.32,29.29
0.1, x-dummy-plane,100, C6,0.1,53.21,0,0,0,0,0,0,0.1,28.02,6.28
0.1, x-dummy-plane,15, C6,0.1,6.98,0,0,0,0,0,0,0.1,0.18,18.59
0.1, x-dummy-plane,299, C6,0.15,67.89,0,0,0,0,0,0,0.15,-0.16,-27.2
0.1, x-dummy-plane,22, C6,-0.19,6.98,0,0,0,0,0,0,-0.19,-2.25,18.76
0.1, x-dummy-plane,82, C6,-0.2,53.21,0,0,0,0,0,0,-0.2,23.28,-3.31
0.1, x-dummy-plane,13, C6,0.2,6.98,0,0,0,0,0,0,0.2,2.11,29.12
0.1, x-dummy-plane,24, C6,-0.21,6.98,0,0,0,0,0,0,-0.21,-1.97,23
0.1, x-dummy-plane,11, C6,0.22,6.98,0,0,0,0,0,0,0.22,1.82,24.88
0.1, x-dummy-plane,293, C6,-0.23,67.89,0,0,0,0,0,0,-0.23,-0.12,-29.63
0.1, x-dummy-plane,26, C6,-0.23,6.98,0,0,0,0,0,0,-0.23,-1.68,27.24
0.1, x-dummy-plane,9, C6,0.24,6.98,0,0,0,0,0,0,0.24,1.54,20.63
0.1, x-dummy-plane,28, C6,-0.25,6.98,0,0,0,0,0,0,-0.25,-1.39,31.49
0.1, x-dummy-plane,88, C6,0.31,53.21,0,0,0,0,0,0,0.31,25.41,0.34
0.1, x-dummy-plane,14, C6,0.34,6.98,0,0,0,0,0,0,0.34,3.47,31.16
0.1, x-dummy-plane,23, C6,-0.35,6.98,0,0,0,0,0,0,-0.35,-3.33,20.96
0.1, x-dummy-plane,12, C6,0.36,6.98,0,0,0,0,0,0,0.36,3.18,26.92
0.1, x-dummy-plane,25, C6,-0.37,6.98,0,0,0,0,0,0,-0.37,-3.04,25.2
0.1, x-dummy-plane,10, C6,0.38,6.98,0,0,0,0,0,0,0.38,2.9,22.67
0.1, x-dummy-plane,146, C6,-0.39,75.07,0,0,0,0,0,0,-0.39,-19.99,-21.64
0.1, x-dummy-plane,27, C6,-0.39,6.98,0,0,0,0,0,0,-0.39,-2.75,29.45
0.1, x-dummy-plane,8, C6,0.4,6.98,0,0,0,0,0,0,0.4,2.61,18.43
0.1, x-dummy-plane,94, C6,-0.41,53.21,0,0,0,0,0,0,-0.41,25.89,2.64
0.1, x-dummy-plane,274, C6,0.44,86.61,0,0,0,0,0,0,0.44,-32.48,23.27
0.1, x-dummy-plane,158, C6,0.44,75.07,0,0,0,0,0,0,0.44,-25.28,-25.32
0.1, x-dummy-plane,302, C6,-0.46,67.89,0,0,0,0,0,0,-0.46,0.49,-18.39
0.1, x-dummy-plane,268, C6,0.47,86.61,0,0,0,0,0,0,0.47,-30.09,23.84
0.1, x-dummy-plane,29, C6,-0.49,6.98,0,0,0,0,0,0,-0.49,-4.69,18.92
0.1, x-dummy-plane,269, C6,0.5,86.61,0,0,0,0,0,0,0.5,-27.7,24.4
0.1, x-dummy-plane,6, C6,0.5,6.98,0,0,0,0,0,0,0.5,4.54,28.96
0.1, x-dummy-plane,163, C6,-0.5,75.07,0,0,0,0,0,0,-0.5,-29.46,-27.72
0.1, x-dummy-plane,31, C6,-0.51,6.98,0,0,0,0,0,0,-0.51,-4.4,23.16
0.1, x-dummy-plane,76, C6,0.52,53.21,0,0,0,0,0,0,0.52,22.8,-5.61
0.1, x-dummy-plane,4, C6,0.52,6.98,0,0,0,0,0,0,0.52,4.26,24.71
0.1, x-dummy-plane,263, C6,0.53,86.61,0,0,0,0,0,0,0.53,-25.31,24.96
