Reference molID, Reference formula, Test molID, Test formula, Perpendicular Distance, Planar Angle (Deg), Relative X-angle (Deg), Relative Y-angle (Deg), Relative Z-angle (Deg), Reference X-center, Reference Y-center, Reference Z-center, Test X-center, Test Y-center, Test Z-center
0.1, x-dummy-plane, 1508, C6, 0.00, 88.24, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.04, 1.66, 363.74
0.1, x-dummy-plane, 2475, C4-N1, 0.01, 87.87, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.05, 7.53, 371.50
0.1, x-dummy-plane, 6415, C4-N1, 0.01, 81.46, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.05, 16.30, 438.20
0.1, x-dummy-plane, 998, C6, -0.02, 89.75, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.02, 40.04, 364.13
0.1, x-dummy-plane, 772, C6, -0.02, 89.55, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.02, 35.77, 363.96
0.1, x-dummy-plane, 1510, C6, -0.03, 88.85, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.01, 5.95, 363.58
0.1, x-dummy-plane, 770, C6, -0.03, 85.34, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.01, 31.52, 363.90
0.1, x-dummy-plane, 1266, C6, -0.03, 87.58, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.01, -2.62, 363.82
0.1, x-dummy-plane, 1853, C6, 0.04, 88.72, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.08, 38.34, 494.48
0.1, x-dummy-plane, 7605, C6, 0.04, 87.84, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.08, 34.84, 470.75
0.1, x-dummy-plane, 3168, C4-N1, 0.04, 85.98, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.08, 38.71, 404.80
0.1, x-dummy-plane, 1808, C6, -0.04, 88.47, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.00, 10.22, 363.78
0.1, x-dummy-plane, 7778, C4-N1, 0.04, 39.38, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.08, 30.77, 481.40
0.1, x-dummy-plane, 881, C6, 0.04, 89.43, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.08, 8.50, 494.35
0.1, x-dummy-plane, 883, C6, 0.04, 87.20, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.08, 12.78, 494.37
0.1, x-dummy-plane, 1004, C6, -0.04, 89.11, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 39.99, 44.28, 363.97
0.1, x-dummy-plane, 6559, C4-N1, -0.05, 76.09, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 39.99, 13.26, 453.45
0.1, x-dummy-plane, 6427, C4-N1, -0.05, 65.69, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 39.99, 10.11, 457.28
0.1, x-dummy-plane, 635, C6, 0.05, 89.08, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.09, 4.26, 494.31
0.1, x-dummy-plane, 7985, C6, 0.06, 64.92, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.09, 9.33, 489.95
0.1, x-dummy-plane, 52, C6, -0.06, 87.93, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 39.98, 14.49, 363.96
0.1, x-dummy-plane, 54, C6, -0.06, 89.84, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 39.98, 18.72, 363.71
0.1, x-dummy-plane, 450, C6, -0.06, 84.59, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 39.98, 22.98, 363.66
0.1, x-dummy-plane, 1693, C6, 0.06, 83.25, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.10, 34.08, 494.56
0.1, x-dummy-plane, 452, C6, -0.06, 85.17, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 39.98, 27.27, 363.66
0.1, x-dummy-plane, 281, C6, 0.07, 85.67, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.11, 42.61, 494.48
0.1, x-dummy-plane, 283, C6, 0.07, 87.79, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.11, -4.24, 494.34
0.1, x-dummy-plane, 2918, C6, 0.07, 81.27, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.11, 0.77, 379.93
0.1, x-dummy-plane, 1129, C6, 0.07, 88.64, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.11, 17.07, 494.39
0.1, x-dummy-plane, 1691, C6, 0.08, 83.99, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.11, 29.83, 494.32
0.1, x-dummy-plane, 1135, C6, 0.08, 85.68, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.12, 21.33, 494.27
0.1, x-dummy-plane, 633, C6, 0.10, 88.29, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.14, 0.02, 494.29
0.1, x-dummy-plane, 1391, C6, 0.10, 83.42, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.14, 25.59, 494.08
0.1, x-dummy-plane, 7869, C6, -0.12, 16.12, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 39.92, 20.06, 489.76
0.1, x-dummy-plane, 6755, C6, 0.12, 77.42, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.16, 14.93, 460.46
0.1, x-dummy-plane, 2851, C4-N1, -0.13, 42.64, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 39.91, 25.97, 384.12
0.1, x-dummy-plane, 8100, C6, 0.14, 85.33, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.18, 1.25, 490.59
0.1, x-dummy-plane, 2775, C4-N1, 0.14, 41.99, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.18, 19.87, 391.77
0.1, x-dummy-plane, 3852, C4-N1, -0.16, 25.77, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 39.88, 24.10, 420.36
0.1, x-dummy-plane, 7886, C4-N1, 0.17, 33.50, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.21, 9.53, 480.37
0.1, x-dummy-plane, 3096, C6, -0.18, 32.28, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 39.86, 11.90, 390.82
0.1, x-dummy-plane, 7950, C4-N1, -0.19, 89.11, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 39.85, 40.76, 491.10
0.1, x-dummy-plane, 4270, C6, 0.22, 84.42, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.26, 29.21, 428.40
0.1, x-dummy-plane, 4269, C6, 0.22, 87.78, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.26, 24.94, 428.52
0.1, x-dummy-plane, 7353, C4-N1, -0.23, 42.90, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 39.81, 45.84, 483.06
0.1, x-dummy-plane, 4441, C6, 0.23, 88.15, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.27, 41.99, 428.30
0.1, x-dummy-plane, 6432, C6, -0.23, 66.48, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 39.81, 45.76, 452.17
0.1, x-dummy-plane, 4967, C6, 0.23, 89.12, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.27, 16.43, 428.13
0.1, x-dummy-plane, 2578, C6, -0.23, 89.65, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 39.80, 6.32, 380.41
0.1, x-dummy-plane, 7512, C4-N1, 0.24, 87.63, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.28, 0.40, 478.79
0.1, x-dummy-plane, 4970, C6, 0.25, 85.72, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.29, 20.71, 428.23
0.1, x-dummy-plane, 7213, C4-N1, 0.26, 54.68, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.30, 44.18, 468.13
0.1, x-dummy-plane, 4553, C6, 0.26, 89.29, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.30, 46.24, 428.00
0.1, x-dummy-plane, 5102, C6, 0.26, 89.84, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.30, 14.99, 431.69
0.1, x-dummy-plane, 6866, C4-N1, -0.26, 66.70, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 39.78, 17.80, 463.44
0.1, x-dummy-plane, 4685, C6, 0.26, 89.14, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.30, 3.65, 428.12
0.1, x-dummy-plane, 7777, C6, 0.27, 66.88, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.31, 28.98, 477.80
0.1, x-dummy-plane, 2924, C6, -0.28, 67.29, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 39.76, -1.29, 384.56
0.1, x-dummy-plane, 5290, C6, 0.28, 89.30, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.32, 19.24, 431.70
0.1, x-dummy-plane, 4808, C6, 0.28, 88.61, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.32, 12.12, 428.27
0.1, x-dummy-plane, 4807, C6, 0.28, 88.82, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.32, 7.88, 428.13
0.1, x-dummy-plane, 7596, C6, 0.28, 38.35, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.32, 36.57, 476.13
0.1, x-dummy-plane, 4684, C6, 0.28, 89.04, 0.00, 0.00, 0.00, 40.04, 20.75, 427.99, 40.32, -0.64, 428.25
