RMS Perpendicular Distance, count C6, count C4-N1
0.1375154554078977, 32.6, 8.96
0.3660465446786357, 32.56, 8.64
0.6329607605380466, 31.96, 8.6
0.871928710276274, 31.88, 8.56
1.1359683626089174, 32.24, 8.72
1.3950446725515864, 33.04, 8.56
1.6321146187989068, 32.76, 8.56
1.899539404580531, 31.88, 8.72
2.110614349238717, 31.72, 8.84
2.3734672214347015, 31.6, 8.92
2.6135741711892333, 32.0, 9.08
2.89102595793498, 31.56, 9.04
3.1511301595699543, 31.04, 9.24
3.397582583785418, 31.08, 9.04
3.630685683896334, 31.0, 9.0
3.862335264214404, 31.32, 9.08
4.142827163799458, 31.4, 9.0
4.394968784786126, 31.12, 8.8
4.609972209658555, 31.48, 8.76
4.851773088581694, 30.96, 8.84
5.107834488121245, 31.04, 8.96
5.367833892103276, 30.8, 8.92
5.612529088955133, 30.92, 8.92
5.833709908652174, 31.2, 9.08
6.195880066670441, 30.72, 8.84
6.36851179783267, 30.4, 8.96
6.63961164849682, 30.36, 9.28
6.841190040521599, 30.08, 9.32
7.109665042144474, 30.44, 9.48
7.379441511806217, 30.64, 9.36
7.606693234879087, 30.04, 9.48
7.883436489592847, 29.84, 9.44
8.123507326451145, 29.92, 9.68
8.396855423627327, 30.56, 9.6
8.648505532841083, 30.68, 9.8
8.884056137217152, 30.36, 9.64
9.14101257269734, 30.28, 9.68
9.375571695400724, 30.4, 9.52
9.612114469313644, 31.0, 9.6
9.863854085137103, 31.36, 9.72
10.147985136403443, 31.08, 9.8
10.318370641138795, 30.36, 9.96
10.643860017048215, 30.04, 9.92
10.87524708345841, 30.44, 9.88
11.120901605071378, 30.64, 9.72
11.370540612421786, 30.32, 9.72
11.601893456493617, 30.08, 9.92
11.86331855463769, 29.88, 9.92
12.126437246923683, 30.6, 9.8
12.380121430274144, 31.28, 10.04
12.616679960091323, 30.6, 10.12
12.882549178694916, 29.96, 10.08
13.128880556429541, 30.2, 10.04
13.350757253010043, 30.88, 10.16
13.627632710599004, 31.4, 10.16
13.882621013940001, 30.72, 10.24
14.115907856190946, 30.08, 10.32
14.389578345464969, 30.16, 10.08
14.592317202208203, 30.52, 10.24
14.82735558582308, 31.24, 10.04
15.15351070857495, 30.76, 10.36
15.359090202779377, 30.2, 10.2
15.600566887316278, 30.04, 10.12
15.901580969599898, 30.6, 10.16
16.10851566402279, 31.2, 9.84
16.339028954109175, 30.56, 9.76
16.64039632479382, 30.6, 9.72
16.795723226828464, 30.72, 9.8
17.086209467709544, 31.0, 9.88
17.39583124592579, 31.68, 9.96
17.62060212124345, 31.28, 10.04
17.885510035858744, 30.8, 9.92
18.141115020982404, 30.44, 10.04
18.386935167234938, 30.36, 10.04
18.636193234193534, 30.76, 10.24
18.893850143250503, 30.88, 10.12
19.13561117163878, 30.48, 10.2
19.36888752484691, 30.28, 10.12
19.643039141518695, 30.36, 9.88
19.880413702932636, 30.4, 9.88
20.117609685361526, 30.6, 9.84
20.383202673643762, 30.44, 9.8
20.627858393172083, 30.6, 9.84
20.90862450775138, 30.48, 9.76
21.14376862723919, 30.8, 9.84
21.38158970829132, 30.76, 9.72
21.655978042021463, 30.48, 9.8
21.824325374867463, 31.44, 10.12
22.172972323374292, 31.4, 10.16
22.385519856863564, 31.16, 10.04
22.647205347506425, 31.12, 10.08
22.852913922934935, 30.6, 10.12
23.1051707562542, 31.4, 10.0
23.365014653069494, 31.4, 10.12
23.63531299808215, 31.48, 10.32
23.88212781694974, 31.32, 10.16
