HEADER
ITEM:    zlo    zhi    bin-span    bin-count    measure    delimiter
-95.000000 70.000000   3.437500      48     pmass-local     |     

DATA
ITEM: binID    lo    hi    center    C    H    N    O    C|0    C|3    C|6    H|0    N|0    O|0    O|3    C|0|Sp3    C|3|Sp3    C|6|Sp2    H|0|Terminal    N|0|Sp2    O|0|Sp3    O|3|Sp3    C1008|[6]|    C11-H18-N2|[6]|C6    C11-H18-N2|[]|    C19-H20-O4|[3]|C2-O1    C19-H20-O4|[6]|C6    C19-H20-O4|[]|
1    -95.0000    -91.5625    -93.2812    73.7767    7.6828    4.6928    13.8477    18.7795    9.3898    45.6074    7.6828    4.6928    6.7005    7.1472    18.7795    9.3898    45.6074    7.6828    4.6928    6.7005    7.1472    0.0000    12.0726    16.6740    16.5370    33.5349    21.1817
2    -91.5625    -88.1250    -89.8438    70.7011    7.1636    3.0395    19.0958    14.6615    13.0325    43.0071    7.1636    3.0395    8.6799    10.4159    14.6615    13.0325    43.0071    7.1636    3.0395    8.6799    10.4159    0.0000    6.5162    11.4424    23.4483    36.4909    22.1022
3    -88.1250    -84.6875    -86.4062    74.1973    6.8976    1.8648    17.0404    13.7521    13.1125    47.3328    6.8976    1.8648    8.9462    8.0942    13.7521    13.1125    47.3328    6.8976    1.8648    8.9462    8.0942    0.0000    4.7972    7.1250    21.2066    42.5355    24.3356
4    -84.6875    -81.2500    -82.9688    73.4100    7.5325    4.1121    14.9454    17.9518    11.8610    43.5972    7.5325    4.1121    6.8322    8.1132    17.9518    11.8610    43.5972    7.5325    4.1121    6.8322    8.1132    0.0000    12.1816    14.7066    19.9742    31.4156    21.7220
5    -81.2500    -77.8125    -79.5312    71.0409    7.3745    2.7484    18.8363    16.8343    14.4775    39.7290    7.3745    2.7484    9.4181    9.4181    16.8343    14.4775    39.7290    7.3745    2.7484    9.4181    9.4181    0.0000    4.3769    13.8756    23.8957    35.3521    22.4997
6    -77.8125    -74.3750    -76.0938    74.2385    6.5210    2.6949    16.5456    14.7322    12.9990    46.5074    6.5210    2.6949    8.8500    7.6957    14.7322    12.9990    46.5074    6.5210    2.6949    8.8500    7.6957    0.0000    10.3992    9.1570    20.6946    36.1082    23.6409
7    -74.3750    -70.9375    -72.6562    75.0743    7.0744    2.5967    15.2546    13.9969    12.4063    48.6710    7.0744    2.5967    9.3223    5.9323    13.9969    12.4063    48.6710    7.0744    2.5967    9.3223    5.9323    0.0000    3.4992    8.1204    18.3387    45.1718    24.8699
8    -70.9375    -67.5000    -69.2188    71.2920    7.0162    2.2674    19.4245    15.2306    12.3141    43.7473    7.0162    2.2674    9.0648    10.3597    15.2306    12.3141    43.7473    7.0162    2.2674    9.0648    10.3597    0.0000    5.5089    8.2726    22.6738    38.2384    25.3062
9    -67.5000    -64.0625    -65.7812    75.6929    7.7390    4.2400    12.3281    18.1795    9.2550    48.2583    7.7390    4.2400    5.2835    7.0446    18.1795    9.2550    48.2583    7.7390    4.2400    5.2835    7.0446    0.0000    12.5604    18.1989    16.2997    35.6979    17.2431
10    -64.0625    -60.6250    -62.3438    71.3609    7.0136    4.4982    17.1272    16.3937    12.8578    42.1094    7.0136    4.4982    8.9918    8.1354    16.3937    12.8578    42.1094    7.0136    4.4982    8.9918    8.1354    0.0000    10.2863    14.3193    20.9933    31.8231    22.5781
11    -60.6250    -57.1875    -58.9062    74.4921    7.5969    2.3373    15.5737    17.0363    11.6916    45.7642    7.5969    2.3373    7.5644    8.0093    17.0363    11.6916    45.7642    7.5969    2.3373    7.5644    8.0093    0.0000    7.0150    12.4031    19.7009    38.7492    22.1318
12    -57.1875    -53.7500    -55.4688    68.5883    7.3485    5.4358    18.6274    13.9840    16.9806    37.6237    7.3485    5.4358    6.6526    11.9747    13.9840    16.9806    37.6237    7.3485    5.4358    6.6526    11.9747    0.0000    12.6522    15.5246    28.9553    24.9715    17.8964
13    -53.7500    -50.3125    -52.0312    72.6516    7.2991    2.7843    17.2651    16.7133    10.2326    45.7057    7.2991    2.7843    10.9042    6.3608    16.7133    10.2326    45.7057    7.2991    2.7843    10.9042    6.3608    0.0000    3.7520    10.5006    16.5934    41.9537    27.2003
14    -50.3125    -46.8750    -48.5938    78.3174    6.9486    2.7887    11.9453    16.4407    9.5655    52.3112    6.9486    2.7887    5.5745    6.3708    16.4407    9.5655    52.3112    6.9486    2.7887    5.5745    6.3708    0.0000    10.1633    11.1209    15.9363    42.1479    20.6315
15    -46.8750    -43.4375    -45.1562    72.3380    7.0594    2.2902    18.3123    17.0207    13.4202    41.8971    7.0594    2.2902    10.0282    8.2841    17.0207    13.4202    41.8971    7.0594    2.2902    10.0282    8.2841    0.0000    8.5104    11.6613    21.7043    33.3868    24.7372
16    -43.4375    -40.0000    -41.7188    73.3001    8.3624    3.9391    14.3984    18.9162    12.4982    41.8858    8.3624    3.9391    6.7492    7.6491    18.9162    12.4982    41.8858    8.3624    3.9391    6.7492    7.6491    0.0000    7.7691    18.6838    20.1473    34.1166    19.2831
17    -40.0000    -36.5625    -38.2812    74.8415    7.1164    5.9826    12.0595    15.9943    9.0534    49.7937    7.1164    5.9826    6.4318    5.6278    15.9943    9.0534    49.7937    7.1164    5.9826    6.4318    5.6278    0.0000    17.2015    17.5200    14.6812    32.5922    18.0051
18    -36.5625    -33.1250    -34.8438    73.4258    7.0778    2.3142    17.1822    16.5373    11.2454    45.6431    7.0778    2.3142    8.3708    8.8114    16.5373    11.2454    45.6431    7.0778    2.3142    8.3708    8.8114    0.0000    3.6382    10.0163    20.0568    42.0048    24.2839
19    -33.1250    -29.6875    -31.4062    70.2409    6.9852    2.1650    20.6088    15.1621    14.2338    40.8449    6.9852    2.1650    11.5409    9.0679    15.1621    14.2338    40.8449    6.9852    2.1650    11.5409    9.0679    0.0000    5.8792    8.3646    23.3017    34.9657    27.4888
20    -29.6875    -26.2500    -27.9688    74.2658    7.1830    5.1375    13.4136    16.0490    9.4406    48.7763    7.1830    5.1375    6.2876    7.1260    16.0490    9.4406    48.7763    7.1830    5.1375    6.2876    7.1260    0.0000    13.2168    17.0891    16.5665    35.5595    17.5681
